geography,device_type_code,id,device_type_description,array_name,upload_id,cpu_util,latency_capacity,data_mover_capacity,tier,price_per_gb,ttl_iops,ttl_latency,ttl_used,ttl_usable,pct_used,ttl_allocated,client_id,period_id
,V7000_DEVICE,71904,IBM V7000 Device,STGCLD02,120333,100.0,10.0,-1.0,1,$1.75 ,6657.25,0.13,62.96,197.37,31.9,542.21,137,1467
,V7000_DEVICE,71918,IBM V7000 Device,STGCLD03,120339,100.0,10.0,-1.0,1,$1.75 ,11368.21,0.97,154.13,202.06,76.28,434.77,137,1467
,VMAX_DEVICE,72001,EMC VMax Device,VMAX-197801529,120550,100.0,10.0,-1.0,1,$3.00 ,0.0,0.0,147.67,191.21,77.23,152.62,137,1468
,VMAX_DEVICE,72002,EMC VMax Device,VMAX-197801527,120551,100.0,10.0,-1.0,1,$3.00 ,0.0,0.0,47.93,195.93,24.46,48.15,137,1468
,V7000_DEVICE,72074,IBM V7000 Device,STGCLD02,120661,100.0,10.0,-1.0,1,$1.75 ,11672.98,0.12,62.96,197.35,31.9,542.21,137,1469
,V7000_DEVICE,72075,IBM V7000 Device,STGCLD03,120663,100.0,10.0,-1.0,1,$1.75 ,27351.15,1.52,154.35,202.07,76.39,434.77,137,1469
,VMAX_DEVICE,72076,EMC VMax Device,VMAX-197801529,120677,100.0,10.0,-1.0,1,$3.00 ,0.0,0.0,146.69,191.09,76.76,151.75,137,1469
,VMAX_DEVICE,72077,EMC VMax Device,VMAX-197801527,120678,100.0,10.0,-1.0,1,$3.00 ,0.0,0.0,47.65,195.89,24.33,47.92,137,1469
,V7000_DEVICE,72212,IBM V7000 Device,STGCLD02,120886,100.0,10.0,-1.0,1,$1.75 ,13627.62,0.14,62.98,197.38,31.91,542.21,137,1470
,V7000_DEVICE,72213,IBM V7000 Device,STGCLD03,120887,100.0,10.0,-1.0,1,$1.75 ,27489.72,1.63,154.42,202.04,76.43,434.77,137,1470
,V7000_DEVICE,72282,IBM V7000 Device,STGCLD02,120993,100.0,10.0,-1.0,1,$1.75 ,11175.73,0.12,63.01,197.34,31.93,542.21,137,1471
,V7000_DEVICE,72283,IBM V7000 Device,STGCLD03,120995,100.0,10.0,-1.0,1,$1.75 ,27988.66,1.55,154.43,202.07,76.42,434.77,137,1471
,VMAX_DEVICE,72284,EMC VMax Device,VMAX-197801529,121005,100.0,10.0,-1.0,1,$3.00 ,0.0,0.0,149.2,191.04,78.09,154.31,137,1471
,VMAX_DEVICE,72285,EMC VMax Device,VMAX-197801527,121006,100.0,10.0,-1.0,1,$3.00 ,0.0,0.0,50.58,195.93,25.81,50.8,137,1471
,V7000_DEVICE,72915,IBM V7000 Device,STGCLD02,122031,100.0,10.0,-1.0,1,$1.75 ,9054.32,0.11,62.99,197.37,31.91,542.21,137,1474
,V7000_DEVICE,72916,IBM V7000 Device,STGCLD03,122033,100.0,10.0,-1.0,1,$1.75 ,9611.39,0.84,153.92,202.06,76.17,434.77,137,1474
,VMAX_DEVICE,72918,EMC VMax Device,VMAX-197801527,122050,100.0,10.0,-1.0,1,$3.00 ,1793.0,0.0,50.38,195.9,25.72,50.65,137,1474
