classification,device_type_code,device_type_description,cpu_util,latency_capacity,avg_price_per_gb,ttl_used,ttl_usable,pct_used,ttl_allocated,client_id,period_id
NAS,UNITY_DEVICE,EMC Unity Device,100.0,10.0,1.5,25.35,45.83,55.33,25.35,188,1468
SAN,COMPELLENT_DEVICE,EMC Compellent Device,200.0,10.0,3.0,590.45,639.14,92.38,590.45,188,1468
SAN,SVC_DEVICE,IBM SVC Device,200.0,10.0,1.75,554.46,725.93,76.38,581.04,188,1468
SAN,VMAX_DEVICE,EMC VMax Device,100.0,5.0,3.0,135.13,167.37,80.74,135.16,188,1468
NAS,UNITY_DEVICE,EMC Unity Device,100.0,10.0,1.5,25.35,45.83,55.33,25.35,188,1470
SAN,COMPELLENT_DEVICE,EMC Compellent Device,200.0,10.0,3.0,590.45,639.14,92.38,590.45,188,1470
SAN,SVC_DEVICE,IBM SVC Device,200.0,10.0,1.75,554.79,725.93,76.43,581.04,188,1470
SAN,VMAX_DEVICE,EMC VMax Device,100.0,5.0,3.0,135.13,167.37,80.74,135.16,188,1470
NAS,UNITY_DEVICE,EMC Unity Device,100.0,10.0,1.5,25.35,45.83,55.33,25.35,188,1473
SAN,COMPELLENT_DEVICE,EMC Compellent Device,200.0,10.0,3.0,590.45,639.14,92.38,590.45,188,1473
SAN,SVC_DEVICE,IBM SVC Device,200.0,10.0,1.75,554.49,725.93,76.38,581.04,188,1473
SAN,VMAX_DEVICE,EMC VMax Device,100.0,5.0,3.0,135.13,167.37,80.74,135.16,188,1473
NAS,UNITY_DEVICE,EMC Unity Device,100.0,10.0,1.5,25.35,45.83,55.33,25.35,188,1475
SAN,COMPELLENT_DEVICE,EMC Compellent Device,200.0,10.0,3.0,590.45,639.14,92.38,590.45,188,1475
SAN,SVC_DEVICE,IBM SVC Device,200.0,10.0,1.75,554.49,725.92,76.38,581.04,188,1475
SAN,VMAX_DEVICE,EMC VMax Device,100.0,5.0,3.0,135.13,167.37,80.74,135.16,188,1475
NAS,UNITY_DEVICE,EMC Unity Device,100.0,10.0,1.5,25.35,45.83,55.33,25.35,188,1477
SAN,COMPELLENT_DEVICE,EMC Compellent Device,200.0,10.0,3.0,590.45,639.14,92.38,590.45,188,1477
SAN,SVC_DEVICE,IBM SVC Device,200.0,10.0,1.75,554.5,725.92,76.39,581.04,188,1477
SAN,VMAX_DEVICE,EMC VMax Device,100.0,5.0,3.0,135.13,167.37,80.74,135.16,188,1477
NAS,UNITY_DEVICE,EMC Unity Device,100.0,10.0,1.5,25.11,45.83,54.8,25.11,188,1480
SAN,COMPELLENT_DEVICE,EMC Compellent Device,200.0,10.0,3.0,590.45,639.14,92.38,590.45,188,1480
SAN,SVC_DEVICE,IBM SVC Device,200.0,10.0,1.75,554.5,725.92,76.39,581.04,188,1480
SAN,VMAX_DEVICE,EMC VMax Device,100.0,5.0,3.0,135.13,167.37,80.74,135.16,188,1480
NAS,UNITY_DEVICE,EMC Unity Device,100.0,10.0,1.5,25.11,45.83,54.8,25.11,188,1482
SAN,COMPELLENT_DEVICE,EMC Compellent Device,200.0,10.0,3.0,590.45,639.14,92.38,590.45,188,1482
SAN,SVC_DEVICE,IBM SVC Device,200.0,10.0,1.75,554.51,725.93,76.39,581.04,188,1482
SAN,VMAX_DEVICE,EMC VMax Device,100.0,5.0,3.0,135.13,167.37,80.74,135.16,188,1482
NAS,UNITY_DEVICE,EMC Unity Device,100.0,10.0,1.5,25.11,45.83,54.8,25.11,188,1484
SAN,COMPELLENT_DEVICE,EMC Compellent Device,200.0,10.0,3.0,590.45,639.14,92.38,590.45,188,1484
SAN,SVC_DEVICE,IBM SVC Device,200.0,10.0,1.75,554.5,725.93,76.38,581.04,188,1484
SAN,VMAX_DEVICE,EMC VMax Device,100.0,5.0,3.0,135.13,167.37,80.74,135.16,188,1484
NAS,UNITY_DEVICE,EMC Unity Device,100.0,10.0,1.5,25.11,45.83,54.8,25.11,188,1487
SAN,COMPELLENT_DEVICE,EMC Compellent Device,200.0,10.0,3.0,590.45,639.14,92.38,590.45,188,1487
SAN,SVC_DEVICE,IBM SVC Device,200.0,10.0,1.75,554.51,725.93,76.39,581.04,188,1487
SAN,VMAX_DEVICE,EMC VMax Device,100.0,5.0,3.0,135.13,167.37,80.74,135.16,188,1487
NAS,UNITY_DEVICE,EMC Unity Device,100.0,10.0,1.5,25.35,45.83,55.33,25.35,188,1489
SAN,COMPELLENT_DEVICE,EMC Compellent Device,200.0,10.0,3.0,590.45,639.14,92.38,590.45,188,1489
SAN,SVC_DEVICE,IBM SVC Device,200.0,10.0,1.75,554.52,725.93,76.39,581.04,188,1489
SAN,VMAX_DEVICE,EMC VMax Device,100.0,5.0,3.0,135.13,167.37,80.74,135.16,188,1489
NAS,UNITY_DEVICE,EMC Unity Device,100.0,10.0,1.5,25.35,45.83,55.33,25.35,188,1491
SAN,COMPELLENT_DEVICE,EMC Compellent Device,200.0,10.0,3.0,590.45,639.14,92.38,590.45,188,1491
SAN,SVC_DEVICE,IBM SVC Device,200.0,10.0,1.75,554.6,725.92,76.4,581.04,188,1491
SAN,VMAX_DEVICE,EMC VMax Device,100.0,5.0,3.0,135.13,167.37,80.74,135.16,188,1491
NAS,UNITY_DEVICE,EMC Unity Device,100.0,10.0,1.5,25.13,45.83,54.82,25.13,188,1494
SAN,COMPELLENT_DEVICE,EMC Compellent Device,200.0,10.0,3.0,590.45,639.14,92.38,590.45,188,1494
SAN,SVC_DEVICE,IBM SVC Device,200.0,10.0,1.75,554.69,725.93,76.41,581.04,188,1494
SAN,VMAX_DEVICE,EMC VMax Device,100.0,5.0,3.0,135.13,167.37,80.74,135.16,188,1494
NAS,UNITY_DEVICE,EMC Unity Device,100.0,10.0,1.5,25.14,41.06,61.23,30.56,188,1495
NAS,UNITY_DEVICE,EMC Unity Device,100.0,10.0,1.5,25.12,45.83,54.82,25.12,188,1496
SAN,COMPELLENT_DEVICE,EMC Compellent Device,100.0,5.0,3.0,307.2,343.33,89.48,307.2,188,1496
SAN,SVC_DEVICE,IBM SVC Device,200.0,10.0,1.75,554.72,725.93,76.42,581.04,188,1496
SAN,VMAX_DEVICE,EMC VMax Device,100.0,5.0,3.0,135.13,167.37,80.74,135.16,188,1496
NAS,UNITY_DEVICE,EMC Unity Device,100.0,10.0,1.5,25.24,45.83,55.07,25.24,188,1498
SAN,COMPELLENT_DEVICE,EMC Compellent Device,200.0,10.0,3.0,590.45,639.14,92.38,590.45,188,1498
SAN,SVC_DEVICE,IBM SVC Device,200.0,10.0,1.75,554.98,725.93,76.45,581.04,188,1498
SAN,VMAX_DEVICE,EMC VMax Device,100.0,5.0,3.0,135.13,167.37,80.74,135.16,188,1498
NAS,UNITY_DEVICE,EMC Unity Device,100.0,10.0,1.5,25.12,45.83,54.82,25.12,188,1501
SAN,COMPELLENT_DEVICE,EMC Compellent Device,200.0,10.0,3.0,590.45,639.14,92.38,590.45,188,1501
SAN,SVC_DEVICE,IBM SVC Device,200.0,10.0,1.75,554.72,725.93,76.42,581.04,188,1501
SAN,VMAX_DEVICE,EMC VMax Device,100.0,5.0,3.0,135.13,167.37,80.74,135.16,188,1501
NAS,UNITY_DEVICE,EMC Unity Device,100.0,10.0,1.5,25.14,41.06,61.23,30.56,188,1502
NAS,UNITY_DEVICE,EMC Unity Device,100.0,10.0,1.5,25.12,45.83,54.82,25.12,188,1503
SAN,COMPELLENT_DEVICE,EMC Compellent Device,200.0,10.0,3.0,590.45,639.14,92.38,590.45,188,1503
SAN,SVC_DEVICE,IBM SVC Device,200.0,10.0,1.75,554.71,725.93,76.41,581.04,188,1503
SAN,VMAX_DEVICE,EMC VMax Device,100.0,5.0,3.0,135.13,167.37,80.74,135.16,188,1503
NAS,UNITY_DEVICE,EMC Unity Device,100.0,10.0,1.5,25.12,45.83,54.82,25.12,188,1505
SAN,COMPELLENT_DEVICE,EMC Compellent Device,200.0,10.0,3.0,590.45,639.14,92.38,590.45,188,1505
SAN,SVC_DEVICE,IBM SVC Device,200.0,10.0,1.75,555.1,725.94,76.47,581.04,188,1505
SAN,VMAX_DEVICE,EMC VMax Device,100.0,5.0,3.0,135.13,167.37,80.74,135.16,188,1505
NAS,UNITY_DEVICE,EMC Unity Device,100.0,10.0,1.5,25.12,45.83,54.82,25.12,188,1508
SAN,COMPELLENT_DEVICE,EMC Compellent Device,200.0,10.0,3.0,590.45,639.14,92.38,590.45,188,1508
SAN,SVC_DEVICE,IBM SVC Device,200.0,10.0,1.75,555.02,725.93,76.46,581.04,188,1508
SAN,VMAX_DEVICE,EMC VMax Device,100.0,5.0,3.0,135.13,167.37,80.74,135.16,188,1508
NAS,UNITY_DEVICE,EMC Unity Device,100.0,10.0,1.5,25.14,41.06,61.23,30.56,188,1509
NAS,UNITY_DEVICE,EMC Unity Device,100.0,10.0,1.5,25.12,45.83,54.82,25.12,188,1510
SAN,COMPELLENT_DEVICE,EMC Compellent Device,200.0,10.0,3.0,590.45,639.14,92.38,590.45,188,1510
SAN,SVC_DEVICE,IBM SVC Device,200.0,10.0,1.75,555.17,725.93,76.48,581.04,188,1510
SAN,VMAX_DEVICE,EMC VMax Device,100.0,5.0,3.0,135.13,167.37,80.74,135.16,188,1510
NAS,UNITY_DEVICE,EMC Unity Device,100.0,10.0,1.5,25.12,45.83,54.82,25.12,188,1512
SAN,COMPELLENT_DEVICE,EMC Compellent Device,200.0,10.0,3.0,590.45,639.14,92.38,590.45,188,1512
SAN,SVC_DEVICE,IBM SVC Device,200.0,10.0,1.75,554.8,725.93,76.43,581.04,188,1512
SAN,VMAX_DEVICE,EMC VMax Device,100.0,5.0,3.0,135.13,167.37,80.74,135.16,188,1512
NAS,UNITY_DEVICE,EMC Unity Device,100.0,10.0,1.5,25.14,41.06,61.23,30.56,188,1515
SAN,COMPELLENT_DEVICE,EMC Compellent Device,200.0,10.0,3.0,590.45,639.14,92.38,590.45,188,1515
SAN,SVC_DEVICE,IBM SVC Device,200.0,10.0,1.75,555.03,725.93,76.46,581.04,188,1515
SAN,VMAX_DEVICE,EMC VMax Device,100.0,5.0,3.0,135.13,167.37,80.74,135.16,188,1515
SAN,COMPELLENT_DEVICE,EMC Compellent Device,200.0,10.0,3.0,590.45,639.14,92.38,590.45,188,1517
SAN,SVC_DEVICE,IBM SVC Device,200.0,10.0,1.75,554.78,725.93,76.42,581.04,188,1517
SAN,VMAX_DEVICE,EMC VMax Device,100.0,5.0,3.0,135.13,167.37,80.74,135.16,188,1517
SAN,COMPELLENT_DEVICE,EMC Compellent Device,200.0,10.0,3.0,590.45,639.14,92.38,590.45,188,1519
SAN,SVC_DEVICE,IBM SVC Device,200.0,10.0,1.75,548.03,725.93,75.49,574.9,188,1519
NAS,UNITY_DEVICE,EMC Unity Device,100.0,10.0,1.5,25.14,41.06,61.23,30.56,188,1522
SAN,COMPELLENT_DEVICE,EMC Compellent Device,200.0,10.0,3.0,590.45,639.14,92.38,590.45,188,1522
SAN,SVC_DEVICE,IBM SVC Device,200.0,10.0,1.75,528.55,725.57,72.85,555.37,188,1522
SAN,VMAX_DEVICE,EMC VMax Device,100.0,5.0,3.0,135.13,167.37,80.74,135.16,188,1522
SAN,COMPELLENT_DEVICE,EMC Compellent Device,200.0,10.0,3.0,590.45,639.14,92.38,590.45,188,1524
SAN,SVC_DEVICE,IBM SVC Device,200.0,10.0,1.75,528.58,725.93,72.81,555.37,188,1524
SAN,VMAX_DEVICE,EMC VMax Device,100.0,5.0,3.0,135.13,167.37,80.74,135.16,188,1524
SAN,COMPELLENT_DEVICE,EMC Compellent Device,200.0,10.0,3.0,590.45,639.14,92.38,590.45,188,1526
SAN,SVC_DEVICE,IBM SVC Device,200.0,10.0,1.75,528.88,725.94,72.85,555.37,188,1526
SAN,VMAX_DEVICE,EMC VMax Device,100.0,5.0,3.0,135.13,167.37,80.74,135.16,188,1526
SAN,COMPELLENT_DEVICE,EMC Compellent Device,200.0,10.0,3.0,590.45,639.14,92.38,590.45,188,1529
SAN,SVC_DEVICE,IBM SVC Device,200.0,10.0,1.75,528.64,725.92,72.82,555.37,188,1529
SAN,VMAX_DEVICE,EMC VMax Device,100.0,5.0,3.0,135.13,167.37,80.74,135.16,188,1529
NAS,UNITY_DEVICE,EMC Unity Device,100.0,10.0,1.5,25.12,45.83,54.82,25.12,188,1531
SAN,COMPELLENT_DEVICE,EMC Compellent Device,200.0,10.0,3.0,590.45,639.14,92.38,590.45,188,1531
