classification,ttl_latency_capacity,ttl_iops_capacity,ttl_mbsec_capacity,avg_price_per_gb,ttl_used,ttl_usable,pct_used,ttl_allocated,ttl_iops,ttl_latency,client_id,period_id
Prod-iSeries,10.0,500000.0,7000.0,1.75,154.37,202.07,76.4,434.77,27122.11,1.55,137,1478
Prod-Open,10.0,100000.0,2000.0,3.0,124.8,190.93,65.36,130.03,27361.33,0.0,137,1478
DR,10.0,600000.0,9000.0,2.38,115.07,393.29,29.26,594.17,7099.73,0.11,137,1481
Prod-iSeries,10.0,500000.0,7000.0,1.75,153.99,202.06,76.21,434.77,17702.27,0.73,137,1481
Prod-Open,10.0,100000.0,2000.0,3.0,121.51,191.13,63.57,126.54,43237.75,0.0,137,1481
DR,10.0,600000.0,9000.0,2.38,114.34,393.27,29.07,593.43,8245.52,0.1,137,1483
Prod-iSeries,10.0,500000.0,7000.0,1.75,154.0,202.06,76.21,434.77,23018.07,1.2,137,1483
Prod-Open,10.0,100000.0,2000.0,3.0,122.28,191.49,63.86,126.95,39324.5,0.0,137,1483
DR,10.0,600000.0,9000.0,2.38,113.04,393.28,28.74,592.11,13813.39,0.1,137,1485
Prod-iSeries,10.0,500000.0,7000.0,1.75,154.52,202.07,76.47,434.77,28055.17,1.53,137,1485
Prod-Open,10.0,100000.0,2000.0,3.0,123.2,192.21,64.1,127.15,36879.67,0.0,137,1485
DR,10.0,600000.0,9000.0,2.38,113.21,393.37,28.78,592.1,8154.45,0.09,137,1488
Prod-iSeries,10.0,500000.0,7000.0,1.75,154.99,202.05,76.71,434.77,32458.38,1.15,137,1488
Prod-Open,10.0,100000.0,2000.0,3.0,120.05,191.8,62.59,124.4,43121.92,0.0,137,1488
DR,10.0,600000.0,9000.0,2.38,112.73,393.32,28.66,591.73,17657.11,0.07,137,1490
Prod-iSeries,10.0,500000.0,7000.0,1.75,154.24,202.07,76.33,434.77,21906.73,1.43,137,1490
Prod-Open,10.0,100000.0,2000.0,3.0,119.51,191.92,62.27,123.75,41322.58,0.0,137,1490
DR,10.0,600000.0,9000.0,2.38,116.94,393.28,29.73,595.98,24334.25,0.06,137,1492
Prod-iSeries,10.0,500000.0,7000.0,1.75,154.66,202.06,76.54,434.77,26946.15,1.33,137,1492
Prod-Open,10.0,100000.0,2000.0,3.0,120.95,192.39,62.87,124.72,40089.5,0.0,137,1492
DR,10.0,600000.0,9000.0,2.38,130.92,392.28,33.37,610.92,8900.87,0.08,137,1495
Prod-iSeries,10.0,500000.0,7000.0,1.75,153.96,202.06,76.2,434.77,12899.16,0.79,137,1495
Prod-Open,10.0,100000.0,2000.0,3.0,118.89,192.17,61.87,122.88,44788.83,0.0,137,1495
DR,10.0,600000.0,9000.0,2.38,138.4,391.85,35.32,618.82,12651.3,0.1,137,1497
Prod-iSeries,10.0,500000.0,7000.0,1.75,154.74,202.07,76.58,434.77,17096.7,1.39,137,1497
Prod-Open,10.0,100000.0,2000.0,3.0,120.08,192.21,62.47,124.03,44137.58,0.0,137,1497
DR,10.0,600000.0,9000.0,2.38,138.48,392.19,35.31,618.57,17069.77,0.07,137,1499
Prod-iSeries,10.0,500000.0,7000.0,1.75,154.28,202.06,76.35,434.77,26625.48,1.44,137,1499
Prod-Open,10.0,100000.0,2000.0,3.0,119.85,192.5,62.26,123.51,38738.58,0.0,137,1499
DR,10.0,600000.0,9000.0,2.38,140.13,392.38,35.71,619.98,10331.17,0.08,137,1502
Prod-iSeries,10.0,500000.0,7000.0,1.75,153.57,202.06,76.0,434.77,14695.09,0.86,137,1502
Prod-Open,10.0,100000.0,2000.0,3.0,119.35,192.32,62.06,123.19,37249.17,0.0,137,1502
DR,10.0,600000.0,9000.0,2.38,140.65,392.41,35.84,620.48,14624.65,0.08,137,1504
Prod-iSeries,10.0,500000.0,7000.0,1.75,154.1,202.07,76.26,434.77,30405.7,1.47,137,1504
Prod-Open,10.0,100000.0,2000.0,3.0,119.56,192.21,62.2,123.51,43125.83,0.0,137,1504
DR,10.0,600000.0,9000.0,2.38,139.18,392.28,35.48,619.15,14235.85,0.09,137,1506
Prod-iSeries,10.0,500000.0,7000.0,1.75,154.33,202.06,76.38,434.77,27309.11,1.48,137,1506
Prod-Open,10.0,100000.0,2000.0,3.0,123.35,192.78,63.98,126.73,39549.33,0.0,137,1506
DR,10.0,600000.0,9000.0,2.38,137.8,392.37,35.12,617.65,18725.78,0.12,137,1509
Prod-iSeries,10.0,500000.0,7000.0,1.75,150.82,199.54,75.58,434.77,26339.21,1.06,137,1509
DR,10.0,600000.0,9000.0,2.38,138.57,392.44,35.31,618.4,14108.76,0.09,137,1511
Prod-iSeries,10.0,500000.0,7000.0,1.75,154.26,202.07,76.34,434.77,29099.37,1.43,137,1511
Prod-Open,10.0,100000.0,2000.0,3.0,117.09,192.19,60.92,121.06,38965.58,0.0,137,1511
DR,10.0,600000.0,9000.0,2.38,140.21,392.65,35.71,619.8,13769.42,0.1,137,1513
Prod-iSeries,10.0,500000.0,7000.0,1.75,154.25,202.07,76.33,434.77,27570.58,1.36,137,1513
Prod-Open,10.0,100000.0,2000.0,3.0,117.56,192.53,61.06,121.19,38814.5,0.0,137,1513
DR,10.0,100000.0,2000.0,3.0,74.96,195.04,38.43,76.08,2924.08,0.0,137,1516
Prod-iSeries,10.0,500000.0,7000.0,1.75,153.83,202.06,76.13,434.77,13979.04,0.82,137,1516
Prod-Open,10.0,100000.0,2000.0,3.0,116.29,192.24,60.49,120.21,43444.83,0.0,137,1516
DR,10.0,600000.0,9000.0,2.38,138.41,392.28,35.28,618.35,12592.88,0.09,137,1518
Prod-iSeries,10.0,500000.0,7000.0,1.75,154.36,202.06,76.39,434.77,28366.6,1.53,137,1518
Prod-Open,10.0,100000.0,2000.0,3.0,116.52,192.15,60.64,120.53,39719.25,0.0,137,1518
DR,10.0,600000.0,9000.0,2.38,140.14,392.52,35.7,619.83,13837.27,0.09,137,1520
Prod-iSeries,10.0,500000.0,7000.0,1.75,154.53,202.06,76.48,434.77,27414.91,1.5,137,1520
Prod-Open,10.0,100000.0,2000.0,3.0,118.74,192.53,61.67,122.37,40465.5,0.0,137,1520
DR,10.0,600000.0,9000.0,2.38,138.89,392.39,35.4,618.7,10239.91,0.09,137,1523
Prod-Open,10.0,100000.0,2000.0,3.0,116.97,192.22,60.85,120.91,47411.25,0.0,137,1523
DR,10.0,600000.0,9000.0,2.38,139.59,392.44,35.57,619.34,14938.64,0.09,137,1525
Prod-iSeries,10.0,500000.0,7000.0,1.75,154.48,202.06,76.45,434.77,17910.82,1.78,137,1525
Prod-Open,10.0,100000.0,2000.0,3.0,117.15,192.07,61.0,121.25,43705.25,0.0,137,1525
DR,10.0,600000.0,9000.0,2.38,139.0,392.47,35.42,618.71,2692.5,0.0,137,1527
Prod-iSeries,10.0,500000.0,7000.0,1.75,154.52,202.06,76.47,434.77,0.0,0.0,137,1527
Prod-Open,10.0,100000.0,2000.0,3.0,119.03,192.48,61.84,122.71,41140.83,0.0,137,1527
DR,10.0,600000.0,9000.0,2.38,139.31,392.4,35.5,619.06,11128.39,0.17,137,1530
Prod-iSeries,10.0,500000.0,7000.0,1.75,154.01,202.06,76.22,434.77,13749.44,1.02,137,1530
Prod-Open,10.0,100000.0,2000.0,3.0,117.47,192.18,61.12,121.45,46959.42,0.0,137,1530
DR,10.0,600000.0,9000.0,2.38,139.81,392.43,35.63,619.51,10793.71,0.08,137,1532
Prod-iSeries,10.0,500000.0,7000.0,1.75,154.66,202.06,76.54,434.77,10008.56,0.73,137,1532
Prod-Open,10.0,100000.0,2000.0,3.0,117.6,192.09,61.22,121.68,48865.25,0.0,137,1532
DR,10.0,600000.0,9000.0,2.38,140.9,392.56,35.89,620.49,11245.64,0.08,137,1534
Prod-iSeries,10.0,500000.0,7000.0,1.75,154.44,202.06,76.43,434.77,15305.46,1.15,137,1534
Prod-Open,10.0,100000.0,2000.0,3.0,123.44,192.39,64.16,127.21,40680.75,0.0,137,1534
DR,10.0,600000.0,9000.0,2.38,140.7,392.45,35.85,620.38,7178.73,0.19,137,1537
Prod-iSeries,10.0,500000.0,7000.0,1.75,155.02,202.05,76.72,434.77,8183.3,1.35,137,1537
Prod-Open,10.0,100000.0,2000.0,3.0,118.89,192.1,61.89,122.95,46144.92,0.0,137,1537
DR,10.0,600000.0,9000.0,2.38,140.64,392.36,35.84,620.54,10599.95,0.08,137,1539
Prod-iSeries,10.0,500000.0,7000.0,1.75,154.45,202.06,76.44,434.77,9356.47,1.05,137,1539
Prod-Open,10.0,100000.0,2000.0,3.0,119.61,192.08,62.27,123.69,45320.58,0.0,137,1539
DR,10.0,600000.0,9000.0,2.38,141.67,392.64,36.08,621.3,12137.24,0.09,137,1541
Prod-iSeries,10.0,500000.0,7000.0,1.75,154.5,202.06,76.46,434.77,13015.91,0.98,137,1541
Prod-Open,10.0,100000.0,2000.0,3.0,120.21,192.28,62.52,124.09,40217.33,0.0,137,1541
DR,10.0,600000.0,9000.0,2.38,138.75,392.31,35.37,618.76,8778.91,0.18,137,1544
Prod-iSeries,10.0,500000.0,7000.0,1.75,154.01,202.07,76.22,434.77,9768.08,0.79,137,1544
Prod-Open,10.0,100000.0,2000.0,3.0,118.59,192.07,61.74,122.68,46903.08,0.0,137,1544
DR,10.0,600000.0,9000.0,2.38,139.57,392.41,35.57,619.57,8005.0,0.09,137,1546
Prod-iSeries,10.0,500000.0,7000.0,1.75,154.46,202.06,76.44,434.77,8157.89,1.04,137,1546
Prod-Open,10.0,100000.0,2000.0,3.0,120.09,192.04,62.53,124.21,49037.08,0.0,137,1546
DR,10.0,600000.0,9000.0,2.38,141.02,392.66,35.91,620.79,12071.41,0.1,137,1548
Prod-iSeries,10.0,500000.0,7000.0,1.75,154.48,202.06,76.45,434.77,16431.15,0.85,137,1548
Prod-Open,10.0,100000.0,2000.0,3.0,121.48,192.42,63.13,125.22,41299.17,0.0,137,1548
DR,10.0,600000.0,9000.0,2.38,139.34,392.43,35.51,619.33,8050.3,0.18,137,1551
Prod-iSeries,10.0,500000.0,7000.0,1.75,153.98,202.06,76.21,434.77,8136.85,1.16,137,1551
Prod-Open,10.0,100000.0,2000.0,3.0,120.95,192.11,62.96,125.0,50670.67,0.0,137,1551
DR,10.0,600000.0,9000.0,2.38,139.35,392.45,35.51,619.33,14672.52,0.11,137,1553
Prod-iSeries,10.0,500000.0,7000.0,1.75,154.61,202.05,76.52,434.77,22533.39,1.13,137,1553
Prod-Open,10.0,100000.0,2000.0,3.0,120.09,192.02,62.54,124.23,48384.5,0.0,137,1553
DR,10.0,600000.0,9000.0,2.38,140.69,392.69,35.83,620.59,12435.97,0.11,137,1555
Prod-iSeries,10.0,500000.0,7000.0,1.75,154.13,202.02,76.3,434.77,18500.95,0.83,137,1555
Prod-Open,10.0,100000.0,2000.0,3.0,122.12,192.38,63.48,125.91,43188.0,0.0,137,1555
DR,10.0,600000.0,9000.0,2.38,140.1,392.6,35.69,620.33,8579.11,0.18,137,1558
Prod-iSeries,10.0,500000.0,7000.0,1.75,154.04,202.06,76.23,434.77,15740.21,0.77,137,1558
Prod-Open,10.0,100000.0,2000.0,3.0,121.88,192.42,63.34,125.62,50934.0,0.0,137,1558
DR,10.0,600000.0,9000.0,2.38,139.72,392.51,35.6,620.21,11341.16,0.1,137,1560
Prod-iSeries,10.0,500000.0,7000.0,1.75,154.78,202.06,76.6,434.77,18387.78,0.96,137,1560
Prod-Open,10.0,100000.0,2000.0,3.0,121.32,192.12,63.15,125.37,47124.75,0.0,137,1560
DR,10.0,600000.0,9000.0,2.38,141.0,392.61,35.91,621.39,12681.69,0.1,137,1562
Prod-iSeries,10.0,500000.0,7000.0,1.75,154.55,202.07,76.48,434.77,20235.43,0.87,137,1562
Prod-Open,10.0,100000.0,2000.0,3.0,124.28,192.55,64.54,127.89,42671.5,0.0,137,1562
DR,10.0,600000.0,9000.0,2.38,140.23,392.48,35.73,620.72,8973.83,0.22,137,1565
Prod-iSeries,10.0,500000.0,7000.0,1.75,153.78,202.06,76.11,434.77,17439.85,0.92,137,1565
Prod-Open,10.0,100000.0,2000.0,3.0,122.5,192.39,63.67,126.28,46539.92,0.0,137,1565
DR,10.0,600000.0,9000.0,2.38,140.37,392.49,35.77,620.88,9397.01,0.13,137,1567
Prod-iSeries,10.0,500000.0,7000.0,1.75,154.56,202.05,76.5,434.77,16138.61,0.67,137,1567
Prod-Open,10.0,100000.0,2000.0,3.0,121.61,192.04,63.33,125.73,44717.17,0.0,137,1567
DR,10.0,600000.0,9000.0,2.38,141.58,392.64,36.06,621.91,13752.06,0.12,137,1569
Prod-iSeries,10.0,500000.0,7000.0,1.75,154.7,202.06,76.56,434.77,21635.08,0.98,137,1569
Prod-Open,10.0,100000.0,2000.0,3.0,123.19,192.46,64.01,126.89,40819.92,0.0,137,1569
DR,10.0,600000.0,9000.0,2.38,141.05,392.54,35.93,621.43,9425.75,0.16,137,1572
Prod-iSeries,10.0,500000.0,7000.0,1.75,154.0,202.06,76.21,434.77,16380.75,0.93,137,1572
Prod-Open,10.0,100000.0,2000.0,3.0,121.87,192.28,63.38,125.75,51086.92,0.0,137,1572
DR,10.0,600000.0,9000.0,2.38,140.77,392.47,35.87,621.21,10696.54,0.1,137,1574
Prod-iSeries,10.0,500000.0,7000.0,1.75,154.51,202.06,76.47,434.77,17269.34,1.13,137,1574
DR,10.0,600000.0,9000.0,2.38,142.05,392.66,36.18,622.27,13084.64,0.11,137,1576
Prod-iSeries,10.0,500000.0,7000.0,1.75,154.58,202.06,76.5,434.77,21014.47,0.96,137,1576
Prod-Open,10.0,100000.0,2000.0,3.0,124.14,192.48,64.5,127.82,42593.25,0.0,137,1576
DR,10.0,600000.0,9000.0,2.38,140.12,392.37,35.71,620.53,9930.39,0.19,137,1579
Prod-iSeries,10.0,500000.0,7000.0,1.75,155.2,202.06,76.81,434.77,16724.02,0.87,137,1579
Prod-Open,10.0,100000.0,2000.0,3.0,124.74,192.48,64.81,128.42,53934.58,0.0,137,1579
DR,10.0,600000.0,9000.0,2.38,140.44,392.36,35.79,620.93,9228.4,0.1,137,1581
Prod-iSeries,10.0,500000.0,7000.0,1.75,154.55,202.06,76.49,434.77,9013.55,1.33,137,1581
Prod-Open,10.0,100000.0,2000.0,3.0,123.23,192.03,64.17,127.36,49082.42,0.0,137,1581
DR,10.0,600000.0,9000.0,2.38,142.2,392.54,36.23,622.51,16054.64,0.11,137,1583
Prod-iSeries,10.0,500000.0,7000.0,1.75,154.97,202.06,76.69,434.77,31315.49,0.88,137,1583
DR,10.0,600000.0,9000.0,2.38,142.63,392.5,36.34,622.33,9031.53,0.23,137,1586
Prod-iSeries,10.0,500000.0,7000.0,1.75,154.17,202.06,76.3,434.77,14584.33,1.15,137,1586
Prod-Open,10.0,100000.0,2000.0,3.0,125.49,192.25,65.27,129.4,47279.05,0.0,137,1586
DR,10.0,600000.0,9000.0,2.38,142.33,392.42,36.27,622.11,10615.79,0.1,137,1588
Prod-iSeries,10.0,500000.0,7000.0,1.75,154.67,202.06,76.55,434.77,10110.06,1.12,137,1588
Prod-Open,10.0,100000.0,2000.0,3.0,124.74,191.94,64.99,128.95,41581.3,0.0,137,1588
DR,10.0,600000.0,9000.0,2.38,143.63,392.55,36.59,623.22,12980.89,0.11,137,1590
Prod-iSeries,10.0,500000.0,7000.0,1.75,154.63,202.06,76.52,434.77,22481.03,1.52,137,1590
Prod-Open,10.0,100000.0,2000.0,3.0,126.4,192.33,65.72,130.23,37200.76,0.0,137,1590
DR,10.0,600000.0,9000.0,2.38,142.0,392.21,36.2,621.95,8483.63,0.18,137,1593
Prod-iSeries,10.0,500000.0,7000.0,1.75,154.17,202.06,76.3,434.77,11345.22,1.16,137,1593
Prod-Open,10.0,100000.0,2000.0,3.0,126.83,192.3,65.96,130.69,47896.95,0.0,137,1593
DR,10.0,600000.0,9000.0,2.38,142.99,392.41,36.44,622.75,9722.28,0.09,137,1595
Prod-iSeries,10.0,500000.0,7000.0,1.75,154.92,202.06,76.67,434.77,12850.71,1.01,137,1595
Prod-Open,10.0,100000.0,2000.0,3.0,126.0,192.0,65.63,130.16,40892.29,0.0,137,1595
DR,10.0,600000.0,9000.0,2.38,142.04,391.96,36.24,622.22,12780.81,0.1,137,1597
Prod-iSeries,10.0,500000.0,7000.0,1.75,154.63,202.06,76.52,434.77,15842.66,1.21,137,1597
Prod-Open,10.0,100000.0,2000.0,3.0,129.47,192.32,67.32,133.31,37909.1,0.0,137,1597
DR,10.0,600000.0,9000.0,2.38,139.06,392.02,35.47,608.27,9910.58,0.17,137,1600
Prod-iSeries,10.0,500000.0,7000.0,1.75,151.85,202.06,75.15,425.56,17670.81,1.08,137,1600
Prod-Open,10.0,100000.0,2000.0,3.0,128.51,192.22,66.86,132.45,46112.99,0.0,137,1600
DR,10.0,100000.0,2000.0,3.0,78.89,194.7,40.52,80.35,1349.18,0.0,137,1602
Prod-iSeries,10.0,500000.0,7000.0,1.75,151.45,202.06,74.95,425.56,9061.7,1.02,137,1602
Prod-Open,10.0,100000.0,2000.0,3.0,127.51,191.82,66.47,131.84,42190.1,0.0,137,1602
DR,10.0,600000.0,9000.0,2.38,138.48,392.3,35.3,607.32,11757.31,0.11,137,1604
Prod-iSeries,10.0,500000.0,7000.0,1.75,151.58,202.06,75.02,425.56,15023.07,1.21,137,1604
Prod-Open,10.0,100000.0,2000.0,3.0,129.81,192.27,67.52,133.71,37684.72,0.0,137,1604
DR,10.0,600000.0,9000.0,2.38,138.66,392.63,35.31,607.17,11675.61,0.17,137,1607
Prod-iSeries,10.0,500000.0,7000.0,1.75,151.13,202.06,74.79,425.56,16154.69,0.91,137,1607
Prod-Open,10.0,100000.0,2000.0,3.0,125.5,192.33,65.25,129.33,44353.24,0.0,137,1607
DR,10.0,600000.0,9000.0,2.38,136.96,392.54,34.89,605.46,5389.78,0.07,137,1609
Prod-iSeries,10.0,500000.0,7000.0,1.75,150.94,202.06,74.7,425.56,13741.03,1.06,137,1609
Prod-Open,10.0,100000.0,2000.0,3.0,124.68,192.1,64.9,128.74,35558.02,0.0,137,1609
DR,10.0,600000.0,9000.0,2.38,138.02,392.67,35.15,606.37,11051.9,0.11,137,1611
Prod-iSeries,10.0,500000.0,7000.0,1.75,151.62,202.06,75.04,425.56,15400.44,0.87,137,1611
Prod-Open,10.0,100000.0,2000.0,3.0,126.51,192.39,65.76,130.28,36494.99,0.0,137,1611
DR,10.0,600000.0,9000.0,2.38,138.45,392.67,35.26,606.77,11629.23,0.18,137,1614
Prod-iSeries,10.0,500000.0,7000.0,1.75,151.33,202.06,74.89,425.56,19898.47,1.09,137,1614
Prod-Open,10.0,100000.0,2000.0,3.0,126.47,192.31,65.76,130.31,48967.63,0.0,137,1614
DR,10.0,600000.0,9000.0,2.38,138.8,392.67,35.35,607.08,10346.59,0.09,137,1616
Prod-iSeries,10.0,500000.0,7000.0,1.75,151.7,202.06,75.08,425.56,15066.34,1.19,137,1616
Prod-Open,10.0,100000.0,2000.0,3.0,126.25,192.09,65.73,130.33,41363.73,0.0,137,1616
DR,10.0,600000.0,9000.0,2.38,140.32,392.82,35.72,607.9,13301.48,0.12,137,1618
Prod-iSeries,10.0,500000.0,7000.0,1.75,152.12,202.06,75.29,425.56,18267.87,0.87,137,1618
Prod-Open,10.0,100000.0,2000.0,3.0,129.33,192.35,67.24,133.14,37341.71,0.0,137,1618
DR,10.0,600000.0,9000.0,2.38,138.69,392.64,35.32,606.46,6693.56,0.19,137,1621
Prod-iSeries,10.0,500000.0,7000.0,1.75,151.71,202.06,75.08,425.56,10644.33,1.57,137,1621
Prod-Open,10.0,100000.0,2000.0,3.0,129.93,192.36,67.54,133.73,46488.41,0.0,137,1621
DR,10.0,500000.0,7000.0,1.75,60.99,197.37,30.9,527.87,9307.34,0.11,137,1623
Prod-iSeries,10.0,500000.0,7000.0,1.75,152.52,202.06,75.48,425.56,13000.35,1.0,137,1623
Prod-Open,10.0,100000.0,2000.0,3.0,128.94,192.13,67.11,132.96,41488.22,0.0,137,1623
DR,10.0,600000.0,9000.0,2.38,140.38,392.72,35.74,608.01,13292.98,0.1,137,1625
Prod-iSeries,10.0,500000.0,7000.0,1.75,152.18,202.06,75.32,425.56,17904.32,1.1,137,1625
Prod-Open,10.0,100000.0,2000.0,3.0,138.06,192.51,71.71,141.71,38926.25,0.0,137,1625
DR,10.0,600000.0,9000.0,2.38,139.56,392.69,35.54,613.69,10975.88,0.18,137,1628
Prod-iSeries,10.0,500000.0,7000.0,1.75,154.4,202.06,76.41,434.77,14920.26,0.94,137,1628
Prod-Open,10.0,100000.0,2000.0,3.0,129.64,192.38,67.38,133.41,46016.23,0.0,137,1628
DR,10.0,600000.0,9000.0,2.38,139.84,392.65,35.61,613.63,10299.72,0.1,137,1630
Prod-iSeries,10.0,500000.0,7000.0,1.75,154.85,202.06,76.64,434.77,11207.92,1.01,137,1630
Prod-Open,10.0,100000.0,2000.0,3.0,130.61,192.2,67.96,134.57,41115.5,0.0,137,1630
DR,10.0,600000.0,9000.0,2.38,140.78,392.81,35.84,614.48,11910.76,0.12,137,1632
Prod-iSeries,10.0,500000.0,7000.0,1.75,154.88,202.06,76.65,434.77,14813.78,1.13,137,1632
Prod-Open,10.0,100000.0,2000.0,3.0,131.57,192.41,68.38,135.32,36219.47,0.0,137,1632
DR,10.0,600000.0,9000.0,2.38,140.52,392.7,35.78,614.32,8046.83,0.19,137,1635
Prod-iSeries,10.0,500000.0,7000.0,1.75,155.44,202.06,76.93,434.77,11682.25,1.34,137,1635
Prod-Open,10.0,100000.0,2000.0,3.0,130.43,192.22,67.86,134.38,48426.1,0.0,137,1635
DR,10.0,600000.0,9000.0,2.38,140.19,392.62,35.71,614.11,9576.24,0.09,137,1637
Prod-iSeries,10.0,500000.0,7000.0,1.75,154.77,202.06,76.6,434.77,11837.83,0.9,137,1637
Prod-Open,10.0,100000.0,2000.0,3.0,130.21,192.06,67.8,134.31,42201.07,0.0,137,1637
DR,10.0,600000.0,9000.0,2.38,141.31,392.78,35.98,614.99,12171.89,0.1,137,1639
Prod-iSeries,10.0,500000.0,7000.0,1.75,154.88,202.06,76.65,434.77,16032.87,1.11,137,1639
Prod-Open,10.0,100000.0,2000.0,3.0,131.93,192.35,68.59,135.74,38746.6,0.0,137,1639
DR,10.0,600000.0,9000.0,2.38,140.78,392.69,35.85,614.62,7174.9,0.13,137,1642
Prod-iSeries,10.0,500000.0,7000.0,1.75,154.37,202.06,76.4,434.77,10595.27,0.93,137,1642
Prod-Open,10.0,100000.0,2000.0,3.0,130.02,192.21,67.64,133.97,48354.08,0.0,137,1642
DR,10.0,600000.0,9000.0,2.38,140.62,392.61,35.82,614.54,15080.41,0.12,137,1644
Prod-iSeries,10.0,500000.0,7000.0,1.75,154.89,202.06,76.66,434.77,25621.77,0.89,137,1644
Prod-Open,10.0,100000.0,2000.0,3.0,130.18,191.97,67.81,134.37,36140.57,0.0,137,1644
DR,10.0,600000.0,9000.0,2.38,139.82,392.63,35.61,613.35,11724.03,0.1,137,1646
Prod-iSeries,10.0,500000.0,7000.0,1.75,155.2,202.06,76.81,434.77,17365.11,1.56,137,1646
Prod-Open,10.0,100000.0,2000.0,3.0,131.71,192.19,68.53,135.68,37704.16,0.0,137,1646
DR,10.0,600000.0,9000.0,2.38,139.99,392.62,35.66,613.89,6749.67,0.15,137,1649
Prod-iSeries,10.0,500000.0,7000.0,1.75,153.9,202.06,76.16,434.77,7003.49,1.02,137,1649
Prod-Open,10.0,100000.0,2000.0,3.0,130.39,192.14,67.86,134.41,47307.6,0.0,137,1649
DR,10.0,600000.0,9000.0,2.38,140.18,392.58,35.71,614.14,8859.07,0.11,137,1651
Prod-iSeries,10.0,500000.0,7000.0,1.75,154.45,202.06,76.44,434.77,8678.18,0.93,137,1651
Prod-Open,10.0,100000.0,2000.0,3.0,130.87,191.93,68.19,135.1,42527.58,0.0,137,1651
DR,10.0,600000.0,9000.0,2.38,141.57,392.66,36.05,615.43,9828.84,0.09,137,1653
Prod-iSeries,10.0,500000.0,7000.0,1.75,154.37,202.06,76.4,434.77,11969.89,0.9,137,1653
Prod-Open,10.0,100000.0,2000.0,3.0,134.03,192.25,69.72,137.94,38280.99,0.0,137,1653
DR,10.0,600000.0,9000.0,2.38,140.86,392.59,35.88,614.76,5836.22,0.18,137,1656
Prod-iSeries,10.0,500000.0,7000.0,1.75,153.56,202.06,76.0,434.77,6200.48,1.51,137,1656
Prod-Open,10.0,100000.0,2000.0,3.0,130.63,192.04,68.02,134.75,48710.94,0.0,137,1656
DR,10.0,600000.0,9000.0,2.38,140.85,392.55,35.88,614.77,8481.67,0.09,137,1658
Prod-iSeries,10.0,500000.0,7000.0,1.75,154.51,202.06,76.47,434.77,9034.04,1.12,137,1658
Prod-Open,10.0,100000.0,2000.0,3.0,131.99,191.93,68.77,136.22,42575.69,0.0,137,1658
DR,10.0,600000.0,9000.0,2.38,141.94,392.73,36.14,615.74,9177.2,0.08,137,1660
Prod-iSeries,10.0,500000.0,7000.0,1.75,154.08,202.06,76.25,434.77,9279.08,1.55,137,1660
Prod-Open,10.0,100000.0,2000.0,3.0,133.38,192.06,69.44,137.47,38772.01,0.0,137,1660
DR,10.0,600000.0,9000.0,2.38,141.71,392.63,36.09,615.6,6081.55,0.15,137,1663
Prod-iSeries,10.0,500000.0,7000.0,1.75,154.39,202.06,76.41,434.77,8599.97,1.2,137,1663
Prod-Open,10.0,100000.0,2000.0,3.0,132.08,191.95,68.81,136.29,47327.44,0.0,137,1663
