classification,ttl_latency_capacity,ttl_iops_capacity,ttl_mbsec_capacity,avg_price_per_gb,ttl_used,ttl_usable,pct_used,ttl_allocated,ttl_iops,ttl_latency,client_id,period_id
DR,10.0,500000.0,7000.0,1.75,62.96,197.37,31.9,542.21,6657.25,0.13,137,1467
Prod-iSeries,10.0,500000.0,7000.0,1.75,154.13,202.06,76.28,434.77,11368.21,0.97,137,1467
DR,10.0,100000.0,2000.0,3.0,47.93,195.93,24.46,48.15,0.0,0.0,137,1468
Prod-Open,10.0,100000.0,2000.0,3.0,147.67,191.21,77.23,152.62,0.0,0.0,137,1468
DR,10.0,600000.0,9000.0,2.38,110.62,393.25,28.13,590.13,11672.98,0.12,137,1469
Prod-iSeries,10.0,500000.0,7000.0,1.75,154.35,202.07,76.39,434.77,27351.15,1.52,137,1469
Prod-Open,10.0,100000.0,2000.0,3.0,146.69,191.09,76.76,151.75,0.0,0.0,137,1469
DR,10.0,500000.0,7000.0,1.75,62.98,197.38,31.91,542.21,13627.62,0.14,137,1470
Prod-iSeries,10.0,500000.0,7000.0,1.75,154.42,202.04,76.43,434.77,27489.72,1.63,137,1470
DR,10.0,600000.0,9000.0,2.38,113.58,393.27,28.88,593.01,11175.73,0.12,137,1471
Prod-iSeries,10.0,500000.0,7000.0,1.75,154.43,202.07,76.42,434.77,27988.66,1.55,137,1471
Prod-Open,10.0,100000.0,2000.0,3.0,149.2,191.04,78.09,154.31,0.0,0.0,137,1471
DR,10.0,600000.0,9000.0,2.38,113.38,393.27,28.83,592.85,10847.32,0.09,137,1474
Prod-iSeries,10.0,500000.0,7000.0,1.75,153.92,202.06,76.17,434.77,9611.39,0.84,137,1474
Prod-Open,10.0,100000.0,2000.0,3.0,147.15,190.76,77.14,152.56,33956.08,0.0,137,1474
DR,10.0,600000.0,9000.0,2.38,114.31,393.29,29.07,593.76,15198.43,0.09,137,1476
Prod-iSeries,10.0,500000.0,7000.0,1.75,154.51,202.06,76.47,434.77,24402.59,1.5,137,1476
Prod-Open,10.0,100000.0,2000.0,3.0,149.32,190.14,78.53,155.33,34366.58,0.0,137,1476
DR,10.0,600000.0,9000.0,2.38,113.53,393.26,28.87,593.01,13128.8,0.09,137,1478
