formatted_collection_date,collection_date,free,used,allocated,capacity,orphaned,snap,client_id
09/08/2019,2019-09-08T00:00:00,5001416.29,12343340.38,13100822.2,17344756.67,27427.0,2899.47,137
09/15/2019,2019-09-15T00:00:00,5313419.41,12336760.13,13094140.8,17650179.54,27427.0,2890.13,137
09/22/2019,2019-09-22T00:00:00,5218413.99,12330072.18,13086475.7,17548486.17,25379.0,3706.97,137
09/29/2019,2019-09-29T00:00:00,5049064.93,12170289.78,12925044.2,17219354.71,25379.0,2715.14,137
10/06/2019,2019-10-06T00:00:00,6147889.49,12282725.07,13040170.5,18430614.56,25379.0,2710.98,137
10/13/2019,2019-10-13T00:00:00,5136215.18,12276138.85,13033983.8,17412354.03,25379.0,2619.62,137
10/20/2019,2019-10-20T00:00:00,5216164.73,12263971.54,13020254.5,17480136.27,25379.0,3483.4,137
10/27/2019,2019-10-27T00:00:00,5162324.69,12249947.77,13007956.9,17412272.46,25379.0,2431.2,137
11/03/2019,2019-11-03T00:00:00,5304279.83,12277491.84,13035114.2,17581771.67,25379.0,2871.49,137
11/10/2019,2019-11-10T00:00:00,5587987.43,12299028.41,13056813.0,17887015.84,25379.0,2717.8,137
11/17/2019,2019-11-17T00:00:00,5759467.67,12330728.83,13088806.2,18090196.5,25379.0,2771.78,137
11/24/2019,2019-11-24T00:00:00,5823036.97,12369080.33,13126076.5,18192117.3,25379.0,3728.27,137
12/01/2019,2019-12-01T00:00:00,5916331.65,12411430.32,13169421.8,18327761.97,25379.0,2788.63,137
12/08/2019,2019-12-08T00:00:00,2736818.06,6431424.43,7188220.0,9168242.49,25379.0,2825.17,137
12/15/2019,2019-12-15T00:00:00,334163.31,452788.31,1211328.1,786951.62,25378.89,2465.84,137
12/22/2019,2019-12-22T00:00:00,338826.16,448137.29,1206179.3,786963.45,25378.89,2847.23,137
12/29/2019,2019-12-29T00:00:00,337370.09,449315.96,1206700.8,786686.05,25378.89,3841.09,137
01/05/2020,2020-01-05T00:00:00,340388.92,446821.53,1204648.3,787210.45,25378.89,2793.48,137
01/12/2020,2020-01-12T00:00:00,6712574.42,12530687.59,13289003.8,19243262.01,25378.89,2790.87,137
01/19/2020,2020-01-19T00:00:00,7423131.82,12499068.29,13257047.6,19922200.11,25378.89,2735.23,137
