formatted_collection_date,collection_date,free,used,allocated,capacity,orphaned,snap,client_id
02/03/2019,2019-02-03T00:00:00,5623334.93,12094943.41,12859742.1,17718278.34,26255.0,3159.54,137
02/10/2019,2019-02-10T00:00:00,5575105.14,12143434.52,12908322.1,17718539.66,26255.0,2768.2,137
02/17/2019,2019-02-17T00:00:00,5319346.32,12194350.79,12961530.3,17513697.11,26255.0,21.26,137
02/24/2019,2019-02-24T00:00:00,5052194.63,12260726.76,13025439.5,17312921.39,26255.0,3034.07,137
03/03/2019,2019-03-03T00:00:00,6466087.76,12165566.71,12649311.4,18631654.47,26255.0,3.17,137
03/10/2019,2019-03-10T00:00:00,6525115.41,12376164.88,13140662.0,18901280.29,26255.0,3207.36,137
03/17/2019,2019-03-17T00:00:00,6521252.04,12379986.13,13143479.4,18901238.17,26255.0,4261.81,137
03/24/2019,2019-03-24T00:00:00,5974262.45,12521269.86,13286128.1,18495532.31,26255.0,3211.17,137
03/31/2019,2019-03-31T00:00:00,6042184.71,12554880.04,13319710.4,18597064.75,26255.0,3178.27,137
04/07/2019,2019-04-07T00:00:00,5935435.66,12594516.39,13359222.8,18529952.05,26255.0,3239.43,137
04/14/2019,2019-04-14T00:00:00,5679002.9,12580434.69,13345690.4,18259437.59,26255.0,2983.31,137
04/21/2019,2019-04-21T00:00:00,5649478.48,12576117.94,13341154.8,18225596.42,26255.0,3201.7,137
04/28/2019,2019-04-28T00:00:00,5649027.55,12576598.55,13340262.7,18225626.1,26255.0,4399.9,137
05/05/2019,2019-05-05T00:00:00,5593856.14,12564074.3,13328287.9,18157930.44,26255.0,3369.28,137
05/12/2019,2019-05-12T00:00:00,5522895.3,12567206.99,13331614.9,18090102.29,26255.0,3369.14,137
05/19/2019,2019-05-19T00:00:00,5303256.38,12550000.69,13296845.0,17853257.07,25379.0,4123.57,137
05/26/2019,2019-05-26T00:00:00,5294162.75,12559819.05,13306591.1,17853981.8,25379.0,3404.35,137
06/02/2019,2019-06-02T00:00:00,5213215.59,12573192.27,13319588.6,17786407.86,25379.0,3595.44,137
06/09/2019,2019-06-09T00:00:00,5220149.34,12566278.09,13311690.2,17786427.43,25379.0,3978.25,137
06/16/2019,2019-06-16T00:00:00,5126221.26,12558884.89,13317163.3,17685106.15,25394.0,3594.88,137
06/23/2019,2019-06-23T00:00:00,5101069.24,12550083.44,13307155.5,17651152.68,25394.0,4634.1,137
06/30/2019,2019-06-30T00:00:00,361787.56,425174.56,1183354.0,786962.12,25379.0,3559.46,137
07/07/2019,2019-07-07T00:00:00,362540.79,424280.22,1183079.0,786821.01,25379.0,3095.82,137
07/14/2019,2019-07-14T00:00:00,5192307.33,12492354.64,13251588.0,17684661.97,25379.0,2758.41,137
07/21/2019,2019-07-21T00:00:00,6034289.06,12461421.86,13219899.6,18495710.92,25379.0,3592.02,137
07/28/2019,2019-07-28T00:00:00,4835062.54,12444334.99,13202889.2,17279397.53,25379.0,3116.32,137
08/04/2019,2019-08-04T00:00:00,4866163.53,12413250.08,13171699.4,17279413.61,25379.0,3222.28,137
08/11/2019,2019-08-11T00:00:00,4854956.32,12390431.14,13149176.0,17245387.46,25379.0,3056.18,137
08/18/2019,2019-08-18T00:00:00,4872967.45,12376027.89,13133057.1,17248995.34,27427.0,3793.45,137
08/25/2019,2019-08-25T00:00:00,4867981.7,12345233.22,13102855.3,17213214.92,27427.0,2889.29,137
09/01/2019,2019-09-01T00:00:00,4949287.19,12327684.26,13085112.3,17276971.45,27427.0,2891.03,137
