geography,device_type_code,device_type_description,cpu_util,latency_capacity,avg_price_per_gb,ttl_used,ttl_usable,pct_used,ttl_allocated,client_id,period_id
,V7000_DEVICE,IBM V7000 Device,200.0,20.0,1.75,217.08,399.43,54.35,976.98,137,1467
,VMAX_DEVICE,EMC VMax Device,200.0,20.0,3.0,195.59,387.14,50.52,200.77,137,1468
,V7000_DEVICE,IBM V7000 Device,200.0,20.0,1.75,217.32,399.43,54.41,976.98,137,1469
,VMAX_DEVICE,EMC VMax Device,200.0,20.0,3.0,194.34,386.98,50.22,199.67,137,1469
,V7000_DEVICE,IBM V7000 Device,200.0,20.0,1.75,217.4,399.42,54.43,976.98,137,1470
,V7000_DEVICE,IBM V7000 Device,200.0,20.0,1.75,217.43,399.41,54.44,976.98,137,1471
,VMAX_DEVICE,EMC VMax Device,200.0,20.0,3.0,199.77,386.97,51.62,205.11,137,1471
,V7000_DEVICE,IBM V7000 Device,200.0,20.0,1.75,216.91,399.43,54.3,976.98,137,1474
,VMAX_DEVICE,EMC VMax Device,200.0,20.0,3.0,197.54,386.65,51.09,203.2,137,1474
,V7000_DEVICE,IBM V7000 Device,200.0,20.0,1.75,217.5,399.43,54.45,976.98,137,1476
,VMAX_DEVICE,EMC VMax Device,200.0,20.0,3.0,200.63,386.06,51.97,206.89,137,1476
,V7000_DEVICE,IBM V7000 Device,200.0,20.0,1.75,217.37,399.44,54.42,976.98,137,1478
,VMAX_DEVICE,EMC VMax Device,200.0,20.0,3.0,175.33,386.82,45.33,180.83,137,1478
,V7000_DEVICE,IBM V7000 Device,200.0,20.0,1.75,217.33,399.43,54.41,976.98,137,1481
,VMAX_DEVICE,EMC VMax Device,200.0,20.0,3.0,173.23,387.05,44.76,178.5,137,1481
,V7000_DEVICE,IBM V7000 Device,200.0,20.0,1.75,217.37,399.43,54.42,976.98,137,1483
,VMAX_DEVICE,EMC VMax Device,200.0,20.0,3.0,173.25,387.39,44.72,178.17,137,1483
,V7000_DEVICE,IBM V7000 Device,200.0,20.0,1.75,217.91,399.45,54.55,976.98,137,1485
,VMAX_DEVICE,EMC VMax Device,200.0,20.0,3.0,172.85,388.11,44.54,177.05,137,1485
,V7000_DEVICE,IBM V7000 Device,200.0,20.0,1.75,218.49,399.43,54.7,976.98,137,1488
,VMAX_DEVICE,EMC VMax Device,200.0,20.0,3.0,169.77,387.79,43.78,174.29,137,1488
,V7000_DEVICE,IBM V7000 Device,200.0,20.0,1.75,217.66,399.44,54.49,976.98,137,1490
,VMAX_DEVICE,EMC VMax Device,200.0,20.0,3.0,168.83,387.87,43.53,173.28,137,1490
,V7000_DEVICE,IBM V7000 Device,200.0,20.0,1.75,218.07,399.44,54.6,976.98,137,1492
,VMAX_DEVICE,EMC VMax Device,200.0,20.0,3.0,174.48,388.3,44.93,178.49,137,1492
,V7000_DEVICE,IBM V7000 Device,200.0,20.0,1.75,217.42,399.43,54.43,976.98,137,1495
,VMAX_DEVICE,EMC VMax Device,200.0,20.0,3.0,186.35,387.08,48.14,191.59,137,1495
