geography,device_type_code,device_type_description,cpu_util,latency_capacity,avg_price_per_gb,ttl_used,ttl_usable,pct_used,ttl_allocated,client_id,period_id
,V7000_DEVICE,IBM V7000 Device,200.0,20.0,1.75,218.21,399.44,54.63,976.98,137,1497
,VMAX_DEVICE,EMC VMax Device,200.0,20.0,3.0,195.02,386.69,50.43,200.64,137,1497
,V7000_DEVICE,IBM V7000 Device,200.0,20.0,1.75,217.74,399.43,54.51,976.98,137,1499
,VMAX_DEVICE,EMC VMax Device,200.0,20.0,3.0,194.87,387.32,50.31,199.87,137,1499
,V7000_DEVICE,IBM V7000 Device,200.0,20.0,1.75,217.08,399.43,54.35,976.98,137,1502
,VMAX_DEVICE,EMC VMax Device,200.0,20.0,3.0,195.98,387.33,50.6,200.97,137,1502
,V7000_DEVICE,IBM V7000 Device,200.0,20.0,1.75,217.61,399.45,54.48,976.98,137,1504
,VMAX_DEVICE,EMC VMax Device,200.0,20.0,3.0,196.7,387.24,50.8,201.78,137,1504
,V7000_DEVICE,IBM V7000 Device,200.0,20.0,1.75,217.81,399.44,54.53,976.98,137,1506
,VMAX_DEVICE,EMC VMax Device,200.0,20.0,3.0,199.05,387.69,51.34,203.67,137,1506
,V7000_DEVICE,IBM V7000 Device,200.0,20.0,1.75,214.33,396.91,54.0,976.98,137,1509
,VMAX_DEVICE,EMC VMax Device,100.0,10.0,3.0,74.29,195.0,38.1,75.44,137,1509
,V7000_DEVICE,IBM V7000 Device,200.0,20.0,1.75,217.72,399.44,54.51,976.98,137,1511
,VMAX_DEVICE,EMC VMax Device,200.0,20.0,3.0,192.2,387.26,49.63,197.25,137,1511
,V7000_DEVICE,IBM V7000 Device,200.0,20.0,1.75,217.72,399.43,54.51,976.98,137,1513
,VMAX_DEVICE,EMC VMax Device,200.0,20.0,3.0,194.29,387.83,50.1,198.78,137,1513
,V7000_DEVICE,IBM V7000 Device,100.0,10.0,1.75,153.83,202.06,76.13,434.77,137,1516
,VMAX_DEVICE,EMC VMax Device,200.0,20.0,3.0,191.25,387.28,49.38,196.28,137,1516
,V7000_DEVICE,IBM V7000 Device,200.0,20.0,1.75,217.87,399.43,54.55,976.98,137,1518
,VMAX_DEVICE,EMC VMax Device,200.0,20.0,3.0,191.42,387.06,49.46,196.68,137,1518
,V7000_DEVICE,IBM V7000 Device,200.0,20.0,1.75,218.04,399.42,54.59,976.98,137,1520
,VMAX_DEVICE,EMC VMax Device,200.0,20.0,3.0,195.38,387.7,50.39,199.99,137,1520
,V7000_DEVICE,IBM V7000 Device,100.0,10.0,1.75,63.54,197.37,32.19,542.21,137,1523
,VMAX_DEVICE,EMC VMax Device,200.0,20.0,3.0,192.33,387.24,49.67,197.4,137,1523
,V7000_DEVICE,IBM V7000 Device,200.0,20.0,1.75,218.03,399.44,54.58,976.98,137,1525
,VMAX_DEVICE,EMC VMax Device,200.0,20.0,3.0,193.19,387.13,49.9,198.38,137,1525
,V7000_DEVICE,IBM V7000 Device,200.0,20.0,1.75,218.08,399.43,54.6,976.98,137,1527
,VMAX_DEVICE,EMC VMax Device,200.0,20.0,3.0,194.47,387.57,50.18,199.21,137,1527
,V7000_DEVICE,IBM V7000 Device,200.0,20.0,1.75,217.59,399.44,54.47,976.98,137,1530
,VMAX_DEVICE,EMC VMax Device,200.0,20.0,3.0,193.19,387.21,49.89,198.3,137,1530
,V7000_DEVICE,IBM V7000 Device,200.0,20.0,1.75,218.25,399.42,54.64,976.98,137,1532
,VMAX_DEVICE,EMC VMax Device,200.0,20.0,3.0,193.82,387.16,50.06,198.98,137,1532
,V7000_DEVICE,IBM V7000 Device,200.0,20.0,1.75,218.03,399.44,54.58,976.98,137,1534
,VMAX_DEVICE,EMC VMax Device,200.0,20.0,3.0,200.74,387.57,51.8,205.49,137,1534
,V7000_DEVICE,IBM V7000 Device,200.0,20.0,1.75,218.66,399.47,54.74,976.98,137,1537
,VMAX_DEVICE,EMC VMax Device,200.0,20.0,3.0,195.94,387.14,50.61,201.12,137,1537
,V7000_DEVICE,IBM V7000 Device,200.0,20.0,1.75,217.92,399.42,54.56,976.98,137,1539
,VMAX_DEVICE,EMC VMax Device,200.0,20.0,3.0,196.78,387.08,50.84,202.02,137,1539
,V7000_DEVICE,IBM V7000 Device,200.0,20.0,1.75,217.95,399.43,54.57,976.98,137,1541
,VMAX_DEVICE,EMC VMax Device,200.0,20.0,3.0,198.42,387.55,51.2,203.19,137,1541
,V7000_DEVICE,IBM V7000 Device,200.0,20.0,1.75,217.36,399.37,54.42,976.98,137,1544
,VMAX_DEVICE,EMC VMax Device,200.0,20.0,3.0,194.0,387.08,50.12,199.23,137,1544
,V7000_DEVICE,IBM V7000 Device,200.0,20.0,1.75,217.79,399.43,54.52,976.98,137,1546
,VMAX_DEVICE,EMC VMax Device,200.0,20.0,3.0,196.33,387.08,50.72,201.57,137,1546
,V7000_DEVICE,IBM V7000 Device,200.0,20.0,1.75,217.78,399.43,54.52,976.98,137,1548
,VMAX_DEVICE,EMC VMax Device,200.0,20.0,3.0,199.2,387.71,51.38,203.8,137,1548
,V7000_DEVICE,IBM V7000 Device,200.0,20.0,1.75,217.3,399.43,54.4,976.98,137,1551
,VMAX_DEVICE,EMC VMax Device,200.0,20.0,3.0,196.97,387.16,50.87,202.12,137,1551
,V7000_DEVICE,IBM V7000 Device,200.0,20.0,1.75,217.92,399.43,54.56,976.98,137,1553
,VMAX_DEVICE,EMC VMax Device,200.0,20.0,3.0,196.13,387.1,50.67,201.35,137,1553
,V7000_DEVICE,IBM V7000 Device,200.0,20.0,1.75,217.28,399.39,54.4,976.98,137,1555
,VMAX_DEVICE,EMC VMax Device,200.0,20.0,3.0,199.67,387.7,51.5,204.29,137,1555
,V7000_DEVICE,IBM V7000 Device,200.0,20.0,1.75,216.95,399.43,54.31,976.98,137,1558
,VMAX_DEVICE,EMC VMax Device,200.0,20.0,3.0,199.07,387.64,51.36,203.75,137,1558
,V7000_DEVICE,IBM V7000 Device,200.0,20.0,1.75,217.52,399.44,54.46,976.98,137,1560
,VMAX_DEVICE,EMC VMax Device,200.0,20.0,3.0,198.3,387.25,51.21,203.37,137,1560
,V7000_DEVICE,IBM V7000 Device,200.0,20.0,1.75,217.27,399.43,54.4,976.98,137,1562
,VMAX_DEVICE,EMC VMax Device,200.0,20.0,3.0,202.55,387.8,52.23,207.07,137,1562
,V7000_DEVICE,IBM V7000 Device,200.0,20.0,1.75,216.54,399.42,54.21,976.98,137,1565
,VMAX_DEVICE,EMC VMax Device,200.0,20.0,3.0,199.98,387.5,51.61,204.79,137,1565
,V7000_DEVICE,IBM V7000 Device,200.0,20.0,1.75,217.32,399.44,54.41,976.98,137,1567
,VMAX_DEVICE,EMC VMax Device,200.0,20.0,3.0,199.23,387.14,51.46,204.41,137,1567
,V7000_DEVICE,IBM V7000 Device,200.0,20.0,1.75,217.47,399.43,54.45,976.98,137,1569
,VMAX_DEVICE,EMC VMax Device,200.0,20.0,3.0,202.0,387.73,52.1,206.59,137,1569
,V7000_DEVICE,IBM V7000 Device,200.0,20.0,1.75,216.81,399.43,54.28,976.98,137,1572
,VMAX_DEVICE,EMC VMax Device,200.0,20.0,3.0,200.11,387.45,51.65,204.97,137,1572
,V7000_DEVICE,IBM V7000 Device,200.0,20.0,1.75,217.33,399.43,54.41,976.98,137,1574
,VMAX_DEVICE,EMC VMax Device,100.0,10.0,3.0,77.95,195.1,39.95,79.0,137,1574
,V7000_DEVICE,IBM V7000 Device,200.0,20.0,1.75,217.44,399.43,54.44,976.98,137,1576
,VMAX_DEVICE,EMC VMax Device,200.0,20.0,3.0,203.34,387.77,52.44,207.88,137,1576
,V7000_DEVICE,IBM V7000 Device,200.0,20.0,1.75,218.15,399.43,54.62,976.98,137,1579
,VMAX_DEVICE,EMC VMax Device,200.0,20.0,3.0,201.91,387.48,52.11,206.75,137,1579
,V7000_DEVICE,IBM V7000 Device,200.0,20.0,1.75,217.44,399.43,54.44,976.98,137,1581
,VMAX_DEVICE,EMC VMax Device,200.0,20.0,3.0,200.79,387.02,51.88,206.09,137,1581
,V7000_DEVICE,IBM V7000 Device,200.0,20.0,1.75,217.85,399.44,54.54,976.98,137,1583
,VMAX_DEVICE,EMC VMax Device,100.0,10.0,3.0,79.31,195.16,40.64,80.31,137,1583
,V7000_DEVICE,IBM V7000 Device,200.0,20.0,1.75,217.71,399.44,54.5,976.98,137,1586
,VMAX_DEVICE,EMC VMax Device,200.0,20.0,3.0,204.58,387.37,52.81,209.52,137,1586
,V7000_DEVICE,IBM V7000 Device,200.0,20.0,1.75,218.21,399.43,54.63,976.98,137,1588
,VMAX_DEVICE,EMC VMax Device,200.0,20.0,3.0,203.53,386.99,52.59,208.86,137,1588
,V7000_DEVICE,IBM V7000 Device,200.0,20.0,1.75,218.21,399.42,54.63,976.98,137,1590
,VMAX_DEVICE,EMC VMax Device,200.0,20.0,3.0,206.45,387.53,53.27,211.24,137,1590
,V7000_DEVICE,IBM V7000 Device,200.0,20.0,1.75,217.74,399.43,54.51,976.98,137,1593
,VMAX_DEVICE,EMC VMax Device,200.0,20.0,3.0,205.26,387.14,53.02,210.44,137,1593
,V7000_DEVICE,IBM V7000 Device,200.0,20.0,1.75,218.48,399.43,54.7,976.98,137,1595
,VMAX_DEVICE,EMC VMax Device,200.0,20.0,3.0,205.42,387.04,53.08,210.7,137,1595
,V7000_DEVICE,IBM V7000 Device,200.0,20.0,1.75,218.21,399.43,54.63,976.98,137,1597
,VMAX_DEVICE,EMC VMax Device,200.0,20.0,3.0,207.93,386.92,53.74,213.33,137,1597
,V7000_DEVICE,IBM V7000 Device,200.0,20.0,1.75,212.03,399.43,53.08,953.43,137,1600
,VMAX_DEVICE,EMC VMax Device,200.0,20.0,3.0,207.4,386.87,53.61,212.85,137,1600
,V7000_DEVICE,IBM V7000 Device,100.0,10.0,1.75,151.45,202.06,74.95,425.56,137,1602
,VMAX_DEVICE,EMC VMax Device,200.0,20.0,3.0,206.4,386.52,53.4,212.19,137,1602
,V7000_DEVICE,IBM V7000 Device,200.0,20.0,1.75,211.84,399.43,53.04,953.43,137,1604
,VMAX_DEVICE,EMC VMax Device,200.0,20.0,3.0,208.03,387.19,53.73,213.16,137,1604
,V7000_DEVICE,IBM V7000 Device,200.0,20.0,1.75,211.38,399.43,52.92,953.43,137,1607
,VMAX_DEVICE,EMC VMax Device,200.0,20.0,3.0,203.91,387.59,52.61,208.63,137,1607
,V7000_DEVICE,IBM V7000 Device,200.0,20.0,1.75,211.29,399.43,52.9,953.43,137,1609
,VMAX_DEVICE,EMC VMax Device,200.0,20.0,3.0,201.28,387.26,51.97,206.33,137,1609
,V7000_DEVICE,IBM V7000 Device,200.0,20.0,1.75,212.0,399.43,53.08,953.43,137,1611
,VMAX_DEVICE,EMC VMax Device,200.0,20.0,3.0,204.15,387.69,52.66,208.78,137,1611
,V7000_DEVICE,IBM V7000 Device,200.0,20.0,1.75,211.74,399.43,53.01,953.43,137,1614
,VMAX_DEVICE,EMC VMax Device,200.0,20.0,3.0,204.51,387.61,52.76,209.21,137,1614
,V7000_DEVICE,IBM V7000 Device,200.0,20.0,1.75,212.15,399.43,53.11,953.43,137,1616
,VMAX_DEVICE,EMC VMax Device,200.0,20.0,3.0,204.6,387.38,52.82,209.53,137,1616
,V7000_DEVICE,IBM V7000 Device,200.0,20.0,1.75,213.12,399.43,53.36,953.43,137,1618
,VMAX_DEVICE,EMC VMax Device,200.0,20.0,3.0,208.65,387.8,53.8,213.17,137,1618
,V7000_DEVICE,IBM V7000 Device,200.0,20.0,1.75,212.7,399.43,53.25,953.43,137,1621
,VMAX_DEVICE,EMC VMax Device,200.0,20.0,3.0,207.63,387.63,53.56,212.32,137,1621
,V7000_DEVICE,IBM V7000 Device,200.0,20.0,1.75,213.51,399.43,53.45,953.43,137,1623
,VMAX_DEVICE,EMC VMax Device,100.0,10.0,3.0,128.94,192.13,67.11,132.96,137,1623
,V7000_DEVICE,IBM V7000 Device,200.0,20.0,1.75,213.22,399.43,53.38,953.43,137,1625
,VMAX_DEVICE,EMC VMax Device,200.0,20.0,3.0,217.4,387.86,56.05,221.85,137,1625
,V7000_DEVICE,IBM V7000 Device,200.0,20.0,1.75,215.13,399.43,53.86,968.79,137,1628
,VMAX_DEVICE,EMC VMax Device,200.0,20.0,3.0,208.47,387.7,53.77,213.09,137,1628
,V7000_DEVICE,IBM V7000 Device,200.0,20.0,1.75,215.95,399.43,54.06,968.79,137,1630
,VMAX_DEVICE,EMC VMax Device,200.0,20.0,3.0,209.35,387.47,54.03,214.19,137,1630
,V7000_DEVICE,IBM V7000 Device,200.0,20.0,1.75,215.93,399.43,54.06,968.79,137,1632
,VMAX_DEVICE,EMC VMax Device,200.0,20.0,3.0,211.31,387.85,54.48,215.78,137,1632
,V7000_DEVICE,IBM V7000 Device,200.0,20.0,1.75,216.49,399.43,54.2,968.79,137,1635
,VMAX_DEVICE,EMC VMax Device,200.0,20.0,3.0,209.9,387.54,54.16,214.68,137,1635
,V7000_DEVICE,IBM V7000 Device,200.0,20.0,1.75,215.77,399.43,54.02,968.79,137,1637
,VMAX_DEVICE,EMC VMax Device,200.0,20.0,3.0,209.4,387.31,54.06,214.41,137,1637
,V7000_DEVICE,IBM V7000 Device,200.0,20.0,1.75,215.96,399.43,54.07,968.79,137,1639
,VMAX_DEVICE,EMC VMax Device,200.0,20.0,3.0,212.16,387.75,54.71,216.72,137,1639
,V7000_DEVICE,IBM V7000 Device,200.0,20.0,1.75,215.39,399.43,53.92,968.79,137,1642
,VMAX_DEVICE,EMC VMax Device,200.0,20.0,3.0,209.78,387.53,54.13,214.57,137,1642
,V7000_DEVICE,IBM V7000 Device,200.0,20.0,1.75,215.9,399.43,54.05,968.79,137,1644
,VMAX_DEVICE,EMC VMax Device,200.0,20.0,3.0,209.79,387.22,54.18,214.9,137,1644
,V7000_DEVICE,IBM V7000 Device,200.0,20.0,1.75,216.59,399.43,54.22,968.79,137,1646
,VMAX_DEVICE,EMC VMax Device,200.0,20.0,3.0,210.15,387.45,54.24,215.01,137,1646
,V7000_DEVICE,IBM V7000 Device,200.0,20.0,1.75,214.91,399.43,53.81,968.79,137,1649
,VMAX_DEVICE,EMC VMax Device,200.0,20.0,3.0,209.37,387.39,54.05,214.29,137,1649
,V7000_DEVICE,IBM V7000 Device,200.0,20.0,1.75,215.44,399.43,53.94,968.79,137,1651
,VMAX_DEVICE,EMC VMax Device,200.0,20.0,3.0,210.05,387.14,54.26,215.23,137,1651
,V7000_DEVICE,IBM V7000 Device,200.0,20.0,1.75,215.4,399.43,53.93,968.79,137,1653
,VMAX_DEVICE,EMC VMax Device,200.0,20.0,3.0,214.57,387.53,55.37,219.36,137,1653
,V7000_DEVICE,IBM V7000 Device,200.0,20.0,1.75,214.62,399.43,53.73,968.79,137,1656
,VMAX_DEVICE,EMC VMax Device,200.0,20.0,3.0,210.43,387.25,54.34,215.5,137,1656
,V7000_DEVICE,IBM V7000 Device,200.0,20.0,1.75,215.57,399.43,53.97,968.79,137,1658
,VMAX_DEVICE,EMC VMax Device,200.0,20.0,3.0,211.77,387.11,54.7,216.97,137,1658
,V7000_DEVICE,IBM V7000 Device,200.0,20.0,1.75,215.09,399.43,53.85,968.79,137,1660
,VMAX_DEVICE,EMC VMax Device,200.0,20.0,3.0,214.3,387.42,55.32,219.2,137,1660
,V7000_DEVICE,IBM V7000 Device,200.0,20.0,1.75,215.42,399.43,53.93,968.79,137,1663
,VMAX_DEVICE,EMC VMax Device,200.0,20.0,3.0,212.76,387.21,54.95,217.87,137,1663
,V7000_DEVICE,IBM V7000 Device,100.0,10.0,1.75,61.12,197.37,30.96,534.01,137,1665
,VMAX_DEVICE,EMC VMax Device,200.0,20.0,3.0,212.95,387.2,55.0,218.07,137,1665
,V7000_DEVICE,IBM V7000 Device,200.0,20.0,1.75,215.01,399.43,53.83,968.79,137,1667
,VMAX_DEVICE,EMC VMax Device,200.0,20.0,3.0,213.09,387.37,55.01,218.03,137,1667
,V7000_DEVICE,IBM V7000 Device,200.0,20.0,1.75,215.01,399.43,53.83,968.79,137,1670
,VMAX_DEVICE,EMC VMax Device,200.0,20.0,3.0,213.38,387.54,55.06,218.16,137,1670
,V7000_DEVICE,IBM V7000 Device,200.0,20.0,1.75,215.22,399.43,53.88,968.79,137,1672
,VMAX_DEVICE,EMC VMax Device,200.0,20.0,3.0,213.7,387.36,55.17,218.66,137,1672
,V7000_DEVICE,IBM V7000 Device,200.0,20.0,1.75,215.2,399.43,53.88,968.79,137,1674
,VMAX_DEVICE,EMC VMax Device,200.0,20.0,3.0,214.79,387.58,55.42,219.53,137,1674
,V7000_DEVICE,IBM V7000 Device,200.0,20.0,1.75,215.1,399.43,53.85,968.79,137,1677
,VMAX_DEVICE,EMC VMax Device,200.0,20.0,3.0,213.12,387.56,54.99,217.88,137,1677
,V7000_DEVICE,IBM V7000 Device,200.0,20.0,1.75,215.55,399.43,53.96,968.79,137,1679
,VMAX_DEVICE,EMC VMax Device,200.0,20.0,3.0,214.2,387.41,55.29,219.11,137,1679
,V7000_DEVICE,IBM V7000 Device,200.0,20.0,1.75,215.1,399.43,53.85,968.79,137,1681
,VMAX_DEVICE,EMC VMax Device,200.0,20.0,3.0,216.51,387.34,55.9,221.49,137,1681
,V7000_DEVICE,IBM V7000 Device,200.0,20.0,1.75,215.03,399.43,53.83,968.79,137,1684
,VMAX_DEVICE,EMC VMax Device,200.0,20.0,3.0,213.79,387.33,55.2,218.78,137,1684
,V7000_DEVICE,IBM V7000 Device,200.0,20.0,1.75,215.27,399.43,53.89,968.79,137,1686
,VMAX_DEVICE,EMC VMax Device,200.0,20.0,3.0,224.73,389.0,57.77,228.05,137,1686
,V7000_DEVICE,IBM V7000 Device,200.0,20.0,1.75,215.06,399.43,53.84,968.79,137,1688
,VMAX_DEVICE,EMC VMax Device,200.0,20.0,3.0,227.37,388.48,58.53,231.2,137,1688
,V7000_DEVICE,IBM V7000 Device,200.0,20.0,1.75,215.75,399.43,54.01,968.79,137,1691
,VMAX_DEVICE,EMC VMax Device,200.0,20.0,3.0,227.0,388.33,58.46,230.99,137,1691
,V7000_DEVICE,IBM V7000 Device,200.0,20.0,1.75,214.79,399.43,53.77,968.79,137,1693
,VMAX_DEVICE,EMC VMax Device,200.0,20.0,3.0,227.03,388.42,58.45,230.93,137,1693
,V7000_DEVICE,IBM V7000 Device,200.0,20.0,1.75,215.27,399.43,53.89,968.79,137,1695
,VMAX_DEVICE,EMC VMax Device,200.0,20.0,3.0,225.05,388.7,57.9,228.67,137,1695
,V7000_DEVICE,IBM V7000 Device,200.0,20.0,1.75,214.85,399.43,53.79,968.79,137,1698
,VMAX_DEVICE,EMC VMax Device,200.0,20.0,3.0,228.04,388.63,58.68,231.73,137,1698
,V7000_DEVICE,IBM V7000 Device,200.0,20.0,1.75,215.11,399.43,53.86,968.79,137,1700
,VMAX_DEVICE,EMC VMax Device,200.0,20.0,3.0,228.86,388.69,58.88,232.49,137,1700
,V7000_DEVICE,IBM V7000 Device,200.0,20.0,1.75,215.02,399.43,53.83,968.79,137,1702
,VMAX_DEVICE,EMC VMax Device,200.0,20.0,3.0,227.81,388.8,58.59,231.33,137,1702
,V7000_DEVICE,IBM V7000 Device,200.0,20.0,1.75,214.9,399.43,53.8,968.79,137,1705
,VMAX_DEVICE,EMC VMax Device,200.0,20.0,3.0,229.67,388.78,59.07,233.21,137,1705
,V7000_DEVICE,IBM V7000 Device,200.0,20.0,1.75,214.43,399.43,53.68,968.79,137,1707
,VMAX_DEVICE,EMC VMax Device,200.0,20.0,3.0,227.62,388.73,58.56,231.21,137,1707
,V7000_DEVICE,IBM V7000 Device,200.0,20.0,1.75,215.06,399.43,53.84,968.79,137,1709
,VMAX_DEVICE,EMC VMax Device,200.0,20.0,3.0,229.47,388.9,59.0,232.88,137,1709
,V7000_DEVICE,IBM V7000 Device,200.0,20.0,1.75,214.91,399.43,53.8,968.79,137,1712
,VMAX_DEVICE,EMC VMax Device,200.0,20.0,3.0,229.74,388.71,59.1,233.35,137,1712
,V7000_DEVICE,IBM V7000 Device,200.0,20.0,1.75,215.16,399.43,53.87,968.79,137,1714
,VMAX_DEVICE,EMC VMax Device,200.0,20.0,3.0,229.57,388.82,59.04,233.06,137,1714
,V7000_DEVICE,IBM V7000 Device,200.0,20.0,1.75,215.18,399.43,53.87,968.79,137,1716
,VMAX_DEVICE,EMC VMax Device,200.0,20.0,3.0,231.34,388.83,59.5,234.82,137,1716
,V7000_DEVICE,IBM V7000 Device,200.0,20.0,1.75,214.94,399.43,53.81,968.79,137,1719
,VMAX_DEVICE,EMC VMax Device,200.0,20.0,3.0,230.17,388.78,59.2,233.71,137,1719
,V7000_DEVICE,IBM V7000 Device,200.0,20.0,1.75,215.03,399.43,53.83,968.79,137,1721
,VMAX_DEVICE,EMC VMax Device,200.0,20.0,3.0,230.01,388.81,59.16,233.52,137,1721
,V7000_DEVICE,IBM V7000 Device,200.0,20.0,1.75,215.26,399.43,53.89,968.79,137,1723
,VMAX_DEVICE,EMC VMax Device,200.0,20.0,3.0,230.44,389.11,59.22,233.65,137,1723
,V7000_DEVICE,IBM V7000 Device,200.0,20.0,1.75,215.83,399.43,54.03,968.79,137,1726
,VMAX_DEVICE,EMC VMax Device,200.0,20.0,3.0,231.7,388.87,59.58,235.14,137,1726
,V7000_DEVICE,IBM V7000 Device,200.0,20.0,1.75,215.06,399.43,53.84,968.79,137,1728
,VMAX_DEVICE,EMC VMax Device,200.0,20.0,3.0,231.58,388.87,59.55,235.03,137,1728
,V7000_DEVICE,IBM V7000 Device,200.0,20.0,1.75,214.99,399.43,53.82,968.79,137,1730
,VMAX_DEVICE,EMC VMax Device,200.0,20.0,3.0,232.4,389.08,59.73,235.64,137,1730
,V7000_DEVICE,IBM V7000 Device,200.0,20.0,1.75,214.74,399.43,53.76,968.79,137,1733
,VMAX_DEVICE,EMC VMax Device,100.0,10.0,3.0,82.03,195.45,41.97,82.74,137,1733
,V7000_DEVICE,IBM V7000 Device,200.0,20.0,1.75,215.25,399.43,53.89,968.79,137,1735
,VMAX_DEVICE,EMC VMax Device,200.0,20.0,3.0,233.79,388.67,60.15,237.44,137,1735
,V7000_DEVICE,IBM V7000 Device,200.0,20.0,1.75,214.77,399.43,53.77,968.79,137,1737
,VMAX_DEVICE,EMC VMax Device,100.0,10.0,3.0,80.2,195.49,41.03,80.87,137,1737
,VMAX_DEVICE,EMC VMax Device,200.0,20.0,3.0,227.48,388.89,58.49,230.9,137,1740
,V7000_DEVICE,IBM V7000 Device,200.0,20.0,1.75,214.89,399.43,53.8,968.79,137,1742
,VMAX_DEVICE,EMC VMax Device,200.0,20.0,3.0,227.28,388.78,58.46,230.82,137,1742
,V7000_DEVICE,IBM V7000 Device,200.0,20.0,1.75,215.01,399.43,53.83,968.79,137,1744
,VMAX_DEVICE,EMC VMax Device,200.0,20.0,3.0,231.12,388.5,59.49,234.93,137,1744
,V7000_DEVICE,IBM V7000 Device,200.0,20.0,1.75,214.81,399.43,53.78,968.79,137,1747
,VMAX_DEVICE,EMC VMax Device,200.0,20.0,3.0,229.85,388.45,59.17,233.71,137,1747
,V7000_DEVICE,IBM V7000 Device,200.0,20.0,1.75,215.69,399.43,54.0,968.79,137,1749
,VMAX_DEVICE,EMC VMax Device,200.0,20.0,3.0,227.82,388.29,58.67,231.85,137,1749
,V7000_DEVICE,IBM V7000 Device,200.0,20.0,1.75,214.94,399.43,53.81,968.79,137,1751
,VMAX_DEVICE,EMC VMax Device,200.0,20.0,3.0,229.1,388.54,58.96,232.88,137,1751
,V7000_DEVICE,IBM V7000 Device,200.0,20.0,1.75,216.44,399.43,54.19,968.79,137,1754
,VMAX_DEVICE,EMC VMax Device,200.0,20.0,3.0,229.87,388.38,59.19,233.81,137,1754
,V7000_DEVICE,IBM V7000 Device,200.0,20.0,1.75,214.83,399.43,53.78,968.79,137,1756
,VMAX_DEVICE,EMC VMax Device,200.0,20.0,3.0,228.48,388.45,58.82,232.35,137,1756
,V7000_DEVICE,IBM V7000 Device,200.0,20.0,1.75,215.0,399.43,53.83,968.79,137,1758
,VMAX_DEVICE,EMC VMax Device,200.0,20.0,3.0,229.41,388.55,59.04,233.17,137,1758
,V7000_DEVICE,IBM V7000 Device,200.0,20.0,1.75,214.72,399.43,53.76,968.79,137,1761
,VMAX_DEVICE,EMC VMax Device,200.0,20.0,3.0,230.57,388.37,59.37,234.52,137,1761
,V7000_DEVICE,IBM V7000 Device,200.0,20.0,1.75,215.32,399.43,53.91,968.79,137,1763
,VMAX_DEVICE,EMC VMax Device,200.0,20.0,3.0,230.6,388.36,59.38,234.56,137,1763
