classification,ttl_latency_capacity,ttl_iops_capacity,ttl_mbsec_capacity,avg_price_per_gb,ttl_used,ttl_usable,pct_used,ttl_allocated,ttl_iops,ttl_latency,client_id,period_id
SAN,5.0,1000000.0,22000.0,2.5,1258.92,1532.44,82.15,1285.26,41603.67,0.56,188,1589
NAS,10.0,40000.0,2000.0,1.5,25.14,41.06,61.23,30.56,0.0,0.0,188,1592
SAN,5.0,1000000.0,22000.0,2.5,1258.59,1532.44,82.13,1285.26,42420.03,0.45,188,1592
NAS,10.0,40000.0,2000.0,1.5,25.14,41.06,61.23,30.56,0.0,0.0,188,1594
SAN,5.0,1000000.0,22000.0,2.5,1258.63,1532.44,82.13,1285.26,41267.35,0.46,188,1594
NAS,10.0,40000.0,2000.0,1.5,25.14,41.06,61.23,30.56,0.0,0.0,188,1596
SAN,5.0,1000000.0,22000.0,2.5,1259.04,1532.45,82.16,1285.26,42802.3,0.45,188,1596
NAS,10.0,40000.0,2000.0,1.5,25.14,41.06,61.23,30.56,0.0,0.0,188,1599
SAN,5.0,1000000.0,22000.0,2.5,1259.27,1532.44,82.17,1285.86,40820.75,0.49,188,1599
NAS,10.0,40000.0,2000.0,1.5,25.14,41.06,61.23,30.56,0.0,0.0,188,1601
SAN,5.0,1000000.0,22000.0,2.5,1259.22,1532.43,82.17,1285.86,39681.98,0.47,188,1601
NAS,10.0,40000.0,2000.0,1.5,25.14,41.06,61.23,30.56,0.0,0.0,188,1603
SAN,5.0,1000000.0,22000.0,2.5,1259.6,1532.43,82.2,1285.86,46243.23,0.42,188,1603
NAS,10.0,40000.0,2000.0,1.5,25.14,41.06,61.23,30.56,0.0,0.0,188,1606
SAN,5.0,1000000.0,22000.0,2.5,1259.26,1532.43,82.17,1285.86,40459.72,0.49,188,1606
NAS,10.0,40000.0,2000.0,1.5,25.14,41.06,61.23,30.56,0.0,0.0,188,1608
SAN,5.0,1000000.0,22000.0,2.5,1259.31,1532.43,82.18,1285.86,39381.58,0.47,188,1608
NAS,10.0,40000.0,2000.0,1.5,25.14,41.06,61.23,30.56,0.0,0.0,188,1610
SAN,5.0,1000000.0,22000.0,2.5,1259.34,1532.43,82.18,1285.86,40440.27,0.48,188,1610
NAS,10.0,40000.0,2000.0,1.5,25.14,41.06,61.23,30.56,0.0,0.0,188,1613
SAN,5.0,1000000.0,22000.0,2.5,1259.44,1532.43,82.19,1285.86,39349.63,0.49,188,1613
NAS,10.0,40000.0,2000.0,1.5,25.14,41.06,61.23,30.56,0.0,0.0,188,1615
SAN,5.0,1000000.0,22000.0,2.5,1259.34,1532.43,82.18,1285.86,42821.82,0.46,188,1615
NAS,10.0,40000.0,2000.0,1.5,25.14,41.06,61.23,30.56,0.0,0.0,188,1617
SAN,5.0,1000000.0,22000.0,2.5,1259.63,1532.43,82.2,1285.86,40299.66,0.48,188,1617
NAS,10.0,40000.0,2000.0,1.5,25.14,41.06,61.23,30.56,0.0,0.0,188,1620
SAN,5.0,1000000.0,22000.0,2.5,1259.66,1532.43,82.2,1286.17,37582.6,0.5,188,1620
NAS,10.0,40000.0,2000.0,1.5,25.14,41.06,61.23,30.56,0.0,0.0,188,1622
SAN,5.0,3100000.0,71000.0,2.06,1490.81,1897.99,78.55,1688.74,109188.4,0.37,188,1622
NAS,10.0,40000.0,2000.0,1.5,25.14,41.06,61.23,30.56,0.0,0.0,188,1624
SAN,5.0,1000000.0,22000.0,2.5,1256.12,1532.43,81.97,1282.57,40051.28,0.49,188,1624
NAS,10.0,40000.0,2000.0,1.5,25.14,41.06,61.23,30.56,0.0,0.0,188,1627
SAN,5.0,1000000.0,22000.0,2.5,1256.64,1532.43,82.0,1282.57,38788.28,0.52,188,1627
NAS,10.0,40000.0,2000.0,1.5,25.14,41.06,61.23,30.56,0.0,0.0,188,1629
SAN,5.0,1000000.0,22000.0,2.5,1256.65,1532.43,82.0,1282.57,40173.28,0.46,188,1629
NAS,10.0,40000.0,2000.0,1.5,25.14,41.06,61.23,30.56,0.0,0.0,188,1631
SAN,5.0,1000000.0,22000.0,2.5,1207.2,1532.43,78.78,1232.71,43564.6,0.53,188,1631
NAS,10.0,40000.0,2000.0,1.5,25.14,41.06,61.23,30.56,0.0,0.0,188,1634
SAN,5.0,1000000.0,22000.0,2.5,1206.74,1532.43,78.75,1234.14,37588.44,0.52,188,1634
NAS,10.0,40000.0,2000.0,1.5,25.14,41.06,61.23,30.56,0.0,0.0,188,1636
SAN,5.0,1000000.0,22000.0,2.5,1206.78,1532.43,78.75,1234.14,43741.71,0.5,188,1636
NAS,10.0,40000.0,2000.0,1.5,25.14,41.06,61.23,30.56,0.0,0.0,188,1638
SAN,5.0,1000000.0,22000.0,2.5,1207.07,1532.43,78.77,1234.14,41962.38,0.51,188,1638
NAS,10.0,40000.0,2000.0,1.5,25.14,41.06,61.23,30.56,0.0,0.0,188,1641
SAN,5.0,1000000.0,22000.0,2.5,1206.76,1532.43,78.75,1234.14,38424.76,0.6,188,1641
NAS,10.0,40000.0,2000.0,1.5,25.14,41.06,61.23,30.56,0.0,0.0,188,1643
SAN,5.0,1000000.0,22000.0,2.5,1206.93,1532.43,78.76,1234.14,39844.25,0.47,188,1643
NAS,10.0,40000.0,2000.0,1.5,25.14,41.06,61.23,30.56,0.0,0.0,188,1645
SAN,5.0,1000000.0,22000.0,2.5,1207.06,1532.43,78.77,1234.14,43712.54,0.51,188,1645
NAS,10.0,40000.0,2000.0,1.5,25.14,41.06,61.23,30.56,0.0,0.0,188,1648
SAN,5.0,1000000.0,22000.0,2.5,1206.77,1532.43,78.75,1234.14,34253.64,0.48,188,1648
NAS,10.0,40000.0,2000.0,1.5,25.14,41.06,61.23,30.56,0.0,0.0,188,1650
SAN,5.0,1000000.0,22000.0,2.5,1206.81,1532.43,78.75,1234.14,38593.79,0.55,188,1650
NAS,10.0,40000.0,2000.0,1.5,25.14,41.06,61.23,30.56,0.0,0.0,188,1652
SAN,5.0,1000000.0,22000.0,2.5,1206.82,1532.43,78.75,1233.84,49233.52,0.49,188,1652
NAS,10.0,40000.0,2000.0,1.5,25.14,41.06,61.23,30.56,0.0,0.0,188,1655
SAN,5.0,1000000.0,22000.0,2.5,1208.35,1532.43,78.85,1235.43,39113.52,0.65,188,1655
NAS,10.0,40000.0,2000.0,1.5,25.14,41.06,61.23,30.56,0.0,0.0,188,1657
SAN,5.0,1000000.0,22000.0,2.5,1208.4,1532.43,78.86,1235.43,40676.02,0.55,188,1657
NAS,10.0,40000.0,2000.0,1.5,25.14,41.06,61.23,30.56,0.0,0.0,188,1659
SAN,5.0,1000000.0,22000.0,2.5,1209.92,1532.43,78.95,1236.73,45309.36,0.52,188,1659
NAS,10.0,40000.0,2000.0,1.5,25.14,41.06,61.23,30.56,0.0,0.0,188,1662
SAN,5.0,1000000.0,22000.0,2.5,1209.79,1532.43,78.95,1236.73,38410.95,0.54,188,1662
NAS,10.0,40000.0,2000.0,1.5,25.14,41.06,61.23,30.56,0.0,0.0,188,1664
SAN,5.0,1000000.0,22000.0,2.5,1209.85,1532.43,78.95,1236.73,40077.73,0.49,188,1664
NAS,10.0,40000.0,2000.0,1.5,25.14,41.06,61.23,30.56,0.0,0.0,188,1666
SAN,5.0,1000000.0,22000.0,2.5,1209.98,1532.43,78.96,1236.88,45056.33,0.49,188,1666
NAS,10.0,40000.0,2000.0,1.5,25.15,41.06,61.25,30.77,0.0,0.0,188,1669
SAN,5.0,1000000.0,22000.0,2.5,1215.11,1532.43,79.29,1242.0,44178.91,0.53,188,1669
NAS,10.0,40000.0,2000.0,1.5,25.15,41.06,61.25,30.77,0.0,0.0,188,1671
SAN,5.0,1000000.0,22000.0,2.5,1215.0,1532.43,79.29,1242.0,40687.28,0.47,188,1671
NAS,10.0,40000.0,2000.0,1.5,25.15,41.06,61.25,30.77,0.0,0.0,188,1673
SAN,5.0,1000000.0,22000.0,2.5,1214.98,1532.43,79.28,1242.0,45684.14,0.52,188,1673
NAS,10.0,40000.0,2000.0,1.5,25.15,41.06,61.25,30.77,0.0,0.0,188,1676
SAN,5.0,1000000.0,22000.0,2.5,1215.02,1532.43,79.29,1242.0,40259.18,0.59,188,1676
NAS,10.0,40000.0,2000.0,1.5,25.15,41.06,61.25,30.77,0.0,0.0,188,1678
SAN,5.0,1000000.0,22000.0,2.5,1215.14,1532.43,79.29,1242.0,41803.19,0.51,188,1678
NAS,10.0,40000.0,2000.0,1.5,25.15,41.06,61.25,30.77,0.0,0.0,188,1680
SAN,5.0,1000000.0,22000.0,2.5,1215.2,1532.43,79.3,1242.19,45696.04,0.53,188,1680
NAS,10.0,40000.0,2000.0,1.5,25.15,41.06,61.25,30.77,0.0,0.0,188,1683
SAN,5.0,1000000.0,22000.0,2.5,1213.64,1532.43,79.2,1240.12,40913.89,0.57,188,1683
NAS,10.0,40000.0,2000.0,1.5,25.15,41.06,61.25,30.77,0.0,0.0,188,1685
SAN,5.0,1000000.0,22000.0,2.5,1213.73,1532.43,79.2,1240.12,41930.7,0.47,188,1685
NAS,10.0,40000.0,2000.0,1.5,25.15,41.06,61.25,30.77,0.0,0.0,188,1687
SAN,5.0,1000000.0,22000.0,2.5,1213.58,1532.43,79.19,1240.12,47562.82,0.5,188,1687
NAS,10.0,40000.0,2000.0,1.5,25.15,41.06,61.26,30.77,0.0,0.0,188,1690
SAN,5.0,800000.0,18000.0,2.17,623.97,893.29,69.85,651.17,38999.32,0.51,188,1690
NAS,10.0,40000.0,2000.0,1.5,25.15,41.06,61.26,30.77,0.0,0.0,188,1692
SAN,5.0,800000.0,18000.0,2.17,624.03,893.29,69.86,651.17,39730.45,0.56,188,1692
NAS,10.0,40000.0,2000.0,1.5,25.15,41.06,61.26,30.77,0.0,0.0,188,1694
SAN,5.0,800000.0,18000.0,2.17,625.36,893.29,70.01,655.37,44459.74,0.57,188,1694
NAS,10.0,40000.0,2000.0,1.5,25.15,41.06,61.26,30.77,0.0,0.0,188,1697
SAN,5.0,800000.0,18000.0,2.17,625.38,893.29,70.01,655.37,31477.04,0.77,188,1697
NAS,10.0,40000.0,2000.0,1.5,25.15,41.06,61.26,30.77,0.0,0.0,188,1699
SAN,5.0,800000.0,18000.0,2.17,625.56,893.29,70.03,655.37,37061.68,0.6,188,1699
NAS,10.0,40000.0,2000.0,1.5,25.15,41.06,61.27,30.77,0.0,0.0,188,1701
SAN,5.0,800000.0,18000.0,2.17,625.52,893.29,70.02,655.37,43090.93,0.63,188,1701
NAS,10.0,40000.0,2000.0,1.5,25.16,41.06,61.27,30.77,0.0,0.0,188,1704
SAN,5.0,800000.0,18000.0,2.17,625.56,893.29,70.03,655.37,40045.72,0.58,188,1704
NAS,10.0,40000.0,2000.0,1.5,25.16,41.06,61.27,30.77,0.0,0.0,188,1706
SAN,5.0,600000.0,14000.0,1.75,490.66,725.92,67.59,520.21,30368.55,0.81,188,1706
NAS,10.0,40000.0,2000.0,1.5,25.16,41.06,61.27,30.77,0.0,0.0,188,1708
SAN,5.0,800000.0,18000.0,2.17,626.54,893.29,70.14,658.17,42155.68,0.61,188,1708
NAS,10.0,40000.0,2000.0,1.5,25.16,41.06,61.27,30.77,0.0,0.0,188,1711
SAN,5.0,800000.0,18000.0,2.17,623.55,893.29,69.8,654.71,38676.27,0.64,188,1711
NAS,10.0,40000.0,2000.0,1.5,25.16,41.06,61.27,30.77,0.0,0.0,188,1713
SAN,5.0,800000.0,18000.0,2.17,623.61,893.29,69.81,654.71,41269.04,0.62,188,1713
NAS,10.0,40000.0,2000.0,1.5,25.16,41.06,61.27,30.77,0.0,0.0,188,1715
SAN,5.0,800000.0,18000.0,2.17,623.14,893.29,69.76,654.21,46653.1,0.59,188,1715
NAS,10.0,40000.0,2000.0,1.5,25.16,41.06,61.27,30.77,0.0,0.0,188,1718
SAN,5.0,800000.0,18000.0,2.17,623.46,893.29,69.79,654.21,40722.7,0.55,188,1718
NAS,10.0,40000.0,2000.0,1.5,25.16,41.06,61.27,30.77,0.0,0.0,188,1720
SAN,5.0,800000.0,18000.0,2.17,623.48,893.29,69.8,654.21,39592.5,0.59,188,1720
NAS,10.0,40000.0,2000.0,1.5,25.16,41.06,61.27,30.77,0.0,0.0,188,1722
SAN,5.0,600000.0,14000.0,1.75,488.49,725.92,67.29,519.05,37904.25,0.71,188,1722
NAS,10.0,40000.0,2000.0,1.5,25.16,41.06,61.27,30.77,0.0,0.0,188,1725
SAN,5.0,800000.0,18000.0,2.17,623.43,893.29,69.79,654.21,38674.45,0.58,188,1725
NAS,10.0,40000.0,2000.0,1.5,25.16,41.06,61.27,30.77,0.0,0.0,188,1727
SAN,5.0,800000.0,18000.0,2.17,623.5,893.29,69.8,654.21,42255.58,0.55,188,1727
NAS,10.0,40000.0,2000.0,1.5,25.16,41.06,61.27,30.77,0.0,0.0,188,1729
SAN,5.0,800000.0,18000.0,2.17,623.59,893.29,69.81,654.21,45338.5,0.61,188,1729
NAS,10.0,40000.0,2000.0,1.5,25.16,41.06,61.27,30.77,0.0,0.0,188,1732
SAN,5.0,800000.0,18000.0,2.17,608.34,893.29,68.1,639.06,42307.63,0.57,188,1732
NAS,10.0,40000.0,2000.0,1.5,25.16,41.06,61.27,30.77,0.0,0.0,188,1734
SAN,5.0,800000.0,18000.0,2.17,608.37,893.29,68.1,639.06,41429.57,0.57,188,1734
NAS,10.0,40000.0,2000.0,1.5,25.16,41.06,61.27,30.77,0.0,0.0,188,1736
SAN,5.0,800000.0,18000.0,2.17,608.5,893.29,68.12,639.06,43243.68,0.61,188,1736
NAS,10.0,40000.0,2000.0,1.5,25.16,41.06,61.28,43.13,0.0,0.0,188,1739
SAN,5.0,800000.0,18000.0,2.17,608.36,893.29,68.1,639.06,43009.94,0.6,188,1739
NAS,10.0,40000.0,2000.0,1.5,25.16,41.06,61.27,30.77,0.0,0.0,188,1741
SAN,5.0,800000.0,18000.0,2.17,608.41,893.29,68.11,639.06,43008.7,0.66,188,1741
NAS,10.0,40000.0,2000.0,1.5,25.16,41.06,61.27,30.77,0.0,0.0,188,1743
SAN,5.0,800000.0,18000.0,2.17,608.38,893.29,68.11,639.06,44343.88,0.56,188,1743
NAS,10.0,40000.0,2000.0,1.5,25.16,41.06,61.27,30.77,0.0,0.0,188,1746
SAN,5.0,800000.0,18000.0,2.17,608.42,893.29,68.11,639.06,46590.75,0.68,188,1746
NAS,10.0,40000.0,2000.0,1.5,25.16,41.06,61.27,30.77,0.0,0.0,188,1748
SAN,5.0,800000.0,18000.0,2.17,608.84,893.29,68.16,639.06,39234.72,0.67,188,1748
NAS,10.0,40000.0,2000.0,1.5,25.16,41.06,61.27,30.77,0.0,0.0,188,1750
SAN,5.0,800000.0,18000.0,2.17,610.02,893.29,68.29,640.33,45094.32,0.68,188,1750
NAS,10.0,40000.0,2000.0,1.5,25.16,41.06,61.27,30.77,0.0,0.0,188,1753
SAN,5.0,800000.0,18000.0,2.17,611.22,893.29,68.42,642.09,40826.08,0.74,188,1753
NAS,10.0,40000.0,2000.0,1.5,25.16,41.06,61.27,30.77,0.0,0.0,188,1755
SAN,5.0,800000.0,18000.0,2.17,611.23,893.29,68.42,642.09,39868.06,0.62,188,1755
NAS,10.0,40000.0,2000.0,1.5,25.16,41.06,61.27,30.77,0.0,0.0,188,1757
SAN,5.0,800000.0,18000.0,2.17,610.62,893.29,68.36,640.97,42472.14,1.22,188,1757
NAS,10.0,40000.0,2000.0,1.5,25.16,41.06,61.27,30.77,0.0,0.0,188,1760
SAN,5.0,800000.0,18000.0,2.17,610.46,893.29,68.34,640.97,41734.9,0.83,188,1760
NAS,10.0,40000.0,2000.0,1.5,25.16,41.06,61.27,30.77,0.0,0.0,188,1762
SAN,5.0,800000.0,18000.0,2.17,610.47,893.29,68.34,640.97,29254.47,0.89,188,1762
NAS,10.0,40000.0,2000.0,1.5,25.16,41.06,61.27,30.77,0.0,0.0,188,1764
SAN,5.0,800000.0,18000.0,2.17,610.81,893.29,68.38,640.97,35225.09,1.71,188,1764
NAS,10.0,40000.0,2000.0,1.5,25.16,41.06,61.27,42.76,0.0,0.0,188,1767
SAN,5.0,800000.0,18000.0,2.17,610.86,893.29,68.38,640.97,48263.03,1.15,188,1767
NAS,10.0,40000.0,2000.0,1.5,25.16,41.06,61.27,30.77,0.0,0.0,188,1769
SAN,5.0,800000.0,18000.0,2.17,610.55,893.29,68.35,640.97,38464.24,0.6,188,1769
NAS,10.0,40000.0,2000.0,1.5,25.16,41.06,61.27,30.77,0.0,0.0,188,1771
SAN,5.0,800000.0,18000.0,2.17,610.68,893.29,68.36,640.97,47682.25,0.86,188,1771
