data_center,classification,ttl_latency_capacity,ttl_iops_capacity,ttl_mbsec_capacity,avg_price_per_gb,ttl_used,ttl_usable,pct_used,ttl_allocated,ttl_iops,ttl_latency,client_id,period_id
Colo,Prod-iSeries,10.0,500000.0,7000.0,1.75,154.13,202.06,76.28,434.77,11368.21,0.97,137,1467
Westland,DR,10.0,500000.0,7000.0,1.75,62.96,197.37,31.9,542.21,6657.25,0.13,137,1467
Colo,Prod-Open,10.0,100000.0,2000.0,3.0,147.67,191.21,77.23,152.62,0.0,0.0,137,1468
Westland,DR,10.0,100000.0,2000.0,3.0,47.93,195.93,24.46,48.15,0.0,0.0,137,1468
Colo,Prod-Open,10.0,600000.0,9000.0,2.38,301.04,393.16,76.57,586.53,27351.15,1.52,137,1469
Westland,DR,10.0,600000.0,9000.0,2.38,110.62,393.25,28.13,590.13,11672.98,0.12,137,1469
Colo,Prod-iSeries,10.0,500000.0,7000.0,1.75,154.42,202.04,76.43,434.77,27489.72,1.63,137,1470
Westland,DR,10.0,500000.0,7000.0,1.75,62.98,197.38,31.91,542.21,13627.62,0.14,137,1470
Colo,Prod-Open,10.0,600000.0,9000.0,2.38,303.62,393.11,77.24,589.08,27988.66,1.55,137,1471
Westland,DR,10.0,600000.0,9000.0,2.38,113.58,393.27,28.88,593.01,11175.73,0.12,137,1471
Colo,Prod-Open,10.0,600000.0,9000.0,2.38,301.07,392.82,76.64,587.33,43567.47,0.19,137,1474
Westland,DR,10.0,600000.0,9000.0,2.38,113.38,393.27,28.83,592.85,10847.32,0.09,137,1474
Colo,Prod-Open,10.0,600000.0,9000.0,2.38,303.83,392.21,77.47,590.1,58769.17,0.62,137,1476
Westland,DR,10.0,600000.0,9000.0,2.38,114.31,393.29,29.07,593.76,15198.43,0.09,137,1476
Colo,Prod-Open,10.0,600000.0,9000.0,2.38,279.16,392.99,71.04,564.8,54483.44,0.77,137,1478
Westland,DR,10.0,600000.0,9000.0,2.38,113.53,393.26,28.87,593.01,13128.8,0.09,137,1478
Colo,Prod-Open,10.0,600000.0,9000.0,2.38,275.5,393.19,70.07,561.31,60940.02,0.21,137,1481
Westland,DR,10.0,600000.0,9000.0,2.38,115.07,393.29,29.26,594.17,7099.73,0.11,137,1481
