data_center,classification,ttl_latency_capacity,ttl_iops_capacity,ttl_mbsec_capacity,avg_price_per_gb,ttl_used,ttl_usable,pct_used,ttl_allocated,ttl_iops,ttl_latency,client_id,period_id
Colo,Prod-Open,10.0,600000.0,9000.0,2.38,276.28,393.56,70.2,561.72,62342.57,0.44,137,1483
Westland,DR,10.0,600000.0,9000.0,2.38,114.34,393.27,29.07,593.43,8245.52,0.1,137,1483
Colo,Prod-Open,10.0,600000.0,9000.0,2.38,277.72,394.28,70.44,561.92,64934.84,0.66,137,1485
Westland,DR,10.0,600000.0,9000.0,2.38,113.04,393.28,28.74,592.11,13813.39,0.1,137,1485
Colo,Prod-Open,10.0,600000.0,9000.0,2.38,275.04,393.85,69.83,559.17,75580.3,0.49,137,1488
Westland,DR,10.0,600000.0,9000.0,2.38,113.21,393.37,28.78,592.1,8154.45,0.09,137,1488
Colo,Prod-Open,10.0,600000.0,9000.0,2.38,273.75,393.98,69.48,558.53,63229.31,0.5,137,1490
Westland,DR,10.0,600000.0,9000.0,2.38,112.73,393.32,28.66,591.73,17657.11,0.07,137,1490
Colo,Prod-Open,10.0,600000.0,9000.0,2.38,275.62,394.46,69.87,559.49,67035.65,0.53,137,1492
Westland,DR,10.0,600000.0,9000.0,2.38,116.94,393.28,29.73,595.98,24334.25,0.06,137,1492
Colo,Prod-Open,10.0,600000.0,9000.0,2.38,272.85,394.23,69.21,557.66,57687.99,0.18,137,1495
Westland,DR,10.0,600000.0,9000.0,2.38,130.92,392.28,33.37,610.92,8900.87,0.08,137,1495
Colo,Prod-Open,10.0,600000.0,9000.0,2.38,274.83,394.28,69.7,558.8,61234.28,0.39,137,1497
Westland,DR,10.0,600000.0,9000.0,2.38,138.4,391.85,35.32,618.82,12651.3,0.1,137,1497
Colo,Prod-Open,10.0,600000.0,9000.0,2.38,274.13,394.56,69.48,558.28,65364.06,0.59,137,1499
Westland,DR,10.0,600000.0,9000.0,2.38,138.48,392.19,35.31,618.57,17069.77,0.07,137,1499
Colo,Prod-Open,10.0,600000.0,9000.0,2.38,272.93,394.38,69.2,557.97,51944.26,0.24,137,1502
Westland,DR,10.0,600000.0,9000.0,2.38,140.13,392.38,35.71,619.98,10331.17,0.08,137,1502
Colo,Prod-Open,10.0,600000.0,9000.0,2.38,273.66,394.28,69.41,558.28,73531.53,0.61,137,1504
Westland,DR,10.0,600000.0,9000.0,2.38,140.65,392.41,35.84,620.48,14624.65,0.08,137,1504
Colo,Prod-Open,10.0,600000.0,9000.0,2.38,277.68,394.85,70.33,561.5,66858.44,0.6,137,1506
Westland,DR,10.0,600000.0,9000.0,2.38,139.18,392.28,35.48,619.15,14235.85,0.09,137,1506
Colo,Prod-iSeries,10.0,500000.0,7000.0,1.75,150.82,199.54,75.58,434.77,26339.21,1.06,137,1509
Westland,DR,10.0,600000.0,9000.0,2.38,137.8,392.37,35.12,617.65,18725.78,0.12,137,1509
Colo,Prod-Open,10.0,600000.0,9000.0,2.38,271.35,394.26,68.82,555.83,68064.95,0.61,137,1511
Westland,DR,10.0,600000.0,9000.0,2.38,138.57,392.44,35.31,618.4,14108.76,0.09,137,1511
Colo,Prod-Open,10.0,600000.0,9000.0,2.38,271.81,394.6,68.88,555.96,66385.08,0.56,137,1513
Westland,DR,10.0,600000.0,9000.0,2.38,140.21,392.65,35.71,619.8,13769.42,0.1,137,1513
Colo,Prod-Open,10.0,600000.0,9000.0,2.38,270.12,394.3,68.51,554.98,57423.87,0.2,137,1516
Westland,DR,10.0,100000.0,2000.0,3.0,74.96,195.04,38.43,76.08,2924.08,0.0,137,1516
Colo,Prod-Open,10.0,600000.0,9000.0,2.38,270.88,394.21,68.72,555.3,68085.85,0.64,137,1518
Westland,DR,10.0,600000.0,9000.0,2.38,138.41,392.28,35.28,618.35,12592.88,0.09,137,1518
Colo,Prod-Open,10.0,600000.0,9000.0,2.38,273.28,394.6,69.25,557.14,67880.41,0.61,137,1520
Westland,DR,10.0,600000.0,9000.0,2.38,140.14,392.52,35.7,619.83,13837.27,0.09,137,1520
Colo,Prod-Open,10.0,100000.0,2000.0,3.0,116.97,192.22,60.85,120.91,47411.25,0.0,137,1523
Westland,DR,10.0,600000.0,9000.0,2.38,138.89,392.39,35.4,618.7,10239.91,0.09,137,1523
Colo,Prod-Open,10.0,600000.0,9000.0,2.38,271.63,394.13,68.92,556.02,61616.07,0.52,137,1525
Westland,DR,10.0,600000.0,9000.0,2.38,139.59,392.44,35.57,619.34,14938.64,0.09,137,1525
Colo,Prod-Open,10.0,600000.0,9000.0,2.38,273.55,394.54,69.33,557.48,41140.83,0.0,137,1527
Westland,DR,10.0,600000.0,9000.0,2.38,139.0,392.47,35.42,618.71,2692.5,0.0,137,1527
Colo,Prod-Open,10.0,600000.0,9000.0,2.38,271.47,394.24,68.86,556.22,60708.86,0.23,137,1530
Westland,DR,10.0,600000.0,9000.0,2.38,139.31,392.4,35.5,619.06,11128.39,0.17,137,1530
Colo,Prod-Open,10.0,600000.0,9000.0,2.38,272.26,394.15,69.08,556.45,58873.81,0.12,137,1532
Westland,DR,10.0,600000.0,9000.0,2.38,139.81,392.43,35.63,619.51,10793.71,0.08,137,1532
Colo,Prod-Open,10.0,600000.0,9000.0,2.38,277.88,394.45,70.45,561.98,55986.21,0.31,137,1534
Westland,DR,10.0,600000.0,9000.0,2.38,140.9,392.56,35.89,620.49,11245.64,0.08,137,1534
Colo,Prod-Open,10.0,600000.0,9000.0,2.38,273.91,394.15,69.49,557.72,54328.22,0.2,137,1537
Westland,DR,10.0,600000.0,9000.0,2.38,140.7,392.45,35.85,620.38,7178.73,0.19,137,1537
Colo,Prod-Open,10.0,600000.0,9000.0,2.38,274.07,394.14,69.54,558.46,54677.05,0.18,137,1539
Westland,DR,10.0,600000.0,9000.0,2.38,140.64,392.36,35.84,620.54,10599.95,0.08,137,1539
Colo,Prod-Open,10.0,600000.0,9000.0,2.38,274.71,394.34,69.66,558.86,53233.24,0.24,137,1541
Westland,DR,10.0,600000.0,9000.0,2.38,141.67,392.64,36.08,621.3,12137.24,0.09,137,1541
Colo,Prod-Open,10.0,600000.0,9000.0,2.38,272.6,394.14,69.16,557.45,56671.16,0.14,137,1544
Westland,DR,10.0,600000.0,9000.0,2.38,138.75,392.31,35.37,618.76,8778.91,0.18,137,1544
Colo,Prod-Open,10.0,600000.0,9000.0,2.38,274.55,394.1,69.66,558.98,57194.97,0.15,137,1546
Westland,DR,10.0,600000.0,9000.0,2.38,139.57,392.41,35.57,619.57,8005.0,0.09,137,1546
Colo,Prod-Open,10.0,600000.0,9000.0,2.38,275.96,394.48,69.95,559.99,57730.32,0.24,137,1548
Westland,DR,10.0,600000.0,9000.0,2.38,141.02,392.66,35.91,620.79,12071.41,0.1,137,1548
Colo,Prod-Open,10.0,600000.0,9000.0,2.38,274.93,394.16,69.75,559.77,58807.52,0.16,137,1551
Westland,DR,10.0,600000.0,9000.0,2.38,139.34,392.43,35.51,619.33,8050.3,0.18,137,1551
Colo,Prod-Open,10.0,600000.0,9000.0,2.38,274.7,394.07,69.71,559.0,70917.89,0.36,137,1553
Westland,DR,10.0,600000.0,9000.0,2.38,139.35,392.45,35.51,619.33,14672.52,0.11,137,1553
Colo,Prod-Open,10.0,600000.0,9000.0,2.38,276.26,394.4,70.05,560.68,61688.95,0.25,137,1555
Westland,DR,10.0,600000.0,9000.0,2.38,140.69,392.69,35.83,620.59,12435.97,0.11,137,1555
Colo,Prod-Open,10.0,600000.0,9000.0,2.38,275.92,394.48,69.95,560.4,66674.21,0.18,137,1558
Westland,DR,10.0,600000.0,9000.0,2.38,140.1,392.6,35.69,620.33,8579.11,0.18,137,1558
Colo,Prod-Open,10.0,600000.0,9000.0,2.38,276.1,394.18,70.04,560.14,65512.53,0.27,137,1560
Westland,DR,10.0,600000.0,9000.0,2.38,139.72,392.51,35.6,620.21,11341.16,0.1,137,1560
Colo,Prod-Open,10.0,600000.0,9000.0,2.38,278.83,394.62,70.66,562.66,62906.93,0.28,137,1562
Westland,DR,10.0,600000.0,9000.0,2.38,141.0,392.61,35.91,621.39,12681.69,0.1,137,1562
Colo,Prod-Open,10.0,600000.0,9000.0,2.38,276.28,394.45,70.04,561.05,63979.77,0.25,137,1565
Westland,DR,10.0,600000.0,9000.0,2.38,140.23,392.48,35.73,620.72,8973.83,0.22,137,1565
Colo,Prod-Open,10.0,600000.0,9000.0,2.38,276.18,394.09,70.08,560.51,60855.78,0.18,137,1567
Westland,DR,10.0,600000.0,9000.0,2.38,140.37,392.49,35.77,620.88,9397.01,0.13,137,1567
Colo,Prod-Open,10.0,600000.0,9000.0,2.38,277.89,394.52,70.44,561.66,62455.0,0.34,137,1569
Westland,DR,10.0,600000.0,9000.0,2.38,141.58,392.64,36.06,621.91,13752.06,0.12,137,1569
Colo,Prod-Open,10.0,600000.0,9000.0,2.38,275.87,394.34,69.96,560.52,67467.67,0.23,137,1572
Westland,DR,10.0,600000.0,9000.0,2.38,141.05,392.54,35.93,621.43,9425.75,0.16,137,1572
Colo,Prod-iSeries,10.0,500000.0,7000.0,1.75,154.51,202.06,76.47,434.77,17269.34,1.13,137,1574
Westland,DR,10.0,600000.0,9000.0,2.38,140.77,392.47,35.87,621.21,10696.54,0.1,137,1574
Colo,Prod-Open,10.0,600000.0,9000.0,2.38,278.73,394.54,70.65,562.59,63607.72,0.32,137,1576
Westland,DR,10.0,600000.0,9000.0,2.38,142.05,392.66,36.18,622.27,13084.64,0.11,137,1576
Colo,Prod-Open,10.0,600000.0,9000.0,2.38,279.95,394.54,70.96,563.2,70658.6,0.21,137,1579
Westland,DR,10.0,600000.0,9000.0,2.38,140.12,392.37,35.71,620.53,9930.39,0.19,137,1579
Colo,Prod-Open,10.0,600000.0,9000.0,2.38,277.78,394.09,70.49,562.13,58095.97,0.21,137,1581
Westland,DR,10.0,600000.0,9000.0,2.38,140.44,392.36,35.79,620.93,9228.4,0.1,137,1581
Colo,Prod-iSeries,10.0,500000.0,7000.0,1.75,154.97,202.06,76.69,434.77,31315.49,0.88,137,1583
Westland,DR,10.0,600000.0,9000.0,2.38,142.2,392.54,36.23,622.51,16054.64,0.11,137,1583
Colo,Prod-Open,10.0,600000.0,9000.0,2.38,279.66,394.31,70.92,564.17,61863.38,0.27,137,1586
Westland,DR,10.0,600000.0,9000.0,2.38,142.63,392.5,36.34,622.33,9031.53,0.23,137,1586
Colo,Prod-Open,10.0,600000.0,9000.0,2.38,279.41,394.0,70.92,563.72,51691.36,0.22,137,1588
Westland,DR,10.0,600000.0,9000.0,2.38,142.33,392.42,36.27,622.11,10615.79,0.1,137,1588
Colo,Prod-Open,10.0,600000.0,9000.0,2.38,281.03,394.4,71.26,565.0,59681.79,0.57,137,1590
Westland,DR,10.0,600000.0,9000.0,2.38,143.63,392.55,36.59,623.22,12980.89,0.11,137,1590
Colo,Prod-Open,10.0,600000.0,9000.0,2.38,281.01,394.36,71.26,565.46,59242.17,0.22,137,1593
Westland,DR,10.0,600000.0,9000.0,2.38,142.0,392.21,36.2,621.95,8483.63,0.18,137,1593
Colo,Prod-Open,10.0,600000.0,9000.0,2.38,280.92,394.06,71.29,564.93,53743.0,0.24,137,1595
Westland,DR,10.0,600000.0,9000.0,2.38,142.99,392.41,36.44,622.75,9722.28,0.09,137,1595
Colo,Prod-Open,10.0,600000.0,9000.0,2.38,284.09,394.38,72.04,568.08,53751.76,0.36,137,1597
Westland,DR,10.0,600000.0,9000.0,2.38,142.04,391.96,36.24,622.22,12780.81,0.1,137,1597
Colo,Prod-Open,10.0,600000.0,9000.0,2.38,280.36,394.28,71.11,558.01,63783.8,0.3,137,1600
Westland,DR,10.0,600000.0,9000.0,2.38,139.06,392.02,35.47,608.27,9910.58,0.17,137,1600
Colo,Prod-Open,10.0,600000.0,9000.0,2.38,278.96,393.88,70.82,557.4,51251.8,0.18,137,1602
Westland,DR,10.0,100000.0,2000.0,3.0,78.89,194.7,40.52,80.35,1349.18,0.0,137,1602
Colo,Prod-Open,10.0,600000.0,9000.0,2.38,281.4,394.33,71.36,559.26,52707.79,0.34,137,1604
Westland,DR,10.0,600000.0,9000.0,2.38,138.48,392.3,35.3,607.32,11757.31,0.11,137,1604
Colo,Prod-Open,10.0,600000.0,9000.0,2.38,276.63,394.39,70.14,554.89,60507.93,0.24,137,1607
Westland,DR,10.0,600000.0,9000.0,2.38,138.66,392.63,35.31,607.17,11675.61,0.17,137,1607
Colo,Prod-Open,10.0,600000.0,9000.0,2.38,275.61,394.15,69.93,554.3,49299.05,0.3,137,1609
Westland,DR,10.0,600000.0,9000.0,2.38,136.96,392.54,34.89,605.46,5389.78,0.07,137,1609
Colo,Prod-Open,10.0,600000.0,9000.0,2.38,278.13,394.45,70.51,555.83,51895.43,0.26,137,1611
Westland,DR,10.0,600000.0,9000.0,2.38,138.02,392.67,35.15,606.37,11051.9,0.11,137,1611
Colo,Prod-Open,10.0,600000.0,9000.0,2.38,277.79,394.37,70.44,555.87,68866.1,0.31,137,1614
Westland,DR,10.0,600000.0,9000.0,2.38,138.45,392.67,35.26,606.77,11629.23,0.18,137,1614
Colo,Prod-Open,10.0,600000.0,9000.0,2.38,277.95,394.14,70.52,555.88,56430.07,0.32,137,1616
Westland,DR,10.0,600000.0,9000.0,2.38,138.8,392.67,35.35,607.08,10346.59,0.09,137,1616
Colo,Prod-Open,10.0,600000.0,9000.0,2.38,281.45,394.4,71.36,558.7,55609.58,0.29,137,1618
Westland,DR,10.0,600000.0,9000.0,2.38,140.32,392.82,35.72,607.9,13301.48,0.12,137,1618
Colo,Prod-Open,10.0,600000.0,9000.0,2.38,281.64,394.42,71.41,559.28,57132.74,0.29,137,1621
Westland,DR,10.0,600000.0,9000.0,2.38,138.69,392.64,35.32,606.46,6693.56,0.19,137,1621
Colo,Prod-Open,10.0,600000.0,9000.0,2.38,281.46,394.19,71.4,558.52,54488.57,0.24,137,1623
Westland,DR,10.0,500000.0,7000.0,1.75,60.99,197.37,30.9,527.87,9307.34,0.11,137,1623
Colo,Prod-Open,10.0,600000.0,9000.0,2.38,290.24,394.57,73.56,567.26,56830.57,0.35,137,1625
Westland,DR,10.0,600000.0,9000.0,2.38,140.38,392.72,35.74,608.01,13292.98,0.1,137,1625
Colo,Prod-Open,10.0,600000.0,9000.0,2.38,284.03,394.44,72.01,568.19,60936.49,0.23,137,1628
Westland,DR,10.0,600000.0,9000.0,2.38,139.56,392.69,35.54,613.69,10975.88,0.18,137,1628
Colo,Prod-Open,10.0,600000.0,9000.0,2.38,285.46,394.26,72.4,569.35,52323.42,0.22,137,1630
Westland,DR,10.0,600000.0,9000.0,2.38,139.84,392.65,35.61,613.63,10299.72,0.1,137,1630
Colo,Prod-Open,10.0,600000.0,9000.0,2.38,286.45,394.47,72.62,570.09,51033.25,0.33,137,1632
Westland,DR,10.0,600000.0,9000.0,2.38,140.78,392.81,35.84,614.48,11910.76,0.12,137,1632
Colo,Prod-Open,10.0,600000.0,9000.0,2.38,285.87,394.27,72.5,569.15,60108.35,0.26,137,1635
Westland,DR,10.0,600000.0,9000.0,2.38,140.52,392.7,35.78,614.32,8046.83,0.19,137,1635
Colo,Prod-Open,10.0,600000.0,9000.0,2.38,284.98,394.12,72.31,569.08,54038.9,0.2,137,1637
Westland,DR,10.0,600000.0,9000.0,2.38,140.19,392.62,35.71,614.11,9576.24,0.09,137,1637
Colo,Prod-Open,10.0,600000.0,9000.0,2.38,286.81,394.41,72.72,570.52,54779.47,0.32,137,1639
Westland,DR,10.0,600000.0,9000.0,2.38,141.31,392.78,35.98,614.99,12171.89,0.1,137,1639
Colo,Prod-Open,10.0,600000.0,9000.0,2.38,284.4,394.27,72.13,568.74,58949.35,0.17,137,1642
Westland,DR,10.0,600000.0,9000.0,2.38,140.78,392.69,35.85,614.62,7174.9,0.13,137,1642
Colo,Prod-Open,10.0,600000.0,9000.0,2.38,285.07,394.03,72.35,569.14,61762.34,0.37,137,1644
Westland,DR,10.0,600000.0,9000.0,2.38,140.62,392.61,35.82,614.54,15080.41,0.12,137,1644
Colo,Prod-Open,10.0,600000.0,9000.0,2.38,286.91,394.25,72.77,570.45,55069.27,0.49,137,1646
Westland,DR,10.0,600000.0,9000.0,2.38,139.82,392.63,35.61,613.35,11724.03,0.1,137,1646
Colo,Prod-Open,10.0,600000.0,9000.0,2.38,284.29,394.2,72.12,569.19,54311.09,0.13,137,1649
Westland,DR,10.0,600000.0,9000.0,2.38,139.99,392.62,35.66,613.89,6749.67,0.15,137,1649
Colo,Prod-Open,10.0,600000.0,9000.0,2.38,285.32,393.98,72.42,569.88,51205.76,0.16,137,1651
Westland,DR,10.0,600000.0,9000.0,2.38,140.18,392.58,35.71,614.14,8859.07,0.11,137,1651
Colo,Prod-Open,10.0,600000.0,9000.0,2.38,288.4,394.31,73.14,572.71,50250.88,0.21,137,1653
Westland,DR,10.0,600000.0,9000.0,2.38,141.57,392.66,36.05,615.43,9828.84,0.09,137,1653
Colo,Prod-Open,10.0,600000.0,9000.0,2.38,284.19,394.1,72.11,569.53,54911.42,0.17,137,1656
Westland,DR,10.0,600000.0,9000.0,2.38,140.86,392.59,35.88,614.76,5836.22,0.18,137,1656
Colo,Prod-Open,10.0,600000.0,9000.0,2.38,286.5,393.99,72.72,570.99,51609.73,0.2,137,1658
Westland,DR,10.0,600000.0,9000.0,2.38,140.85,392.55,35.88,614.77,8481.67,0.09,137,1658
Colo,Prod-Open,10.0,600000.0,9000.0,2.38,287.46,394.12,72.94,572.24,48051.09,0.3,137,1660
Westland,DR,10.0,600000.0,9000.0,2.38,141.94,392.73,36.14,615.74,9177.2,0.08,137,1660
Colo,Prod-Open,10.0,600000.0,9000.0,2.38,286.47,394.01,72.71,571.06,55927.41,0.18,137,1663
Westland,DR,10.0,600000.0,9000.0,2.38,141.71,392.63,36.09,615.6,6081.55,0.15,137,1663
Colo,Prod-Open,10.0,100000.0,2000.0,3.0,132.56,192.0,69.04,136.72,43120.48,0.0,137,1665
Westland,DR,10.0,600000.0,9000.0,2.38,141.51,392.57,36.05,615.37,8832.7,0.08,137,1665
Colo,Prod-Open,10.0,600000.0,9000.0,2.38,287.68,394.22,72.98,572.5,52358.07,0.28,137,1667
Westland,DR,10.0,600000.0,9000.0,2.38,140.42,392.59,35.77,614.32,9690.51,0.1,137,1667
Colo,Prod-Open,10.0,600000.0,9000.0,2.38,286.29,394.2,72.63,571.16,59026.06,0.18,137,1670
Westland,DR,10.0,600000.0,9000.0,2.38,142.1,392.77,36.18,615.78,5674.38,0.14,137,1670
Colo,Prod-Open,10.0,600000.0,9000.0,2.38,286.88,394.01,72.81,571.73,50858.2,0.17,137,1672
Westland,DR,10.0,600000.0,9000.0,2.38,142.04,392.78,36.16,615.72,8097.3,0.09,137,1672
Colo,Prod-Open,10.0,600000.0,9000.0,2.38,287.62,394.19,72.96,572.32,50108.93,0.24,137,1674
Westland,DR,10.0,600000.0,9000.0,2.38,142.37,392.81,36.24,616.0,10188.16,0.1,137,1674
Colo,Prod-Open,10.0,600000.0,9000.0,2.38,286.27,394.23,72.62,571.01,60151.95,0.17,137,1677
Westland,DR,10.0,600000.0,9000.0,2.38,141.95,392.76,36.14,615.66,5806.56,0.15,137,1677
Colo,Prod-Open,10.0,600000.0,9000.0,2.38,287.48,394.06,72.95,572.08,52383.21,0.2,137,1679
Westland,DR,10.0,600000.0,9000.0,2.38,142.27,392.78,36.22,615.81,8523.32,0.08,137,1679
Colo,Prod-Open,10.0,600000.0,9000.0,2.38,289.19,393.98,73.4,574.22,55722.87,0.58,137,1681
Westland,DR,10.0,600000.0,9000.0,2.38,142.42,392.79,36.26,616.06,9399.05,0.11,137,1681
Colo,Prod-Open,10.0,600000.0,9000.0,2.38,286.32,394.03,72.66,571.42,56024.89,0.19,137,1684
Westland,DR,10.0,600000.0,9000.0,2.38,142.51,392.73,36.29,616.15,6318.73,0.16,137,1684
Colo,Prod-Open,10.0,600000.0,9000.0,2.38,297.15,395.68,75.1,580.35,45366.77,0.2,137,1686
Westland,DR,10.0,600000.0,9000.0,2.38,142.85,392.75,36.37,616.48,7883.23,0.07,137,1686
Colo,Prod-Open,10.0,600000.0,9000.0,2.38,299.39,395.18,75.76,583.37,43631.83,0.45,137,1688
Westland,DR,10.0,600000.0,9000.0,2.38,143.04,392.73,36.42,616.62,8483.09,0.1,137,1688
Colo,Prod-Open,10.0,600000.0,9000.0,2.38,301.05,395.43,76.13,584.01,55557.25,0.19,137,1691
Westland,DR,10.0,600000.0,9000.0,2.38,141.7,392.33,36.12,615.76,5237.56,0.14,137,1691
Colo,Prod-Open,10.0,600000.0,9000.0,2.38,300.0,395.56,75.84,583.77,46887.34,0.21,137,1693
Westland,DR,10.0,600000.0,9000.0,2.38,141.81,392.29,36.15,615.95,8315.17,0.09,137,1693
Colo,Prod-Open,10.0,600000.0,9000.0,2.38,298.28,395.85,75.35,581.66,48248.28,0.29,137,1695
Westland,DR,10.0,600000.0,9000.0,2.38,142.04,392.28,36.21,615.8,9538.54,0.09,137,1695
Colo,Prod-Open,10.0,600000.0,9000.0,2.38,300.22,395.62,75.89,583.91,58430.09,0.2,137,1698
Westland,DR,10.0,600000.0,9000.0,2.38,142.67,392.44,36.35,616.61,5337.31,0.1,137,1698
Colo,Prod-Open,10.0,600000.0,9000.0,2.38,300.58,395.65,75.97,583.97,48529.87,0.2,137,1700
Westland,DR,10.0,600000.0,9000.0,2.38,143.4,392.47,36.54,617.3,8760.8,0.11,137,1700
Colo,Prod-Open,10.0,600000.0,9000.0,2.38,300.47,395.77,75.92,583.9,47451.51,0.25,137,1702
Westland,DR,10.0,600000.0,9000.0,2.38,142.36,392.46,36.27,616.21,9874.49,0.09,137,1702
Colo,Prod-Open,10.0,600000.0,9000.0,2.38,301.1,395.58,76.12,584.82,57412.16,0.19,137,1705
Westland,DR,10.0,600000.0,9000.0,2.38,143.46,392.63,36.54,617.17,5371.73,0.1,137,1705
Colo,Prod-Open,10.0,600000.0,9000.0,2.38,299.11,395.57,75.61,583.3,34037.21,0.11,137,1707
Westland,DR,10.0,600000.0,9000.0,2.38,142.94,392.59,36.41,616.7,2740.59,0.06,137,1707
Colo,Prod-Open,10.0,600000.0,9000.0,2.38,301.39,395.72,76.16,584.8,37698.53,0.39,137,1709
Westland,DR,10.0,600000.0,9000.0,2.38,143.14,392.61,36.46,616.87,10156.82,0.11,137,1709
Colo,Prod-Open,10.0,600000.0,9000.0,2.38,301.38,395.54,76.2,585.14,47346.97,0.23,137,1712
Westland,DR,10.0,600000.0,9000.0,2.38,143.27,392.6,36.49,617.0,4500.02,0.11,137,1712
Colo,Prod-Open,10.0,600000.0,9000.0,2.38,301.31,395.63,76.16,584.74,41513.58,0.21,137,1714
Westland,DR,10.0,600000.0,9000.0,2.38,143.42,392.63,36.53,617.11,8559.13,0.08,137,1714
Colo,Prod-Open,10.0,600000.0,9000.0,2.38,302.97,395.6,76.58,586.54,37445.29,0.3,137,1716
Westland,DR,10.0,600000.0,9000.0,2.38,143.55,392.66,36.56,617.06,9127.05,0.1,137,1716
Colo,Prod-Open,10.0,600000.0,9000.0,2.38,301.79,395.58,76.29,585.51,60502.72,0.23,137,1719
Westland,DR,10.0,600000.0,9000.0,2.38,143.32,392.63,36.5,616.98,5135.76,0.1,137,1719
Colo,Prod-Open,10.0,600000.0,9000.0,2.38,301.56,395.6,76.23,585.19,68353.32,0.25,137,1721
Westland,DR,10.0,600000.0,9000.0,2.38,143.48,392.64,36.54,617.12,7723.56,0.1,137,1721
Colo,Prod-Open,10.0,600000.0,9000.0,2.38,302.05,395.71,76.33,585.34,55819.76,0.41,137,1723
Westland,DR,10.0,600000.0,9000.0,2.38,143.65,392.83,36.57,617.1,9830.87,0.1,137,1723
Colo,Prod-Open,10.0,600000.0,9000.0,2.38,303.61,395.48,76.77,586.62,62839.67,0.16,137,1726
Westland,DR,10.0,600000.0,9000.0,2.38,143.91,392.83,36.63,617.31,4728.32,0.11,137,1726
Colo,Prod-Open,10.0,600000.0,9000.0,2.38,302.5,395.49,76.49,586.25,56097.2,0.15,137,1728
Westland,DR,10.0,600000.0,9000.0,2.38,144.14,392.81,36.69,617.56,7584.17,0.1,137,1728
Colo,Prod-Open,10.0,600000.0,9000.0,2.38,303.18,395.67,76.62,586.8,53586.1,0.29,137,1730
Westland,DR,10.0,600000.0,9000.0,2.38,144.21,392.84,36.71,617.62,8767.42,0.12,137,1730
Colo,Prod-iSeries,10.0,500000.0,7000.0,1.75,153.46,202.06,75.95,434.77,7961.65,0.86,137,1733
Westland,DR,10.0,600000.0,9000.0,2.38,143.31,392.82,36.48,616.75,5624.52,0.1,137,1733
Colo,Prod-Open,10.0,600000.0,9000.0,2.38,305.15,395.27,77.2,588.88,60668.46,0.18,137,1735
Westland,DR,10.0,600000.0,9000.0,2.38,143.89,392.83,36.63,617.35,10741.77,0.1,137,1735
Colo,Prod-iSeries,10.0,500000.0,7000.0,1.75,153.51,202.06,75.97,434.77,12070.05,1.63,137,1737
Westland,DR,10.0,600000.0,9000.0,2.38,141.47,392.86,36.01,614.89,9211.12,0.09,137,1737
Colo,Prod-Open,10.0,100000.0,2000.0,3.0,147.17,193.44,76.08,149.89,50780.34,0.0,137,1740
Westland,DR,10.0,100000.0,2000.0,3.0,80.31,195.45,41.09,81.01,1254.19,0.0,137,1740
Colo,Prod-Open,10.0,600000.0,9000.0,2.38,300.3,395.39,75.95,584.36,54642.61,0.24,137,1742
