classification,device_type_code,device_type_description,cpu_util,latency_capacity,avg_price_per_gb,ttl_used,ttl_usable,pct_used,ttl_allocated,client_id,period_id
DR,VMAX_DEVICE,EMC VMax Device,100.0,10.0,3.0,49.65,195.91,25.34,49.9,137,1485
Prod-iSeries,V7000_DEVICE,IBM V7000 Device,100.0,10.0,1.75,154.52,202.07,76.47,434.77,137,1485
Prod-Open,VMAX_DEVICE,EMC VMax Device,100.0,10.0,3.0,123.2,192.21,64.1,127.15,137,1485
DR,V7000_DEVICE,IBM V7000 Device,100.0,10.0,1.75,63.49,197.38,32.17,542.21,137,1488
DR,VMAX_DEVICE,EMC VMax Device,100.0,10.0,3.0,49.72,195.99,25.37,49.89,137,1488
Prod-iSeries,V7000_DEVICE,IBM V7000 Device,100.0,10.0,1.75,154.99,202.05,76.71,434.77,137,1488
Prod-Open,VMAX_DEVICE,EMC VMax Device,100.0,10.0,3.0,120.05,191.8,62.59,124.4,137,1488
DR,V7000_DEVICE,IBM V7000 Device,100.0,10.0,1.75,63.42,197.37,32.13,542.21,137,1490
DR,VMAX_DEVICE,EMC VMax Device,100.0,10.0,3.0,49.32,195.95,25.17,49.52,137,1490
Prod-iSeries,V7000_DEVICE,IBM V7000 Device,100.0,10.0,1.75,154.24,202.07,76.33,434.77,137,1490
Prod-Open,VMAX_DEVICE,EMC VMax Device,100.0,10.0,3.0,119.51,191.92,62.27,123.75,137,1490
DR,V7000_DEVICE,IBM V7000 Device,100.0,10.0,1.75,63.41,197.37,32.13,542.21,137,1492
DR,VMAX_DEVICE,EMC VMax Device,100.0,10.0,3.0,53.53,195.91,27.32,53.77,137,1492
Prod-iSeries,V7000_DEVICE,IBM V7000 Device,100.0,10.0,1.75,154.66,202.06,76.54,434.77,137,1492
Prod-Open,VMAX_DEVICE,EMC VMax Device,100.0,10.0,3.0,120.95,192.39,62.87,124.72,137,1492
DR,V7000_DEVICE,IBM V7000 Device,100.0,10.0,1.75,63.46,197.37,32.15,542.21,137,1495
DR,VMAX_DEVICE,EMC VMax Device,100.0,10.0,3.0,67.46,194.91,34.61,68.71,137,1495
Prod-iSeries,V7000_DEVICE,IBM V7000 Device,100.0,10.0,1.75,153.96,202.06,76.2,434.77,137,1495
Prod-Open,VMAX_DEVICE,EMC VMax Device,100.0,10.0,3.0,118.89,192.17,61.87,122.88,137,1495
DR,V7000_DEVICE,IBM V7000 Device,100.0,10.0,1.75,63.46,197.37,32.16,542.21,137,1497
DR,VMAX_DEVICE,EMC VMax Device,100.0,10.0,3.0,74.94,194.48,38.53,76.61,137,1497
Prod-iSeries,V7000_DEVICE,IBM V7000 Device,100.0,10.0,1.75,154.74,202.07,76.58,434.77,137,1497
Prod-Open,VMAX_DEVICE,EMC VMax Device,100.0,10.0,3.0,120.08,192.21,62.47,124.03,137,1497
DR,V7000_DEVICE,IBM V7000 Device,100.0,10.0,1.75,63.46,197.37,32.15,542.21,137,1499
DR,VMAX_DEVICE,EMC VMax Device,100.0,10.0,3.0,75.02,194.82,38.51,76.36,137,1499
Prod-iSeries,V7000_DEVICE,IBM V7000 Device,100.0,10.0,1.75,154.28,202.06,76.35,434.77,137,1499
Prod-Open,VMAX_DEVICE,EMC VMax Device,100.0,10.0,3.0,119.85,192.5,62.26,123.51,137,1499
DR,V7000_DEVICE,IBM V7000 Device,100.0,10.0,1.75,63.5,197.37,32.17,542.21,137,1502
DR,VMAX_DEVICE,EMC VMax Device,100.0,10.0,3.0,76.63,195.01,39.29,77.77,137,1502
Prod-iSeries,V7000_DEVICE,IBM V7000 Device,100.0,10.0,1.75,153.57,202.06,76.0,434.77,137,1502
Prod-Open,VMAX_DEVICE,EMC VMax Device,100.0,10.0,3.0,119.35,192.32,62.06,123.19,137,1502
DR,V7000_DEVICE,IBM V7000 Device,100.0,10.0,1.75,63.5,197.38,32.17,542.21,137,1504
DR,VMAX_DEVICE,EMC VMax Device,100.0,10.0,3.0,77.15,195.03,39.56,78.27,137,1504
Prod-iSeries,V7000_DEVICE,IBM V7000 Device,100.0,10.0,1.75,154.1,202.07,76.26,434.77,137,1504
Prod-Open,VMAX_DEVICE,EMC VMax Device,100.0,10.0,3.0,119.56,192.21,62.2,123.51,137,1504
DR,V7000_DEVICE,IBM V7000 Device,100.0,10.0,1.75,63.48,197.37,32.16,542.21,137,1506
DR,VMAX_DEVICE,EMC VMax Device,100.0,10.0,3.0,75.7,194.91,38.84,76.94,137,1506
Prod-iSeries,V7000_DEVICE,IBM V7000 Device,100.0,10.0,1.75,154.33,202.06,76.38,434.77,137,1506
Prod-Open,VMAX_DEVICE,EMC VMax Device,100.0,10.0,3.0,123.35,192.78,63.98,126.73,137,1506
DR,V7000_DEVICE,IBM V7000 Device,100.0,10.0,1.75,63.51,197.37,32.18,542.21,137,1509
DR,VMAX_DEVICE,EMC VMax Device,100.0,10.0,3.0,74.29,195.0,38.1,75.44,137,1509
Prod-iSeries,V7000_DEVICE,IBM V7000 Device,100.0,10.0,1.75,150.82,199.54,75.58,434.77,137,1509
DR,V7000_DEVICE,IBM V7000 Device,100.0,10.0,1.75,63.46,197.37,32.15,542.21,137,1511
DR,VMAX_DEVICE,EMC VMax Device,100.0,10.0,3.0,75.11,195.07,38.5,76.2,137,1511
Prod-iSeries,V7000_DEVICE,IBM V7000 Device,100.0,10.0,1.75,154.26,202.07,76.34,434.77,137,1511
Prod-Open,VMAX_DEVICE,EMC VMax Device,100.0,10.0,3.0,117.09,192.19,60.92,121.06,137,1511
DR,V7000_DEVICE,IBM V7000 Device,100.0,10.0,1.75,63.47,197.36,32.16,542.21,137,1513
DR,VMAX_DEVICE,EMC VMax Device,100.0,10.0,3.0,76.73,195.29,39.29,77.6,137,1513
Prod-iSeries,V7000_DEVICE,IBM V7000 Device,100.0,10.0,1.75,154.25,202.07,76.33,434.77,137,1513
Prod-Open,VMAX_DEVICE,EMC VMax Device,100.0,10.0,3.0,117.56,192.53,61.06,121.19,137,1513
DR,VMAX_DEVICE,EMC VMax Device,100.0,10.0,3.0,74.96,195.04,38.43,76.08,137,1516
Prod-iSeries,V7000_DEVICE,IBM V7000 Device,100.0,10.0,1.75,153.83,202.06,76.13,434.77,137,1516
Prod-Open,VMAX_DEVICE,EMC VMax Device,100.0,10.0,3.0,116.29,192.24,60.49,120.21,137,1516
DR,V7000_DEVICE,IBM V7000 Device,100.0,10.0,1.75,63.51,197.37,32.18,542.21,137,1518
DR,VMAX_DEVICE,EMC VMax Device,100.0,10.0,3.0,74.9,194.91,38.43,76.15,137,1518
Prod-iSeries,V7000_DEVICE,IBM V7000 Device,100.0,10.0,1.75,154.36,202.06,76.39,434.77,137,1518
Prod-Open,VMAX_DEVICE,EMC VMax Device,100.0,10.0,3.0,116.52,192.15,60.64,120.53,137,1518
DR,V7000_DEVICE,IBM V7000 Device,100.0,10.0,1.75,63.51,197.36,32.18,542.21,137,1520
DR,VMAX_DEVICE,EMC VMax Device,100.0,10.0,3.0,76.63,195.17,39.26,77.62,137,1520
Prod-iSeries,V7000_DEVICE,IBM V7000 Device,100.0,10.0,1.75,154.53,202.06,76.48,434.77,137,1520
Prod-Open,VMAX_DEVICE,EMC VMax Device,100.0,10.0,3.0,118.74,192.53,61.67,122.37,137,1520
DR,V7000_DEVICE,IBM V7000 Device,100.0,10.0,1.75,63.54,197.37,32.19,542.21,137,1523
DR,VMAX_DEVICE,EMC VMax Device,100.0,10.0,3.0,75.35,195.02,38.64,76.49,137,1523
Prod-Open,VMAX_DEVICE,EMC VMax Device,100.0,10.0,3.0,116.97,192.22,60.85,120.91,137,1523
DR,V7000_DEVICE,IBM V7000 Device,100.0,10.0,1.75,63.55,197.38,32.2,542.21,137,1525
DR,VMAX_DEVICE,EMC VMax Device,100.0,10.0,3.0,76.04,195.06,38.98,77.13,137,1525
Prod-iSeries,V7000_DEVICE,IBM V7000 Device,100.0,10.0,1.75,154.48,202.06,76.45,434.77,137,1525
Prod-Open,VMAX_DEVICE,EMC VMax Device,100.0,10.0,3.0,117.15,192.07,61.0,121.25,137,1525
DR,V7000_DEVICE,IBM V7000 Device,100.0,10.0,1.75,63.56,197.37,32.2,542.21,137,1527
DR,VMAX_DEVICE,EMC VMax Device,100.0,10.0,3.0,75.44,195.09,38.67,76.51,137,1527
Prod-iSeries,V7000_DEVICE,IBM V7000 Device,100.0,10.0,1.75,154.52,202.06,76.47,434.77,137,1527
Prod-Open,VMAX_DEVICE,EMC VMax Device,100.0,10.0,3.0,119.03,192.48,61.84,122.71,137,1527
DR,V7000_DEVICE,IBM V7000 Device,100.0,10.0,1.75,63.59,197.38,32.22,542.21,137,1530
DR,VMAX_DEVICE,EMC VMax Device,100.0,10.0,3.0,75.72,195.02,38.83,76.86,137,1530
Prod-iSeries,V7000_DEVICE,IBM V7000 Device,100.0,10.0,1.75,154.01,202.06,76.22,434.77,137,1530
Prod-Open,VMAX_DEVICE,EMC VMax Device,100.0,10.0,3.0,117.47,192.18,61.12,121.45,137,1530
DR,V7000_DEVICE,IBM V7000 Device,100.0,10.0,1.75,63.59,197.36,32.22,542.21,137,1532
DR,VMAX_DEVICE,EMC VMax Device,100.0,10.0,3.0,76.22,195.07,39.07,77.31,137,1532
Prod-iSeries,V7000_DEVICE,IBM V7000 Device,100.0,10.0,1.75,154.66,202.06,76.54,434.77,137,1532
Prod-Open,VMAX_DEVICE,EMC VMax Device,100.0,10.0,3.0,117.6,192.09,61.22,121.68,137,1532
DR,V7000_DEVICE,IBM V7000 Device,100.0,10.0,1.75,63.59,197.38,32.22,542.21,137,1534
DR,VMAX_DEVICE,EMC VMax Device,100.0,10.0,3.0,77.3,195.18,39.61,78.29,137,1534
Prod-iSeries,V7000_DEVICE,IBM V7000 Device,100.0,10.0,1.75,154.44,202.06,76.43,434.77,137,1534
Prod-Open,VMAX_DEVICE,EMC VMax Device,100.0,10.0,3.0,123.44,192.39,64.16,127.21,137,1534
DR,V7000_DEVICE,IBM V7000 Device,100.0,10.0,1.75,63.64,197.42,32.24,542.21,137,1537
DR,VMAX_DEVICE,EMC VMax Device,100.0,10.0,3.0,77.05,195.04,39.51,78.17,137,1537
Prod-iSeries,V7000_DEVICE,IBM V7000 Device,100.0,10.0,1.75,155.02,202.05,76.72,434.77,137,1537
Prod-Open,VMAX_DEVICE,EMC VMax Device,100.0,10.0,3.0,118.89,192.1,61.89,122.95,137,1537
DR,V7000_DEVICE,IBM V7000 Device,100.0,10.0,1.75,63.47,197.36,32.16,542.21,137,1539
DR,VMAX_DEVICE,EMC VMax Device,100.0,10.0,3.0,77.17,195.0,39.57,78.33,137,1539
Prod-iSeries,V7000_DEVICE,IBM V7000 Device,100.0,10.0,1.75,154.45,202.06,76.44,434.77,137,1539
Prod-Open,VMAX_DEVICE,EMC VMax Device,100.0,10.0,3.0,119.61,192.08,62.27,123.69,137,1539
DR,V7000_DEVICE,IBM V7000 Device,100.0,10.0,1.75,63.45,197.37,32.15,542.21,137,1541
DR,VMAX_DEVICE,EMC VMax Device,100.0,10.0,3.0,78.21,195.28,40.05,79.09,137,1541
Prod-iSeries,V7000_DEVICE,IBM V7000 Device,100.0,10.0,1.75,154.5,202.06,76.46,434.77,137,1541
Prod-Open,VMAX_DEVICE,EMC VMax Device,100.0,10.0,3.0,120.21,192.28,62.52,124.09,137,1541
DR,V7000_DEVICE,IBM V7000 Device,100.0,10.0,1.75,63.34,197.3,32.11,542.21,137,1544
DR,VMAX_DEVICE,EMC VMax Device,100.0,10.0,3.0,75.41,195.01,38.67,76.55,137,1544
Prod-iSeries,V7000_DEVICE,IBM V7000 Device,100.0,10.0,1.75,154.01,202.07,76.22,434.77,137,1544
Prod-Open,VMAX_DEVICE,EMC VMax Device,100.0,10.0,3.0,118.59,192.07,61.74,122.68,137,1544
DR,V7000_DEVICE,IBM V7000 Device,100.0,10.0,1.75,63.33,197.37,32.09,542.21,137,1546
DR,VMAX_DEVICE,EMC VMax Device,100.0,10.0,3.0,76.24,195.04,39.09,77.37,137,1546
Prod-iSeries,V7000_DEVICE,IBM V7000 Device,100.0,10.0,1.75,154.46,202.06,76.44,434.77,137,1546
Prod-Open,VMAX_DEVICE,EMC VMax Device,100.0,10.0,3.0,120.09,192.04,62.53,124.21,137,1546
DR,V7000_DEVICE,IBM V7000 Device,100.0,10.0,1.75,63.3,197.37,32.07,542.21,137,1548
DR,VMAX_DEVICE,EMC VMax Device,100.0,10.0,3.0,77.71,195.29,39.79,78.58,137,1548
Prod-iSeries,V7000_DEVICE,IBM V7000 Device,100.0,10.0,1.75,154.48,202.06,76.45,434.77,137,1548
Prod-Open,VMAX_DEVICE,EMC VMax Device,100.0,10.0,3.0,121.48,192.42,63.13,125.22,137,1548
DR,V7000_DEVICE,IBM V7000 Device,100.0,10.0,1.75,63.32,197.37,32.08,542.21,137,1551
DR,VMAX_DEVICE,EMC VMax Device,100.0,10.0,3.0,76.02,195.06,38.97,77.12,137,1551
Prod-iSeries,V7000_DEVICE,IBM V7000 Device,100.0,10.0,1.75,153.98,202.06,76.21,434.77,137,1551
Prod-Open,VMAX_DEVICE,EMC VMax Device,100.0,10.0,3.0,120.95,192.11,62.96,125.0,137,1551
DR,V7000_DEVICE,IBM V7000 Device,100.0,10.0,1.75,63.31,197.38,32.07,542.21,137,1553
DR,VMAX_DEVICE,EMC VMax Device,100.0,10.0,3.0,76.04,195.07,38.98,77.13,137,1553
Prod-iSeries,V7000_DEVICE,IBM V7000 Device,100.0,10.0,1.75,154.61,202.05,76.52,434.77,137,1553
Prod-Open,VMAX_DEVICE,EMC VMax Device,100.0,10.0,3.0,120.09,192.02,62.54,124.23,137,1553
DR,V7000_DEVICE,IBM V7000 Device,100.0,10.0,1.75,63.15,197.37,31.99,542.21,137,1555
DR,VMAX_DEVICE,EMC VMax Device,100.0,10.0,3.0,77.54,195.32,39.7,78.38,137,1555
Prod-iSeries,V7000_DEVICE,IBM V7000 Device,100.0,10.0,1.75,154.13,202.02,76.3,434.77,137,1555
Prod-Open,VMAX_DEVICE,EMC VMax Device,100.0,10.0,3.0,122.12,192.38,63.48,125.91,137,1555
DR,V7000_DEVICE,IBM V7000 Device,100.0,10.0,1.75,62.91,197.37,31.87,542.21,137,1558
DR,VMAX_DEVICE,EMC VMax Device,100.0,10.0,3.0,77.19,195.23,39.54,78.13,137,1558
Prod-iSeries,V7000_DEVICE,IBM V7000 Device,100.0,10.0,1.75,154.04,202.06,76.23,434.77,137,1558
Prod-Open,VMAX_DEVICE,EMC VMax Device,100.0,10.0,3.0,121.88,192.42,63.34,125.62,137,1558
DR,V7000_DEVICE,IBM V7000 Device,100.0,10.0,1.75,62.74,197.38,31.79,542.21,137,1560
DR,VMAX_DEVICE,EMC VMax Device,100.0,10.0,3.0,76.98,195.13,39.45,78.01,137,1560
Prod-iSeries,V7000_DEVICE,IBM V7000 Device,100.0,10.0,1.75,154.78,202.06,76.6,434.77,137,1560
Prod-Open,VMAX_DEVICE,EMC VMax Device,100.0,10.0,3.0,121.32,192.12,63.15,125.37,137,1560
DR,V7000_DEVICE,IBM V7000 Device,100.0,10.0,1.75,62.73,197.36,31.78,542.21,137,1562
DR,VMAX_DEVICE,EMC VMax Device,100.0,10.0,3.0,78.28,195.25,40.09,79.18,137,1562
Prod-iSeries,V7000_DEVICE,IBM V7000 Device,100.0,10.0,1.75,154.55,202.07,76.48,434.77,137,1562
Prod-Open,VMAX_DEVICE,EMC VMax Device,100.0,10.0,3.0,124.28,192.55,64.54,127.89,137,1562
DR,V7000_DEVICE,IBM V7000 Device,100.0,10.0,1.75,62.75,197.36,31.8,542.21,137,1565
DR,VMAX_DEVICE,EMC VMax Device,100.0,10.0,3.0,77.48,195.12,39.71,78.52,137,1565
Prod-iSeries,V7000_DEVICE,IBM V7000 Device,100.0,10.0,1.75,153.78,202.06,76.11,434.77,137,1565
Prod-Open,VMAX_DEVICE,EMC VMax Device,100.0,10.0,3.0,122.5,192.39,63.67,126.28,137,1565
DR,V7000_DEVICE,IBM V7000 Device,100.0,10.0,1.75,62.75,197.38,31.79,542.21,137,1567
DR,VMAX_DEVICE,EMC VMax Device,100.0,10.0,3.0,77.62,195.1,39.78,78.67,137,1567
Prod-iSeries,V7000_DEVICE,IBM V7000 Device,100.0,10.0,1.75,154.56,202.05,76.5,434.77,137,1567
Prod-Open,VMAX_DEVICE,EMC VMax Device,100.0,10.0,3.0,121.61,192.04,63.33,125.73,137,1567
DR,V7000_DEVICE,IBM V7000 Device,100.0,10.0,1.75,62.77,197.37,31.8,542.21,137,1569
DR,VMAX_DEVICE,EMC VMax Device,100.0,10.0,3.0,78.81,195.27,40.36,79.7,137,1569
Prod-iSeries,V7000_DEVICE,IBM V7000 Device,100.0,10.0,1.75,154.7,202.06,76.56,434.77,137,1569
Prod-Open,VMAX_DEVICE,EMC VMax Device,100.0,10.0,3.0,123.19,192.46,64.01,126.89,137,1569
DR,V7000_DEVICE,IBM V7000 Device,100.0,10.0,1.75,62.81,197.37,31.82,542.21,137,1572
DR,VMAX_DEVICE,EMC VMax Device,100.0,10.0,3.0,78.23,195.17,40.09,79.22,137,1572
Prod-iSeries,V7000_DEVICE,IBM V7000 Device,100.0,10.0,1.75,154.0,202.06,76.21,434.77,137,1572
Prod-Open,VMAX_DEVICE,EMC VMax Device,100.0,10.0,3.0,121.87,192.28,63.38,125.75,137,1572
DR,V7000_DEVICE,IBM V7000 Device,100.0,10.0,1.75,62.82,197.37,31.83,542.21,137,1574
DR,VMAX_DEVICE,EMC VMax Device,100.0,10.0,3.0,77.95,195.1,39.95,79.0,137,1574
Prod-iSeries,V7000_DEVICE,IBM V7000 Device,100.0,10.0,1.75,154.51,202.06,76.47,434.77,137,1574
DR,V7000_DEVICE,IBM V7000 Device,100.0,10.0,1.75,62.86,197.37,31.85,542.21,137,1576
DR,VMAX_DEVICE,EMC VMax Device,100.0,10.0,3.0,79.19,195.29,40.55,80.06,137,1576
Prod-iSeries,V7000_DEVICE,IBM V7000 Device,100.0,10.0,1.75,154.58,202.06,76.5,434.77,137,1576
Prod-Open,VMAX_DEVICE,EMC VMax Device,100.0,10.0,3.0,124.14,192.48,64.5,127.82,137,1576
DR,V7000_DEVICE,IBM V7000 Device,100.0,10.0,1.75,62.95,197.37,31.89,542.21,137,1579
DR,VMAX_DEVICE,EMC VMax Device,100.0,10.0,3.0,77.17,195.0,39.57,78.32,137,1579
Prod-iSeries,V7000_DEVICE,IBM V7000 Device,100.0,10.0,1.75,155.2,202.06,76.81,434.77,137,1579
Prod-Open,VMAX_DEVICE,EMC VMax Device,100.0,10.0,3.0,124.74,192.48,64.81,128.42,137,1579
DR,V7000_DEVICE,IBM V7000 Device,100.0,10.0,1.75,62.89,197.37,31.86,542.21,137,1581
DR,VMAX_DEVICE,EMC VMax Device,100.0,10.0,3.0,77.56,194.99,39.78,78.72,137,1581
Prod-iSeries,V7000_DEVICE,IBM V7000 Device,100.0,10.0,1.75,154.55,202.06,76.49,434.77,137,1581
Prod-Open,VMAX_DEVICE,EMC VMax Device,100.0,10.0,3.0,123.23,192.03,64.17,127.36,137,1581
DR,V7000_DEVICE,IBM V7000 Device,100.0,10.0,1.75,62.88,197.38,31.86,542.21,137,1583
DR,VMAX_DEVICE,EMC VMax Device,100.0,10.0,3.0,79.31,195.16,40.64,80.31,137,1583
Prod-iSeries,V7000_DEVICE,IBM V7000 Device,100.0,10.0,1.75,154.97,202.06,76.69,434.77,137,1583
DR,V7000_DEVICE,IBM V7000 Device,100.0,10.0,1.75,63.54,197.38,32.19,542.21,137,1586
DR,VMAX_DEVICE,EMC VMax Device,100.0,10.0,3.0,79.09,195.12,40.53,80.13,137,1586
Prod-iSeries,V7000_DEVICE,IBM V7000 Device,100.0,10.0,1.75,154.17,202.06,76.3,434.77,137,1586
Prod-Open,VMAX_DEVICE,EMC VMax Device,100.0,10.0,3.0,125.49,192.25,65.27,129.4,137,1586
DR,V7000_DEVICE,IBM V7000 Device,100.0,10.0,1.75,63.54,197.38,32.19,542.21,137,1588
DR,VMAX_DEVICE,EMC VMax Device,100.0,10.0,3.0,78.79,195.05,40.4,79.9,137,1588
Prod-iSeries,V7000_DEVICE,IBM V7000 Device,100.0,10.0,1.75,154.67,202.06,76.55,434.77,137,1588
Prod-Open,VMAX_DEVICE,EMC VMax Device,100.0,10.0,3.0,124.74,191.94,64.99,128.95,137,1588
DR,V7000_DEVICE,IBM V7000 Device,100.0,10.0,1.75,63.58,197.36,32.22,542.21,137,1590
DR,VMAX_DEVICE,EMC VMax Device,100.0,10.0,3.0,80.05,195.2,41.01,81.01,137,1590
Prod-iSeries,V7000_DEVICE,IBM V7000 Device,100.0,10.0,1.75,154.63,202.06,76.52,434.77,137,1590
Prod-Open,VMAX_DEVICE,EMC VMax Device,100.0,10.0,3.0,126.4,192.33,65.72,130.23,137,1590
DR,V7000_DEVICE,IBM V7000 Device,100.0,10.0,1.75,63.57,197.37,32.21,542.21,137,1593
DR,VMAX_DEVICE,EMC VMax Device,100.0,10.0,3.0,78.43,194.84,40.25,79.74,137,1593
Prod-iSeries,V7000_DEVICE,IBM V7000 Device,100.0,10.0,1.75,154.17,202.06,76.3,434.77,137,1593
Prod-Open,VMAX_DEVICE,EMC VMax Device,100.0,10.0,3.0,126.83,192.3,65.96,130.69,137,1593
DR,V7000_DEVICE,IBM V7000 Device,100.0,10.0,1.75,63.57,197.37,32.21,542.21,137,1595
DR,VMAX_DEVICE,EMC VMax Device,100.0,10.0,3.0,79.42,195.03,40.72,80.54,137,1595
Prod-iSeries,V7000_DEVICE,IBM V7000 Device,100.0,10.0,1.75,154.92,202.06,76.67,434.77,137,1595
Prod-Open,VMAX_DEVICE,EMC VMax Device,100.0,10.0,3.0,126.0,192.0,65.63,130.16,137,1595
DR,V7000_DEVICE,IBM V7000 Device,100.0,10.0,1.75,63.58,197.36,32.22,542.21,137,1597
DR,VMAX_DEVICE,EMC VMax Device,100.0,10.0,3.0,78.46,194.6,40.32,80.02,137,1597
Prod-iSeries,V7000_DEVICE,IBM V7000 Device,100.0,10.0,1.75,154.63,202.06,76.52,434.77,137,1597
Prod-Open,VMAX_DEVICE,EMC VMax Device,100.0,10.0,3.0,129.47,192.32,67.32,133.31,137,1597
DR,V7000_DEVICE,IBM V7000 Device,100.0,10.0,1.75,60.18,197.37,30.49,527.87,137,1600
DR,VMAX_DEVICE,EMC VMax Device,100.0,10.0,3.0,78.88,194.65,40.53,80.4,137,1600
Prod-iSeries,V7000_DEVICE,IBM V7000 Device,100.0,10.0,1.75,151.85,202.06,75.15,425.56,137,1600
Prod-Open,VMAX_DEVICE,EMC VMax Device,100.0,10.0,3.0,128.51,192.22,66.86,132.45,137,1600
DR,VMAX_DEVICE,EMC VMax Device,100.0,10.0,3.0,78.89,194.7,40.52,80.35,137,1602
Prod-iSeries,V7000_DEVICE,IBM V7000 Device,100.0,10.0,1.75,151.45,202.06,74.95,425.56,137,1602
Prod-Open,VMAX_DEVICE,EMC VMax Device,100.0,10.0,3.0,127.51,191.82,66.47,131.84,137,1602
DR,V7000_DEVICE,IBM V7000 Device,100.0,10.0,1.75,60.26,197.37,30.53,527.87,137,1604
DR,VMAX_DEVICE,EMC VMax Device,100.0,10.0,3.0,78.22,194.93,40.13,79.45,137,1604
Prod-iSeries,V7000_DEVICE,IBM V7000 Device,100.0,10.0,1.75,151.58,202.06,75.02,425.56,137,1604
Prod-Open,VMAX_DEVICE,EMC VMax Device,100.0,10.0,3.0,129.81,192.27,67.52,133.71,137,1604
DR,V7000_DEVICE,IBM V7000 Device,100.0,10.0,1.75,60.25,197.37,30.53,527.87,137,1607
DR,VMAX_DEVICE,EMC VMax Device,100.0,10.0,3.0,78.41,195.26,40.16,79.3,137,1607
Prod-iSeries,V7000_DEVICE,IBM V7000 Device,100.0,10.0,1.75,151.13,202.06,74.79,425.56,137,1607
Prod-Open,VMAX_DEVICE,EMC VMax Device,100.0,10.0,3.0,125.5,192.33,65.25,129.33,137,1607
DR,V7000_DEVICE,IBM V7000 Device,100.0,10.0,1.75,60.36,197.37,30.58,527.87,137,1609
DR,VMAX_DEVICE,EMC VMax Device,100.0,10.0,3.0,76.6,195.16,39.25,77.59,137,1609
Prod-iSeries,V7000_DEVICE,IBM V7000 Device,100.0,10.0,1.75,150.94,202.06,74.7,425.56,137,1609
Prod-Open,VMAX_DEVICE,EMC VMax Device,100.0,10.0,3.0,124.68,192.1,64.9,128.74,137,1609
DR,V7000_DEVICE,IBM V7000 Device,100.0,10.0,1.75,60.38,197.37,30.59,527.87,137,1611
DR,VMAX_DEVICE,EMC VMax Device,100.0,10.0,3.0,77.64,195.3,39.75,78.5,137,1611
Prod-iSeries,V7000_DEVICE,IBM V7000 Device,100.0,10.0,1.75,151.62,202.06,75.04,425.56,137,1611
Prod-Open,VMAX_DEVICE,EMC VMax Device,100.0,10.0,3.0,126.51,192.39,65.76,130.28,137,1611
DR,V7000_DEVICE,IBM V7000 Device,100.0,10.0,1.75,60.41,197.37,30.61,527.87,137,1614
DR,VMAX_DEVICE,EMC VMax Device,100.0,10.0,3.0,78.04,195.3,39.96,78.9,137,1614
Prod-iSeries,V7000_DEVICE,IBM V7000 Device,100.0,10.0,1.75,151.33,202.06,74.89,425.56,137,1614
Prod-Open,VMAX_DEVICE,EMC VMax Device,100.0,10.0,3.0,126.47,192.31,65.76,130.31,137,1614
DR,V7000_DEVICE,IBM V7000 Device,100.0,10.0,1.75,60.45,197.37,30.63,527.87,137,1616
DR,VMAX_DEVICE,EMC VMax Device,100.0,10.0,3.0,78.34,195.3,40.12,79.21,137,1616
Prod-iSeries,V7000_DEVICE,IBM V7000 Device,100.0,10.0,1.75,151.7,202.06,75.08,425.56,137,1616
Prod-Open,VMAX_DEVICE,EMC VMax Device,100.0,10.0,3.0,126.25,192.09,65.73,130.33,137,1616
DR,V7000_DEVICE,IBM V7000 Device,100.0,10.0,1.75,61.0,197.37,30.91,527.87,137,1618
DR,VMAX_DEVICE,EMC VMax Device,100.0,10.0,3.0,79.32,195.45,40.58,80.03,137,1618
Prod-iSeries,V7000_DEVICE,IBM V7000 Device,100.0,10.0,1.75,152.12,202.06,75.29,425.56,137,1618
Prod-Open,VMAX_DEVICE,EMC VMax Device,100.0,10.0,3.0,129.33,192.35,67.24,133.14,137,1618
DR,V7000_DEVICE,IBM V7000 Device,100.0,10.0,1.75,60.99,197.37,30.9,527.87,137,1621
DR,VMAX_DEVICE,EMC VMax Device,100.0,10.0,3.0,77.7,195.27,39.79,78.59,137,1621
Prod-iSeries,V7000_DEVICE,IBM V7000 Device,100.0,10.0,1.75,151.71,202.06,75.08,425.56,137,1621
Prod-Open,VMAX_DEVICE,EMC VMax Device,100.0,10.0,3.0,129.93,192.36,67.54,133.73,137,1621
DR,V7000_DEVICE,IBM V7000 Device,100.0,10.0,1.75,60.99,197.37,30.9,527.87,137,1623
Prod-iSeries,V7000_DEVICE,IBM V7000 Device,100.0,10.0,1.75,152.52,202.06,75.48,425.56,137,1623
Prod-Open,VMAX_DEVICE,EMC VMax Device,100.0,10.0,3.0,128.94,192.13,67.11,132.96,137,1623
DR,V7000_DEVICE,IBM V7000 Device,100.0,10.0,1.75,61.04,197.37,30.93,527.87,137,1625
DR,VMAX_DEVICE,EMC VMax Device,100.0,10.0,3.0,79.34,195.35,40.61,80.14,137,1625
Prod-iSeries,V7000_DEVICE,IBM V7000 Device,100.0,10.0,1.75,152.18,202.06,75.32,425.56,137,1625
Prod-Open,VMAX_DEVICE,EMC VMax Device,100.0,10.0,3.0,138.06,192.51,71.71,141.71,137,1625
DR,V7000_DEVICE,IBM V7000 Device,100.0,10.0,1.75,60.73,197.37,30.77,534.01,137,1628
DR,VMAX_DEVICE,EMC VMax Device,100.0,10.0,3.0,78.83,195.32,40.36,79.67,137,1628
