classification,device_type_code,device_type_description,cpu_util,latency_capacity,avg_price_per_gb,ttl_used,ttl_usable,pct_used,ttl_allocated,client_id,period_id
Prod-Open,VMAX_DEVICE,EMC VMax Device,100.0,10.0,3.0,153.71,193.12,79.59,156.75,137,1786
DR,V7000_DEVICE,IBM V7000 Device,100.0,10.0,1.75,61.71,197.37,31.27,534.01,137,1789
DR,VMAX_DEVICE,EMC VMax Device,100.0,10.0,3.0,82.76,195.25,42.39,83.67,137,1789
Prod-iSeries,V7000_DEVICE,IBM V7000 Device,100.0,10.0,1.75,154.52,202.06,76.47,434.77,137,1789
Prod-Open,VMAX_DEVICE,EMC VMax Device,100.0,10.0,3.0,153.62,192.63,79.75,157.14,137,1789
DR,V7000_DEVICE,IBM V7000 Device,100.0,10.0,1.75,61.74,197.37,31.28,534.01,137,1791
DR,VMAX_DEVICE,EMC VMax Device,100.0,10.0,3.0,82.87,195.37,42.42,83.66,137,1791
Prod-iSeries,V7000_DEVICE,IBM V7000 Device,100.0,10.0,1.75,154.19,202.06,76.31,434.77,137,1791
Prod-Open,VMAX_DEVICE,EMC VMax Device,100.0,10.0,3.0,149.96,192.61,77.85,153.5,137,1791
DR,V7000_DEVICE,IBM V7000 Device,100.0,10.0,1.75,61.72,197.37,31.27,534.01,137,1793
DR,VMAX_DEVICE,EMC VMax Device,100.0,10.0,3.0,82.98,195.37,42.47,83.77,137,1793
Prod-iSeries,V7000_DEVICE,IBM V7000 Device,100.0,10.0,1.75,154.05,202.06,76.24,434.77,137,1793
DR,V7000_DEVICE,IBM V7000 Device,100.0,10.0,1.75,61.72,197.37,31.27,534.01,137,1796
DR,VMAX_DEVICE,EMC VMax Device,100.0,10.0,3.0,83.66,195.3,42.84,84.52,137,1796
Prod-iSeries,V7000_DEVICE,IBM V7000 Device,100.0,10.0,1.75,153.58,202.06,76.01,434.77,137,1796
Prod-Open,VMAX_DEVICE,EMC VMax Device,100.0,10.0,3.0,149.98,192.51,77.91,153.63,137,1796
DR,V7000_DEVICE,IBM V7000 Device,100.0,10.0,1.75,61.78,197.37,31.3,534.01,137,1798
DR,VMAX_DEVICE,EMC VMax Device,100.0,10.0,3.0,83.56,195.34,42.78,84.38,137,1798
Prod-iSeries,V7000_DEVICE,IBM V7000 Device,100.0,10.0,1.75,154.26,202.06,76.35,434.77,137,1798
Prod-Open,VMAX_DEVICE,EMC VMax Device,100.0,10.0,3.0,151.66,192.55,78.77,155.27,137,1798
DR,V7000_DEVICE,IBM V7000 Device,100.0,10.0,1.75,61.76,197.37,31.29,534.01,137,1800
DR,VMAX_DEVICE,EMC VMax Device,100.0,10.0,3.0,81.69,195.45,41.8,82.4,137,1800
Prod-iSeries,V7000_DEVICE,IBM V7000 Device,100.0,10.0,1.75,153.79,202.06,76.11,434.77,137,1800
Prod-Open,VMAX_DEVICE,EMC VMax Device,100.0,10.0,3.0,152.35,192.77,79.03,155.73,137,1800
DR,V7000_DEVICE,IBM V7000 Device,100.0,10.0,1.75,61.78,197.37,31.3,534.01,137,1803
DR,VMAX_DEVICE,EMC VMax Device,100.0,10.0,3.0,81.46,195.43,41.68,82.19,137,1803
Prod-iSeries,V7000_DEVICE,IBM V7000 Device,100.0,10.0,1.75,153.62,202.06,76.03,434.77,137,1803
Prod-Open,VMAX_DEVICE,EMC VMax Device,100.0,10.0,3.0,149.13,193.47,77.08,151.81,137,1803
DR,V7000_DEVICE,IBM V7000 Device,100.0,10.0,1.75,61.79,197.37,31.31,534.01,137,1805
DR,VMAX_DEVICE,EMC VMax Device,100.0,10.0,3.0,81.81,195.44,41.86,82.53,137,1805
Prod-iSeries,V7000_DEVICE,IBM V7000 Device,100.0,10.0,1.75,154.35,202.06,76.39,434.77,137,1805
Prod-Open,VMAX_DEVICE,EMC VMax Device,100.0,10.0,3.0,151.31,193.2,78.32,154.27,137,1805
DR,V7000_DEVICE,IBM V7000 Device,100.0,10.0,1.75,61.81,197.37,31.32,534.01,137,1807
DR,VMAX_DEVICE,EMC VMax Device,100.0,10.0,3.0,81.98,195.45,41.95,82.69,137,1807
Prod-iSeries,V7000_DEVICE,IBM V7000 Device,100.0,10.0,1.75,154.23,202.06,76.33,434.77,137,1807
Prod-Open,VMAX_DEVICE,EMC VMax Device,100.0,10.0,3.0,151.45,192.68,78.6,154.93,137,1807
DR,V7000_DEVICE,IBM V7000 Device,100.0,10.0,1.75,61.77,197.37,31.3,534.01,137,1810
DR,VMAX_DEVICE,EMC VMax Device,100.0,10.0,3.0,83.35,195.3,42.68,84.21,137,1810
