geography,device_type_code,device_type_description,cpu_util,latency_capacity,avg_price_per_gb,ttl_used,ttl_usable,pct_used,ttl_allocated,client_id,period_id
Unmapped,VMAX_DEVICE,EMC VMax Device,100.0,5.0,3.0,135.13,167.37,80.74,135.16,188,1496
Unmapped,COMPELLENT_DEVICE,EMC Compellent Device,200.0,10.0,3.0,590.45,639.14,92.38,590.45,188,1498
Unmapped,SVC_DEVICE,IBM SVC Device,200.0,10.0,1.75,554.98,725.93,76.45,581.04,188,1498
Unmapped,UNITY_DEVICE,EMC Unity Device,100.0,10.0,1.5,25.24,45.83,55.07,25.24,188,1498
Unmapped,VMAX_DEVICE,EMC VMax Device,100.0,5.0,3.0,135.13,167.37,80.74,135.16,188,1498
Unmapped,COMPELLENT_DEVICE,EMC Compellent Device,200.0,10.0,3.0,590.45,639.14,92.38,590.45,188,1501
Unmapped,SVC_DEVICE,IBM SVC Device,200.0,10.0,1.75,554.72,725.93,76.42,581.04,188,1501
Unmapped,UNITY_DEVICE,EMC Unity Device,100.0,10.0,1.5,25.12,45.83,54.82,25.12,188,1501
Unmapped,VMAX_DEVICE,EMC VMax Device,100.0,5.0,3.0,135.13,167.37,80.74,135.16,188,1501
Unmapped,UNITY_DEVICE,EMC Unity Device,100.0,10.0,1.5,25.14,41.06,61.23,30.56,188,1502
Unmapped,COMPELLENT_DEVICE,EMC Compellent Device,200.0,10.0,3.0,590.45,639.14,92.38,590.45,188,1503
Unmapped,SVC_DEVICE,IBM SVC Device,200.0,10.0,1.75,554.71,725.93,76.41,581.04,188,1503
Unmapped,UNITY_DEVICE,EMC Unity Device,100.0,10.0,1.5,25.12,45.83,54.82,25.12,188,1503
Unmapped,VMAX_DEVICE,EMC VMax Device,100.0,5.0,3.0,135.13,167.37,80.74,135.16,188,1503
Unmapped,COMPELLENT_DEVICE,EMC Compellent Device,200.0,10.0,3.0,590.45,639.14,92.38,590.45,188,1505
Unmapped,SVC_DEVICE,IBM SVC Device,200.0,10.0,1.75,555.1,725.94,76.47,581.04,188,1505
Unmapped,UNITY_DEVICE,EMC Unity Device,100.0,10.0,1.5,25.12,45.83,54.82,25.12,188,1505
Unmapped,VMAX_DEVICE,EMC VMax Device,100.0,5.0,3.0,135.13,167.37,80.74,135.16,188,1505
Unmapped,COMPELLENT_DEVICE,EMC Compellent Device,200.0,10.0,3.0,590.45,639.14,92.38,590.45,188,1508
Unmapped,SVC_DEVICE,IBM SVC Device,200.0,10.0,1.75,555.02,725.93,76.46,581.04,188,1508
Unmapped,UNITY_DEVICE,EMC Unity Device,100.0,10.0,1.5,25.12,45.83,54.82,25.12,188,1508
Unmapped,VMAX_DEVICE,EMC VMax Device,100.0,5.0,3.0,135.13,167.37,80.74,135.16,188,1508
Unmapped,UNITY_DEVICE,EMC Unity Device,100.0,10.0,1.5,25.14,41.06,61.23,30.56,188,1509
Unmapped,COMPELLENT_DEVICE,EMC Compellent Device,200.0,10.0,3.0,590.45,639.14,92.38,590.45,188,1510
Unmapped,SVC_DEVICE,IBM SVC Device,200.0,10.0,1.75,555.17,725.93,76.48,581.04,188,1510
Unmapped,UNITY_DEVICE,EMC Unity Device,100.0,10.0,1.5,25.12,45.83,54.82,25.12,188,1510
Unmapped,VMAX_DEVICE,EMC VMax Device,100.0,5.0,3.0,135.13,167.37,80.74,135.16,188,1510
Unmapped,COMPELLENT_DEVICE,EMC Compellent Device,200.0,10.0,3.0,590.45,639.14,92.38,590.45,188,1512
Unmapped,SVC_DEVICE,IBM SVC Device,200.0,10.0,1.75,554.8,725.93,76.43,581.04,188,1512
Unmapped,UNITY_DEVICE,EMC Unity Device,100.0,10.0,1.5,25.12,45.83,54.82,25.12,188,1512
Unmapped,VMAX_DEVICE,EMC VMax Device,100.0,5.0,3.0,135.13,167.37,80.74,135.16,188,1512
Unmapped,COMPELLENT_DEVICE,EMC Compellent Device,200.0,10.0,3.0,590.45,639.14,92.38,590.45,188,1515
Unmapped,SVC_DEVICE,IBM SVC Device,200.0,10.0,1.75,555.03,725.93,76.46,581.04,188,1515
Unmapped,UNITY_DEVICE,EMC Unity Device,100.0,10.0,1.5,25.14,41.06,61.23,30.56,188,1515
Unmapped,VMAX_DEVICE,EMC VMax Device,100.0,5.0,3.0,135.13,167.37,80.74,135.16,188,1515
Unmapped,COMPELLENT_DEVICE,EMC Compellent Device,200.0,10.0,3.0,590.45,639.14,92.38,590.45,188,1517
Unmapped,SVC_DEVICE,IBM SVC Device,200.0,10.0,1.75,554.78,725.93,76.42,581.04,188,1517
Unmapped,VMAX_DEVICE,EMC VMax Device,100.0,5.0,3.0,135.13,167.37,80.74,135.16,188,1517
Unmapped,COMPELLENT_DEVICE,EMC Compellent Device,200.0,10.0,3.0,590.45,639.14,92.38,590.45,188,1519
Unmapped,SVC_DEVICE,IBM SVC Device,200.0,10.0,1.75,548.03,725.93,75.49,574.9,188,1519
Unmapped,COMPELLENT_DEVICE,EMC Compellent Device,200.0,10.0,3.0,590.45,639.14,92.38,590.45,188,1522
Unmapped,SVC_DEVICE,IBM SVC Device,200.0,10.0,1.75,528.55,725.57,72.85,555.37,188,1522
Unmapped,UNITY_DEVICE,EMC Unity Device,100.0,10.0,1.5,25.14,41.06,61.23,30.56,188,1522
Unmapped,VMAX_DEVICE,EMC VMax Device,100.0,5.0,3.0,135.13,167.37,80.74,135.16,188,1522
Unmapped,COMPELLENT_DEVICE,EMC Compellent Device,200.0,10.0,3.0,590.45,639.14,92.38,590.45,188,1524
Unmapped,SVC_DEVICE,IBM SVC Device,200.0,10.0,1.75,528.58,725.93,72.81,555.37,188,1524
Unmapped,VMAX_DEVICE,EMC VMax Device,100.0,5.0,3.0,135.13,167.37,80.74,135.16,188,1524
Unmapped,COMPELLENT_DEVICE,EMC Compellent Device,200.0,10.0,3.0,590.45,639.14,92.38,590.45,188,1526
Unmapped,SVC_DEVICE,IBM SVC Device,200.0,10.0,1.75,528.88,725.94,72.85,555.37,188,1526
Unmapped,VMAX_DEVICE,EMC VMax Device,100.0,5.0,3.0,135.13,167.37,80.74,135.16,188,1526
Unmapped,COMPELLENT_DEVICE,EMC Compellent Device,200.0,10.0,3.0,590.45,639.14,92.38,590.45,188,1529
Unmapped,SVC_DEVICE,IBM SVC Device,200.0,10.0,1.75,528.64,725.92,72.82,555.37,188,1529
Unmapped,VMAX_DEVICE,EMC VMax Device,100.0,5.0,3.0,135.13,167.37,80.74,135.16,188,1529
Unmapped,COMPELLENT_DEVICE,EMC Compellent Device,200.0,10.0,3.0,590.45,639.14,92.38,590.45,188,1531
Unmapped,SVC_DEVICE,IBM SVC Device,200.0,10.0,1.75,528.66,725.93,72.83,555.37,188,1531
Unmapped,UNITY_DEVICE,EMC Unity Device,100.0,10.0,1.5,25.12,45.83,54.82,25.12,188,1531
Unmapped,VMAX_DEVICE,EMC VMax Device,100.0,5.0,3.0,135.13,167.37,80.74,135.16,188,1531
Unmapped,COMPELLENT_DEVICE,EMC Compellent Device,200.0,10.0,3.0,590.45,639.14,92.38,590.45,188,1533
Unmapped,SVC_DEVICE,IBM SVC Device,200.0,10.0,1.75,528.9,725.93,72.86,555.37,188,1533
Unmapped,UNITY_DEVICE,EMC Unity Device,100.0,10.0,1.5,25.12,45.83,54.82,25.12,188,1533
Unmapped,VMAX_DEVICE,EMC VMax Device,100.0,5.0,3.0,135.13,167.37,80.74,135.16,188,1533
Unmapped,COMPELLENT_DEVICE,EMC Compellent Device,200.0,10.0,3.0,590.45,639.14,92.38,590.45,188,1536
Unmapped,SVC_DEVICE,IBM SVC Device,200.0,10.0,1.75,528.7,725.93,72.83,555.37,188,1536
Unmapped,UNITY_DEVICE,EMC Unity Device,100.0,10.0,1.5,25.12,45.83,54.82,25.12,188,1536
Unmapped,VMAX_DEVICE,EMC VMax Device,100.0,5.0,3.0,135.13,167.37,80.74,135.16,188,1536
Unmapped,COMPELLENT_DEVICE,EMC Compellent Device,200.0,10.0,3.0,590.45,639.14,92.38,590.45,188,1538
Unmapped,SVC_DEVICE,IBM SVC Device,200.0,10.0,1.75,528.69,725.92,72.83,555.37,188,1538
Unmapped,UNITY_DEVICE,EMC Unity Device,100.0,10.0,1.5,25.12,45.83,54.82,25.12,188,1538
Unmapped,VMAX_DEVICE,EMC VMax Device,100.0,5.0,3.0,135.13,167.37,80.74,135.16,188,1538
Unmapped,COMPELLENT_DEVICE,EMC Compellent Device,200.0,10.0,3.0,590.45,639.14,92.38,590.45,188,1540
Unmapped,SVC_DEVICE,IBM SVC Device,200.0,10.0,1.75,528.92,725.92,72.86,555.37,188,1540
Unmapped,UNITY_DEVICE,EMC Unity Device,100.0,10.0,1.5,25.12,45.83,54.82,25.12,188,1540
Unmapped,VMAX_DEVICE,EMC VMax Device,100.0,5.0,3.0,135.13,167.37,80.74,135.16,188,1540
Unmapped,COMPELLENT_DEVICE,EMC Compellent Device,200.0,10.0,3.0,590.45,639.14,92.38,590.45,188,1543
Unmapped,SVC_DEVICE,IBM SVC Device,200.0,10.0,1.75,528.73,725.92,72.83,555.37,188,1543
Unmapped,UNITY_DEVICE,EMC Unity Device,100.0,10.0,1.5,25.12,45.83,54.82,25.12,188,1543
Unmapped,VMAX_DEVICE,EMC VMax Device,100.0,5.0,3.0,135.13,167.37,80.74,135.16,188,1543
Unmapped,COMPELLENT_DEVICE,EMC Compellent Device,200.0,10.0,3.0,590.45,639.14,92.38,590.45,188,1545
Unmapped,SVC_DEVICE,IBM SVC Device,200.0,10.0,1.75,528.71,725.92,72.83,555.37,188,1545
Unmapped,UNITY_DEVICE,EMC Unity Device,100.0,10.0,1.5,25.12,45.83,54.82,25.12,188,1545
Unmapped,VMAX_DEVICE,EMC VMax Device,100.0,5.0,3.0,135.13,167.37,80.74,135.16,188,1545
Unmapped,COMPELLENT_DEVICE,EMC Compellent Device,200.0,10.0,3.0,590.45,639.14,92.38,590.45,188,1547
Unmapped,SVC_DEVICE,IBM SVC Device,200.0,10.0,1.75,528.95,725.92,72.87,555.37,188,1547
Unmapped,UNITY_DEVICE,EMC Unity Device,100.0,10.0,1.5,25.12,45.83,54.82,25.12,188,1547
Unmapped,VMAX_DEVICE,EMC VMax Device,100.0,5.0,3.0,135.13,167.37,80.74,135.16,188,1547
Unmapped,COMPELLENT_DEVICE,EMC Compellent Device,200.0,10.0,3.0,590.45,639.14,92.38,590.45,188,1550
Unmapped,SVC_DEVICE,IBM SVC Device,200.0,10.0,1.75,528.75,725.93,72.84,555.37,188,1550
Unmapped,UNITY_DEVICE,EMC Unity Device,100.0,10.0,1.5,25.14,41.06,61.23,30.56,188,1550
Unmapped,VMAX_DEVICE,EMC VMax Device,100.0,5.0,3.0,135.13,167.37,80.74,135.16,188,1550
Unmapped,COMPELLENT_DEVICE,EMC Compellent Device,200.0,10.0,3.0,590.45,639.14,92.38,590.45,188,1552
Unmapped,SVC_DEVICE,IBM SVC Device,200.0,10.0,1.75,529.06,725.93,72.88,555.37,188,1552
Unmapped,UNITY_DEVICE,EMC Unity Device,100.0,10.0,1.5,25.12,45.83,54.82,25.12,188,1552
Unmapped,VMAX_DEVICE,EMC VMax Device,100.0,5.0,3.0,135.13,167.37,80.74,135.16,188,1552
Unmapped,COMPELLENT_DEVICE,EMC Compellent Device,200.0,10.0,3.0,590.45,639.14,92.38,590.45,188,1554
Unmapped,SVC_DEVICE,IBM SVC Device,200.0,10.0,1.75,529.0,725.93,72.87,555.37,188,1554
Unmapped,UNITY_DEVICE,EMC Unity Device,100.0,10.0,1.5,25.12,45.83,54.82,25.12,188,1554
Unmapped,COMPELLENT_DEVICE,EMC Compellent Device,200.0,10.0,3.0,590.45,639.14,92.38,590.45,188,1557
Unmapped,SVC_DEVICE,IBM SVC Device,200.0,10.0,1.75,528.83,725.93,72.85,555.37,188,1557
Unmapped,UNITY_DEVICE,EMC Unity Device,100.0,10.0,1.5,25.12,45.83,54.82,25.12,188,1557
Unmapped,VMAX_DEVICE,EMC VMax Device,100.0,5.0,3.0,135.13,167.37,80.74,135.16,188,1557
Unmapped,COMPELLENT_DEVICE,EMC Compellent Device,200.0,10.0,3.0,590.45,639.14,92.38,590.45,188,1559
Unmapped,SVC_DEVICE,IBM SVC Device,200.0,10.0,1.75,528.83,725.93,72.85,555.37,188,1559
Unmapped,UNITY_DEVICE,EMC Unity Device,100.0,10.0,1.5,25.12,45.83,54.82,25.12,188,1559
Unmapped,VMAX_DEVICE,EMC VMax Device,100.0,5.0,3.0,135.13,167.37,80.74,135.16,188,1559
Unmapped,COMPELLENT_DEVICE,EMC Compellent Device,200.0,10.0,3.0,590.45,639.14,92.38,590.45,188,1561
Unmapped,SVC_DEVICE,IBM SVC Device,200.0,10.0,1.75,529.29,725.94,72.91,555.37,188,1561
Unmapped,UNITY_DEVICE,EMC Unity Device,100.0,10.0,1.5,25.12,45.83,54.82,25.12,188,1561
Unmapped,VMAX_DEVICE,EMC VMax Device,100.0,5.0,3.0,135.13,167.37,80.74,135.16,188,1561
Unmapped,COMPELLENT_DEVICE,EMC Compellent Device,200.0,10.0,3.0,590.45,639.14,92.38,590.45,188,1564
Unmapped,SVC_DEVICE,IBM SVC Device,200.0,10.0,1.75,530.19,725.93,73.04,556.12,188,1564
Unmapped,UNITY_DEVICE,EMC Unity Device,100.0,10.0,1.5,25.12,45.83,54.82,25.12,188,1564
Unmapped,VMAX_DEVICE,EMC VMax Device,100.0,5.0,3.0,135.13,167.37,80.74,135.16,188,1564
Unmapped,COMPELLENT_DEVICE,EMC Compellent Device,200.0,10.0,3.0,590.45,639.14,92.38,590.45,188,1566
Unmapped,SVC_DEVICE,IBM SVC Device,200.0,10.0,1.75,530.21,725.93,73.04,556.12,188,1566
Unmapped,UNITY_DEVICE,EMC Unity Device,100.0,10.0,1.5,25.12,45.83,54.82,25.12,188,1566
Unmapped,VMAX_DEVICE,EMC VMax Device,100.0,5.0,3.0,135.13,167.37,80.74,135.16,188,1566
Unmapped,COMPELLENT_DEVICE,EMC Compellent Device,200.0,10.0,3.0,590.45,639.14,92.38,590.45,188,1568
Unmapped,SVC_DEVICE,IBM SVC Device,200.0,10.0,1.75,530.55,725.94,73.08,556.12,188,1568
Unmapped,UNITY_DEVICE,EMC Unity Device,100.0,10.0,1.5,25.12,41.06,61.19,30.86,188,1568
Unmapped,VMAX_DEVICE,EMC VMax Device,100.0,5.0,3.0,135.13,167.37,80.74,135.16,188,1568
Unmapped,COMPELLENT_DEVICE,EMC Compellent Device,200.0,10.0,3.0,590.45,639.14,92.38,590.45,188,1571
Unmapped,SVC_DEVICE,IBM SVC Device,200.0,10.0,1.75,532.18,725.93,73.31,558.5,188,1571
Unmapped,UNITY_DEVICE,EMC Unity Device,100.0,10.0,1.5,25.12,41.06,61.19,30.86,188,1571
Unmapped,VMAX_DEVICE,EMC VMax Device,100.0,5.0,3.0,135.13,167.37,80.74,135.16,188,1571
Unmapped,COMPELLENT_DEVICE,EMC Compellent Device,200.0,10.0,3.0,590.45,639.14,92.38,590.45,188,1573
Unmapped,SVC_DEVICE,IBM SVC Device,200.0,10.0,1.75,532.18,725.93,73.31,558.5,188,1573
Unmapped,UNITY_DEVICE,EMC Unity Device,100.0,10.0,1.5,25.12,41.06,61.19,30.86,188,1573
Unmapped,VMAX_DEVICE,EMC VMax Device,100.0,5.0,3.0,135.13,167.37,80.74,135.16,188,1573
Unmapped,COMPELLENT_DEVICE,EMC Compellent Device,200.0,10.0,3.0,590.45,639.14,92.38,590.45,188,1575
Unmapped,SVC_DEVICE,IBM SVC Device,200.0,10.0,1.75,532.72,725.93,73.38,559.2,188,1575
Unmapped,UNITY_DEVICE,EMC Unity Device,100.0,10.0,1.5,25.12,41.06,61.19,30.86,188,1575
Unmapped,VMAX_DEVICE,EMC VMax Device,100.0,5.0,3.0,135.13,167.37,80.74,135.16,188,1575
Unmapped,COMPELLENT_DEVICE,EMC Compellent Device,200.0,10.0,3.0,590.45,639.14,92.38,590.45,188,1578
