client_id,period_id,upload_id,collection_date,vcenter_name,device_type_code,total_data_centers,total_clusters,total_esx_hosts,total_data_stores,total_data_store_allocation,total_data_store_used,total_vms,total_active_vms,total_tool_errors,total_config_errors,total_old_hardware,total_orphaned_data_stores,total_orphaned_data_store_space,total_free,total_red_lights,total_duplicate_vmdk,total_memory,total_processors,total_alerts,cluster_utilization,memory_utilization,data_store_pct
137,1492,129593,2019-01-31T00:00:00,aus-vmprod310,VMWARE_DEVICE,4,13,55,84,277740.0,127902.26,993,943,0,0,2,0,0.0,149837.74,2,0,29053977.0,1352,5,0.0,0.0,0.0
137,1495,131460,2019-02-03T00:00:00,aus-vmprod310,VMWARE_DEVICE,4,13,55,84,277740.0,128344.77,1002,952,0,0,2,0,0.0,149395.23,6,0,29053977.0,1352,14,0.0,0.0,0.0
137,1497,132058,2019-02-05T00:00:00,aus-vmprod310,VMWARE_DEVICE,4,14,56,85,280811.75,128320.16,1000,949,0,0,2,0,0.0,152491.59,5,0,29840138.0,1368,11,0.0,0.0,0.0
137,1499,132727,2019-02-07T00:00:00,aus-vmprod310,VMWARE_DEVICE,4,14,56,85,280811.75,127541.3,1003,954,0,0,2,0,0.0,153270.45,3,0,29840138.0,1368,11,0.0,0.0,0.0
137,1502,133785,2019-02-10T00:00:00,aus-vmprod310,VMWARE_DEVICE,4,14,56,85,280811.75,128285.89,1002,954,0,0,2,0,0.0,152525.86,5,0,29840138.0,1368,6,0.0,0.0,0.0
137,1504,134381,2019-02-12T00:00:00,aus-vmprod310,VMWARE_DEVICE,4,14,56,85,280811.75,128359.26,1002,954,0,0,2,0,0.0,152452.49,3,0,29840138.0,1368,8,0.0,0.0,0.0
137,1506,135016,2019-02-14T00:00:00,aus-vmprod310,VMWARE_DEVICE,4,13,56,85,280811.75,128005.95,1004,957,0,0,2,0,0.0,152805.8,7,0,29840138.0,1368,6,0.0,0.0,0.0
137,1509,136153,2019-02-17T00:00:00,aus-vmprod310,VMWARE_DEVICE,4,13,56,88,296171.0,128474.77,1005,957,0,0,2,0,0.0,167696.23,5,0,29840138.0,1368,6,0.0,0.0,0.0
137,1511,136753,2019-02-19T00:00:00,aus-vmprod310,VMWARE_DEVICE,4,13,56,88,296171.0,129003.45,1008,956,0,0,2,0,0.0,167167.55,2,0,29840138.0,1368,6,0.0,0.0,0.0
137,1513,137426,2019-02-21T00:00:00,aus-vmprod310,VMWARE_DEVICE,4,13,56,88,296171.0,128622.07,1010,955,0,0,2,0,0.0,167548.93,4,0,29840138.0,1368,4,0.0,0.0,0.0
137,1516,138514,2019-02-24T00:00:00,aus-vmprod310,VMWARE_DEVICE,4,13,56,88,296171.0,128942.03,1009,956,0,0,2,0,0.0,167228.97,3,0,29840138.0,1368,11,0.0,0.0,0.0
137,1518,139330,2019-02-26T00:00:00,aus-vmprod310,VMWARE_DEVICE,4,13,56,88,296171.0,129037.65,1010,955,0,0,2,0,0.0,167133.35,2,0,29840138.0,1368,11,0.0,0.0,0.0
137,1520,139956,2019-02-28T00:00:00,aus-vmprod310,VMWARE_DEVICE,4,13,56,88,296171.0,129042.81,1014,964,0,0,2,0,0.0,167128.19,2,0,29840138.0,1368,11,0.0,0.0,0.0
137,1523,141111,2019-03-03T00:00:00,aus-vmprod310,VMWARE_DEVICE,4,13,56,88,296171.0,129399.68,1014,965,0,0,2,0,0.0,166771.32,5,0,29840138.0,1368,11,0.0,0.0,0.0
137,1525,141699,2019-03-05T00:00:00,aus-vmprod310,VMWARE_DEVICE,4,13,56,88,296171.0,129905.22,1017,964,0,0,2,0,0.0,166265.78,2,0,29840138.0,1368,11,0.0,0.0,0.0
137,1527,142215,2019-03-07T00:00:00,aus-vmprod310,VMWARE_DEVICE,4,13,56,88,296171.0,130378.56,1020,966,0,0,2,0,0.0,165792.44,3,0,29840138.0,1368,3,0.0,0.0,0.0
137,1530,143500,2019-03-10T00:00:00,aus-vmprod310,VMWARE_DEVICE,4,13,56,88,296171.0,130355.56,1019,964,0,0,2,0,0.0,165815.44,3,0,29840138.0,1368,3,0.0,0.0,0.0
137,1532,144186,2019-03-12T00:00:00,aus-vmprod310,VMWARE_DEVICE,4,13,56,88,296171.0,129421.53,1010,955,0,0,2,0,0.0,166749.47,4,0,29840138.0,1368,3,0.0,0.0,0.0
137,1534,144986,2019-03-14T00:00:00,aus-vmprod310,VMWARE_DEVICE,4,13,56,88,296171.0,130771.27,1017,958,0,0,2,0,0.0,165399.73,7,0,29840138.0,1368,3,0.0,0.0,0.0
137,1537,146026,2019-03-17T00:00:00,aus-vmprod310,VMWARE_DEVICE,4,13,56,88,296171.0,131079.65,1026,964,0,0,2,0,0.0,165091.35,3,0,29840138.0,1368,5,0.0,0.0,0.0
137,1539,146623,2019-03-19T00:00:00,aus-vmprod310,VMWARE_DEVICE,4,13,56,88,296171.0,131731.57,1048,975,0,0,2,0,0.0,164439.43,3,0,29840138.0,1368,5,0.0,0.0,0.0
137,1544,148318,2019-03-24T00:00:00,aus-vmprod310,VMWARE_DEVICE,4,13,56,88,296171.0,129853.91,1032,961,0,0,2,0,0.0,166317.09,4,0,29840138.0,1368,5,0.0,0.0,0.0
137,1546,148936,2019-03-26T00:00:00,aus-vmprod310,VMWARE_DEVICE,4,13,56,88,296171.0,130308.22,1032,961,0,0,2,0,0.0,165862.78,3,0,29840138.0,1368,4,0.0,0.0,0.0
137,1548,149643,2019-03-28T00:00:00,aus-vmprod310,VMWARE_DEVICE,4,13,56,88,296171.0,130993.62,1037,965,0,0,2,0,0.0,165177.38,4,0,29840138.0,1368,6,0.0,0.0,0.0
137,1551,150689,2019-03-31T00:00:00,aus-vmprod310,VMWARE_DEVICE,4,13,56,88,296171.0,131498.28,1039,967,0,0,2,0,0.0,164672.72,5,0,29840138.0,1368,3,0.0,0.0,0.0
137,1553,151188,2019-04-02T00:00:00,aus-vmprod310,VMWARE_DEVICE,4,13,56,88,296171.0,125001.23,1030,962,0,0,2,0,0.0,171169.77,5,0,29840138.0,1368,4,0.0,0.0,0.0
137,1555,151486,2019-04-04T00:00:00,aus-vmprod310,VMWARE_DEVICE,4,13,56,88,296171.0,127396.95,1043,974,0,0,2,0,0.0,168774.05,4,0,29840138.0,1368,7,0.0,0.0,0.0
137,1558,152103,2019-04-07T00:00:00,aus-vmprod310,VMWARE_DEVICE,4,13,56,88,296171.0,127186.82,1043,973,0,0,2,0,0.0,168984.18,7,0,29840138.0,1368,8,0.0,0.0,0.0
137,1560,152349,2019-04-09T00:00:00,aus-vmprod310,VMWARE_DEVICE,4,13,56,89,296670.75,128184.57,1043,973,0,0,2,0,0.0,168486.18,5,0,29840138.0,1368,4,0.0,0.0,0.0
137,1562,153254,2019-04-11T00:00:00,aus-vmprod310,VMWARE_DEVICE,4,13,56,89,296670.75,130052.35,1055,986,0,0,2,0,0.0,166618.4,10,0,29840138.0,1368,5,0.0,0.0,0.0
137,1565,154305,2019-04-14T00:00:00,aus-vmprod310,VMWARE_DEVICE,4,13,56,90,296678.25,129877.92,1058,989,0,0,2,0,0.0,166800.33,8,0,29840138.0,1368,8,0.0,0.0,0.0
137,1567,155002,2019-04-16T00:00:00,aus-vmprod310,VMWARE_DEVICE,4,12,53,86,292506.5,129372.82,1058,989,0,0,2,0,0.0,163133.68,7,0,29545517.0,1284,8,0.0,0.0,0.0
137,1572,156854,2019-04-21T00:00:00,aus-vmprod310,VMWARE_DEVICE,4,12,53,86,292506.5,130048.19,1059,989,0,0,2,0,0.0,162458.31,6,0,29545517.0,1284,8,0.0,0.0,0.0
137,1574,157504,2019-04-23T00:00:00,aus-vmprod310,VMWARE_DEVICE,4,12,53,86,292506.5,130901.27,1058,987,0,0,2,0,0.0,161605.23,3,0,29545517.0,1284,5,0.0,0.0,0.0
137,1576,158298,2019-04-25T00:00:00,aus-vmprod310,VMWARE_DEVICE,4,12,53,86,292506.5,130909.58,1059,989,0,0,2,0,0.0,161596.92,6,0,29545517.0,1284,5,0.0,0.0,0.0
137,1579,159567,2019-04-28T00:00:00,aus-vmprod310,VMWARE_DEVICE,4,12,53,86,292506.5,131284.58,1063,994,0,0,2,0,0.0,161221.92,4,0,29545517.0,1284,6,0.0,0.0,0.0
137,1581,160326,2019-04-30T00:00:00,aus-vmprod310,VMWARE_DEVICE,4,12,53,86,292506.5,131941.56,1063,994,0,0,2,0,0.0,160564.94,2,0,29545517.0,1284,13,0.0,0.0,0.0
137,1583,161091,2019-05-02T00:00:00,aus-vmprod310,VMWARE_DEVICE,4,12,53,86,292506.5,134724.93,1087,1018,0,0,2,0,0.0,157781.57,2,0,29545517.0,1284,14,0.0,0.0,0.0
137,1586,162169,2019-05-05T00:00:00,aus-vmprod310,VMWARE_DEVICE,4,12,53,86,292506.5,135372.23,1086,1014,0,0,2,0,0.0,157134.27,3,0,29545517.0,1284,14,0.0,0.0,0.0
137,1588,162744,2019-05-07T00:00:00,aus-vmprod310,VMWARE_DEVICE,4,12,53,86,292506.5,135659.44,1086,1016,0,0,2,0,0.0,156847.06,1,0,29545517.0,1284,14,0.0,0.0,0.0
137,1590,163436,2019-05-09T00:00:00,aus-vmprod310,VMWARE_DEVICE,4,12,53,86,292506.5,135926.74,1088,1018,0,0,2,0,0.0,156579.76,2,0,29545517.0,1284,13,0.0,0.0,0.0
137,1593,164604,2019-05-12T00:00:00,aus-vmprod310,VMWARE_DEVICE,4,12,53,86,292506.5,136710.23,1094,1023,0,0,2,0,0.0,155796.27,2,0,29545517.0,1284,7,0.0,0.0,0.0
137,1595,165135,2019-05-14T00:00:00,aus-vmprod310,VMWARE_DEVICE,4,12,53,86,292506.5,136348.77,1094,1023,0,0,2,0,0.0,156157.73,2,0,29545517.0,1284,7,0.0,0.0,0.0
137,1597,165941,2019-05-16T00:00:00,aus-vmprod310,VMWARE_DEVICE,4,12,53,86,292506.5,140360.97,1097,1018,0,0,2,0,0.0,152145.53,14,0,29545517.0,1284,5,0.0,0.0,0.0
137,1600,167031,2019-05-19T00:00:00,aus-vmprod310,VMWARE_DEVICE,4,12,53,86,292506.5,141742.76,1095,1018,0,0,2,0,0.0,150763.75,6,0,29545517.0,1284,5,0.0,0.0,0.0
137,1602,167614,2019-05-21T00:00:00,aus-vmprod310,VMWARE_DEVICE,4,12,53,86,292506.5,141748.82,1094,1018,0,0,2,0,0.0,150757.68,2,0,29545517.0,1284,5,0.0,0.0,0.0
137,1607,169430,2019-05-26T00:00:00,aus-vmprod310,VMWARE_DEVICE,4,12,53,86,292506.5,137210.6,1082,1012,0,0,2,0,0.0,155295.9,4,0,29545517.0,1284,5,0.0,0.0,0.0
137,1609,170055,2019-05-28T00:00:00,aus-vmprod310,VMWARE_DEVICE,4,12,53,86,292506.5,138416.09,1082,1012,0,0,2,0,0.0,154090.42,1,0,29545517.0,1284,5,0.0,0.0,0.0
137,1611,170712,2019-05-30T00:00:00,aus-vmprod310,VMWARE_DEVICE,4,12,53,86,292506.5,139253.95,1087,1017,0,0,2,0,0.0,153252.55,2,0,29545517.0,1284,8,0.0,0.0,0.0
137,1614,171666,2019-06-02T00:00:00,aus-vmprod310,VMWARE_DEVICE,4,12,53,86,292506.5,140251.47,1091,1020,0,0,2,0,0.0,152255.03,2,0,29545517.0,1284,11,0.0,0.0,0.0
137,1616,172066,2019-06-04T00:00:00,aus-vmprod310,VMWARE_DEVICE,4,12,53,86,292506.5,140635.79,1091,1020,0,0,2,0,0.0,151870.71,1,0,29545517.0,1284,12,0.0,0.0,0.0
137,1618,172532,2019-06-06T00:00:00,aus-vmprod310,VMWARE_DEVICE,4,12,53,87,298650.25,142248.68,1091,1021,0,0,2,0,0.0,156401.57,3,0,29545517.0,1284,11,0.0,0.0,0.0
137,1621,173232,2019-06-09T00:00:00,aus-vmprod310,VMWARE_DEVICE,4,12,53,87,298650.25,140854.9,1071,1020,0,0,2,0,0.0,157795.35,2,0,29545517.0,1284,11,0.0,0.0,0.0
137,1623,173612,2019-06-11T00:00:00,aus-vmprod310,VMWARE_DEVICE,4,11,50,86,290458.5,140372.69,1071,1025,0,0,2,0,0.0,150085.81,0,0,29152439.0,1248,10,0.0,0.0,0.0
137,1625,174066,2019-06-13T00:00:00,aus-vmprod310,VMWARE_DEVICE,4,11,50,86,290458.5,142339.79,1072,1027,0,0,2,0,0.0,148118.71,4,0,29152439.0,1248,11,0.0,0.0,0.0
137,1628,174812,2019-06-16T00:00:00,aus-vmprod310,VMWARE_DEVICE,4,11,50,87,300698.25,144488.49,1074,1028,0,0,2,0,0.0,156209.76,2,0,29152439.0,1248,10,0.0,0.0,0.0
137,1630,175258,2019-06-18T00:00:00,aus-vmprod310,VMWARE_DEVICE,4,11,50,87,300698.25,144981.41,1074,1028,0,0,2,0,0.0,155716.84,1,0,29152439.0,1248,11,0.0,0.0,0.0
137,1632,175758,2019-06-20T00:00:00,aus-vmprod310,VMWARE_DEVICE,4,11,50,87,300698.25,144061.2,1073,1027,0,0,2,0,0.0,156637.05,2,0,29152439.0,1248,10,0.0,0.0,0.0
137,1635,176601,2019-06-23T00:00:00,aus-vmprod310,VMWARE_DEVICE,4,11,50,87,300698.25,144833.43,1076,1030,0,0,2,0,0.0,155864.82,4,0,29152439.0,1248,10,0.0,0.0,0.0
137,1637,177029,2019-06-25T00:00:00,aus-vmprod310,VMWARE_DEVICE,4,12,52,90,304809.0,144578.56,1081,1031,0,0,2,0,0.0,160230.44,3,0,30200634.0,1296,10,0.0,0.0,0.0
137,1639,177469,2019-06-27T00:00:00,aus-vmprod310,VMWARE_DEVICE,4,12,52,90,304809.0,145378.45,1082,1038,0,0,2,0,0.0,159430.55,2,0,30200634.0,1296,12,0.0,0.0,0.0
137,1642,178184,2019-06-30T00:00:00,aus-vmprod310,VMWARE_DEVICE,4,12,52,90,304809.0,145876.63,1083,1038,0,0,2,0,0.0,158932.38,3,0,30200634.0,1296,11,0.0,0.0,0.0
137,1644,178641,2019-07-02T00:00:00,aus-vmprod310,VMWARE_DEVICE,4,12,53,91,304816.5,146477.48,1084,1038,0,0,2,0,0.0,158339.02,2,0,30724812.0,1320,10,0.0,0.0,0.0
137,1646,179148,2019-07-04T00:00:00,aus-vmprod310,VMWARE_DEVICE,4,12,53,91,304816.5,147029.37,1086,1042,0,0,2,0,0.0,157787.13,2,0,30724812.0,1320,10,0.0,0.0,0.0
137,1649,179815,2019-07-07T00:00:00,aus-vmprod310,VMWARE_DEVICE,4,12,53,91,304816.5,146862.24,1087,1043,0,0,2,0,0.0,157954.26,3,0,30724812.0,1320,11,0.0,0.0,0.0
137,1651,180193,2019-07-09T00:00:00,aus-vmprod310,VMWARE_DEVICE,4,12,53,91,304816.5,146999.32,1088,1044,0,0,2,0,0.0,157817.18,2,0,30724812.0,1320,11,0.0,0.0,0.0
137,1653,180616,2019-07-11T00:00:00,aus-vmprod310,VMWARE_DEVICE,4,12,53,91,304816.5,147523.44,1089,1044,0,0,2,0,0.0,157293.06,2,0,30724812.0,1320,9,0.0,0.0,0.0
137,1656,181333,2019-07-14T00:00:00,aus-vmprod310,VMWARE_DEVICE,4,12,53,91,304816.5,147907.97,1090,1044,0,0,2,0,0.0,156908.54,5,0,30724812.0,1320,8,0.0,0.0,0.0
137,1658,181710,2019-07-16T00:00:00,aus-vmprod310,VMWARE_DEVICE,4,12,53,91,304816.5,146305.87,1091,1043,0,0,2,0,0.0,158510.63,5,0,30724812.0,1320,8,0.0,0.0,0.0
137,1660,182051,2019-07-18T00:00:00,aus-vmprod310,VMWARE_DEVICE,4,12,53,91,304816.5,147647.4,1091,1043,0,0,2,0,0.0,157169.1,3,0,30724812.0,1320,8,0.0,0.0,0.0
