data_center,classification,ttl_latency_capacity,ttl_iops_capacity,ttl_mbsec_capacity,avg_price_per_gb,ttl_used,ttl_usable,pct_used,ttl_allocated,ttl_iops,ttl_latency,client_id,period_id
Backend,SAN,5.0,200000.0,4000.0,3.0,135.13,167.37,80.74,135.16,11682.9,0.0,188,1832
Plano,SAN,6.666666,640000.0,16000.0,1.67,497.75,766.98,64.9,533.53,21079.12,1.05,188,1832
Backend,SAN,5.0,200000.0,4000.0,3.0,135.13,167.37,80.74,135.16,10334.69,0.0,188,1834
Plano,SAN,6.666666,640000.0,16000.0,1.67,497.84,766.98,64.91,533.53,33409.08,1.16,188,1834
Backend,SAN,5.0,200000.0,4000.0,3.0,135.13,167.37,80.74,135.16,10286.71,0.0,188,1837
Plano,SAN,6.666666,640000.0,16000.0,1.67,497.9,766.98,64.92,533.53,26890.02,0.98,188,1837
Backend,SAN,5.0,200000.0,4000.0,3.0,135.13,167.37,80.74,135.16,11972.26,0.0,188,1839
Plano,SAN,6.666666,640000.0,16000.0,1.67,497.76,766.98,64.9,533.53,21819.74,1.06,188,1839
Backend,SAN,5.0,200000.0,4000.0,3.0,135.13,167.37,80.74,135.16,10324.82,0.0,188,1841
Plano,SAN,6.666666,640000.0,16000.0,1.67,497.87,766.98,64.91,533.53,37448.27,1.2,188,1841
Backend,SAN,5.0,200000.0,4000.0,3.0,135.13,167.37,80.74,135.16,9082.78,0.0,188,1844
Plano,SAN,6.666666,640000.0,16000.0,1.67,497.88,766.98,64.91,533.53,30046.68,1.03,188,1844
Backend,SAN,5.0,200000.0,4000.0,3.0,135.13,167.37,80.74,135.16,9010.59,0.0,188,1846
Plano,SAN,6.666666,640000.0,16000.0,1.67,497.82,766.98,64.91,533.53,18695.21,0.91,188,1846
