classification,latency,peak_iops,Used,Allocated,Snap,Free,Capacity,Orphaned,collection_date,formatted_collection_date,client_id
Prod-iSeries,0.98,21635.08,154700.0,0.0,0.0,0.0,0.0,0.0,2019-04-21,04/21/2019,137
Prod-Open,0.0,40819.92,123194.15,0.0,0.0,0.0,0.0,0.0,2019-04-21,04/21/2019,137
DR,0.213688,26169.28,142051.87,0.0,0.0,0.0,0.0,0.0,2019-04-28,04/28/2019,137
Prod-iSeries,0.96,21014.47,154582.7,0.0,0.0,0.0,0.0,0.0,2019-04-28,04/28/2019,137
Prod-Open,0.0,42593.25,124143.44,0.0,0.0,0.0,0.0,0.0,2019-04-28,04/28/2019,137
DR,0.214654,32109.28,142197.45,0.0,0.0,0.0,0.0,0.0,2019-05-05,05/05/2019,137
Prod-iSeries,0.88,31315.49,154966.6,0.0,0.0,0.0,0.0,0.0,2019-05-05,05/05/2019,137
Prod-Open,0.0,49082.42,123231.71,0.0,0.0,0.0,0.0,0.0,2019-05-05,05/05/2019,137
DR,0.212544,25961.78,143633.54,0.0,0.0,0.0,0.0,0.0,2019-05-12,05/12/2019,137
Prod-iSeries,1.52,22481.03,154628.6,0.0,0.0,0.0,0.0,0.0,2019-05-12,05/12/2019,137
Prod-Open,0.0,37200.76,126403.68,0.0,0.0,0.0,0.0,0.0,2019-05-12,05/12/2019,137
DR,0.20996,25561.62,142040.7,0.0,0.0,0.0,0.0,0.0,2019-05-19,05/19/2019,137
Prod-iSeries,1.21,15842.66,154625.3,0.0,0.0,0.0,0.0,0.0,2019-05-19,05/19/2019,137
Prod-Open,0.0,37909.1,129467.98,0.0,0.0,0.0,0.0,0.0,2019-05-19,05/19/2019,137
DR,0.214384,23514.62,138478.0,0.0,0.0,0.0,0.0,0.0,2019-05-26,05/26/2019,137
Prod-iSeries,1.21,15023.07,151582.8,0.0,0.0,0.0,0.0,0.0,2019-05-26,05/26/2019,137
Prod-Open,0.0,37684.72,129813.4,0.0,0.0,0.0,0.0,0.0,2019-05-26,05/26/2019,137
DR,0.210238,22103.8,138020.68,0.0,0.0,0.0,0.0,0.0,2019-06-02,06/02/2019,137
Prod-iSeries,0.87,15400.44,151620.98,0.0,0.0,0.0,0.0,0.0,2019-06-02,06/02/2019,137
Prod-Open,0.0,36494.99,126507.69,0.0,0.0,0.0,0.0,0.0,2019-06-02,06/02/2019,137
DR,0.233604,26602.96,140322.99,0.0,0.0,0.0,0.0,0.0,2019-06-09,06/09/2019,137
Prod-iSeries,0.87,18267.87,152121.02,0.0,0.0,0.0,0.0,0.0,2019-06-09,06/09/2019,137
Prod-Open,0.0,37341.71,129329.04,0.0,0.0,0.0,0.0,0.0,2019-06-09,06/09/2019,137
DR,0.197154,26585.96,140378.31,0.0,0.0,0.0,0.0,0.0,2019-06-16,06/16/2019,137
Prod-iSeries,1.1,17904.32,152184.33,0.0,0.0,0.0,0.0,0.0,2019-06-16,06/16/2019,137
Prod-Open,0.0,38926.25,138056.57,0.0,0.0,0.0,0.0,0.0,2019-06-16,06/16/2019,137
DR,0.231272,23821.52,140781.52,0.0,0.0,0.0,0.0,0.0,2019-06-23,06/23/2019,137
Prod-iSeries,1.13,14813.78,154883.2,0.0,0.0,0.0,0.0,0.0,2019-06-23,06/23/2019,137
Prod-Open,0.0,36219.47,131569.46,0.0,0.0,0.0,0.0,0.0,2019-06-23,06/23/2019,137
DR,0.20887,24343.78,141306.81,0.0,0.0,0.0,0.0,0.0,2019-06-30,06/30/2019,137
Prod-iSeries,1.11,16032.87,154880.53,0.0,0.0,0.0,0.0,0.0,2019-06-30,06/30/2019,137
