geography,device_type_code,id,device_type_description,array_name,upload_id,cpu_util,latency_capacity,data_mover_capacity,tier,price_per_gb,ttl_iops,ttl_latency,ttl_used,ttl_usable,pct_used,ttl_allocated,client_id,period_id
Unmapped,VMAX_DEVICE,74504,EMC VMax Device,VMAX-195702745,124306,100.0,5.0,-1.0,1,$3.00 ,6214.08,0.0,135.13,167.37,80.74,135.16,188,1480
Unmapped,COMPELLENT_DEVICE,74500,EMC Compellent Device,Ascension_78970,124299,100.0,5.0,-1.0,1,$3.00 ,0.0,0.0,307.2,343.33,89.48,307.2,188,1480
Unmapped,UNITY_DEVICE,74494,EMC Unity Device,AHISUNITY,124296,100.0,10.0,-1.0,1,$1.50 ,0.0,0.0,25.11,45.83,54.8,25.11,188,1480
Unmapped,SVC_DEVICE,75022,IBM SVC Device,SVCP8,125104,100.0,5.0,-1.0,1,$1.75 ,9990.07,0.33,28.35,52.23,54.28,52.93,188,1482
Unmapped,SVC_DEVICE,75052,IBM SVC Device,AHISSVC,125112,100.0,5.0,-1.0,1,$1.75 ,34677.33,1.23,526.16,673.7,78.1,528.11,188,1482
Unmapped,COMPELLENT_DEVICE,74988,EMC Compellent Device,Ascension_30832,125098,100.0,5.0,-1.0,1,$3.00 ,0.0,0.0,283.25,295.82,95.75,283.25,188,1482
Unmapped,VMAX_DEVICE,74991,EMC VMax Device,VMAX-195702745,125102,100.0,5.0,-1.0,1,$3.00 ,7714.33,0.0,135.13,167.37,80.74,135.16,188,1482
Unmapped,UNITY_DEVICE,74976,EMC Unity Device,AHISUNITY,125090,100.0,10.0,-1.0,1,$1.50 ,0.0,0.0,25.11,45.83,54.8,25.11,188,1482
Unmapped,COMPELLENT_DEVICE,74986,EMC Compellent Device,Ascension_78970,125096,100.0,5.0,-1.0,1,$3.00 ,0.0,0.0,307.2,343.33,89.48,307.2,188,1482
Unmapped,SVC_DEVICE,75422,IBM SVC Device,SVCP8,125742,100.0,5.0,-1.0,1,$1.75 ,10360.01,0.34,28.34,52.23,54.26,52.93,188,1484
Unmapped,SVC_DEVICE,75451,IBM SVC Device,AHISSVC,125751,100.0,5.0,-1.0,1,$1.75 ,42521.68,1.87,526.16,673.7,78.1,528.11,188,1484
Unmapped,VMAX_DEVICE,75388,EMC VMax Device,VMAX-195702745,125739,100.0,5.0,-1.0,1,$3.00 ,7155.92,0.0,135.13,167.37,80.74,135.16,188,1484
Unmapped,UNITY_DEVICE,75371,EMC Unity Device,AHISUNITY,125731,100.0,10.0,-1.0,1,$1.50 ,0.0,0.0,25.11,45.83,54.8,25.11,188,1484
Unmapped,COMPELLENT_DEVICE,75379,EMC Compellent Device,Ascension_78970,125734,100.0,5.0,-1.0,1,$3.00 ,0.0,0.0,307.2,343.33,89.48,307.2,188,1484
Unmapped,COMPELLENT_DEVICE,75380,EMC Compellent Device,Ascension_30832,125736,100.0,5.0,-1.0,1,$3.00 ,0.0,0.0,283.25,295.82,95.75,283.25,188,1484
Unmapped,SVC_DEVICE,76018,IBM SVC Device,SVCP8,126745,100.0,5.0,-1.0,1,$1.75 ,9528.54,0.31,28.35,52.22,54.29,52.93,188,1487
Unmapped,SVC_DEVICE,76042,IBM SVC Device,AHISSVC,126764,100.0,5.0,-1.0,1,$1.75 ,31416.7,0.96,526.16,673.7,78.1,528.11,188,1487
Unmapped,COMPELLENT_DEVICE,75975,EMC Compellent Device,Ascension_78970,126738,100.0,5.0,-1.0,1,$3.00 ,0.0,0.0,307.2,343.33,89.48,307.2,188,1487
Unmapped,UNITY_DEVICE,75969,EMC Unity Device,AHISUNITY,126736,100.0,10.0,-1.0,1,$1.50 ,0.0,0.0,25.11,45.83,54.8,25.11,188,1487
Unmapped,COMPELLENT_DEVICE,75974,EMC Compellent Device,Ascension_30832,126739,100.0,5.0,-1.0,1,$3.00 ,0.0,0.0,283.25,295.82,95.75,283.25,188,1487
Unmapped,VMAX_DEVICE,75986,EMC VMax Device,VMAX-195702745,126743,100.0,5.0,-1.0,1,$3.00 ,7238.83,0.0,135.13,167.37,80.74,135.16,188,1487
Unmapped,SVC_DEVICE,76475,IBM SVC Device,SVCP8,127540,100.0,5.0,-1.0,1,$1.75 ,10602.75,0.32,28.36,52.23,54.3,52.93,188,1489
Unmapped,SVC_DEVICE,76524,IBM SVC Device,AHISSVC,127542,100.0,5.0,-1.0,1,$1.75 ,26208.2,0.65,526.16,673.7,78.1,528.11,188,1489
Unmapped,COMPELLENT_DEVICE,76444,EMC Compellent Device,Ascension_30832,127537,100.0,5.0,-1.0,1,$3.00 ,0.0,0.0,283.25,295.82,95.75,283.25,188,1489
Unmapped,UNITY_DEVICE,76442,EMC Unity Device,AHISUNITY,127535,100.0,10.0,-1.0,1,$1.50 ,0.0,0.0,25.35,45.83,55.33,25.35,188,1489
Unmapped,COMPELLENT_DEVICE,76443,EMC Compellent Device,Ascension_78970,127536,100.0,5.0,-1.0,1,$3.00 ,0.0,0.0,307.2,343.33,89.48,307.2,188,1489
Unmapped,VMAX_DEVICE,76447,EMC VMax Device,VMAX-195702745,127539,100.0,5.0,-1.0,1,$3.00 ,7631.5,0.0,135.13,167.37,80.74,135.16,188,1489
Unmapped,SVC_DEVICE,76883,IBM SVC Device,SVCP8,128301,100.0,5.0,-1.0,1,$1.75 ,25096.94,0.35,28.44,52.22,54.46,52.93,188,1491
Unmapped,SVC_DEVICE,76989,IBM SVC Device,AHISSVC,128580,100.0,5.0,-1.0,1,$1.75 ,31007.17,0.84,526.16,673.7,78.1,528.11,188,1491
Unmapped,COMPELLENT_DEVICE,76987,EMC Compellent Device,Ascension_78970,128579,100.0,5.0,-1.0,1,$3.00 ,0.0,0.0,307.2,343.33,89.48,307.2,188,1491
Unmapped,VMAX_DEVICE,76881,EMC VMax Device,VMAX-195702745,128300,100.0,5.0,-1.0,1,$3.00 ,6139.5,0.0,135.13,167.37,80.74,135.16,188,1491
Unmapped,COMPELLENT_DEVICE,76988,EMC Compellent Device,Ascension_30832,128578,100.0,5.0,-1.0,1,$3.00 ,0.0,0.0,283.25,295.82,95.75,283.25,188,1491
Unmapped,UNITY_DEVICE,76882,EMC Unity Device,AHISUNITY,128295,100.0,10.0,-1.0,1,$1.50 ,0.0,0.0,25.35,45.83,55.33,25.35,188,1491
Unmapped,SVC_DEVICE,77600,IBM SVC Device,SVCP8,129723,100.0,5.0,-1.0,1,$1.75 ,10198.1,0.32,28.53,52.23,54.63,52.93,188,1494
Unmapped,SVC_DEVICE,77624,IBM SVC Device,AHISSVC,129725,100.0,5.0,-1.0,1,$1.75 ,26326.37,0.75,526.16,673.7,78.1,528.11,188,1494
Unmapped,COMPELLENT_DEVICE,77549,EMC Compellent Device,Ascension_78970,129718,100.0,5.0,-1.0,1,$3.00 ,0.0,0.0,307.2,343.33,89.48,307.2,188,1494
Unmapped,VMAX_DEVICE,77553,EMC VMax Device,VMAX-195702745,129722,100.0,5.0,-1.0,1,$3.00 ,6197.0,0.0,135.13,167.37,80.74,135.16,188,1494
Unmapped,UNITY_DEVICE,77548,EMC Unity Device,AHISUNITY,129717,100.0,10.0,-1.0,1,$1.50 ,0.0,0.0,25.13,45.83,54.82,25.13,188,1494
Unmapped,COMPELLENT_DEVICE,77551,EMC Compellent Device,Ascension_30832,129720,100.0,5.0,-1.0,1,$3.00 ,0.0,0.0,283.25,295.82,95.75,283.25,188,1494
Unmapped,UNITY_DEVICE,105401,EMC Unity Device,AHISUNITY,175804,100.0,10.0,-1.0,1,$1.50 ,0.0,0.0,25.14,41.06,61.23,30.56,188,1495
Unmapped,SVC_DEVICE,79114,IBM SVC Device,SVCP8,131642,100.0,5.0,-1.0,1,$1.75 ,10157.97,0.32,28.56,52.23,54.68,52.93,188,1496
Unmapped,SVC_DEVICE,79141,IBM SVC Device,AHISSVC,131648,100.0,5.0,-1.0,1,$1.75 ,26563.32,0.69,526.16,673.7,78.1,528.11,188,1496
Unmapped,VMAX_DEVICE,79087,EMC VMax Device,VMAX-195702745,131639,100.0,5.0,-1.0,1,$3.00 ,7570.75,0.0,135.13,167.37,80.74,135.16,188,1496
Unmapped,COMPELLENT_DEVICE,79080,EMC Compellent Device,Ascension_78970,131633,100.0,5.0,-1.0,1,$3.00 ,0.0,0.0,307.2,343.33,89.48,307.2,188,1496
Unmapped,UNITY_DEVICE,79074,EMC Unity Device,AHISUNITY,131632,100.0,10.0,-1.0,1,$1.50 ,0.0,0.0,25.12,45.83,54.82,25.12,188,1496
Unmapped,SVC_DEVICE,79518,IBM SVC Device,SVCP8,132300,100.0,5.0,-1.0,1,$1.75 ,10540.59,0.33,28.82,52.23,55.18,52.93,188,1498
Unmapped,SVC_DEVICE,79540,IBM SVC Device,AHISSVC,132304,100.0,5.0,-1.0,1,$1.75 ,30528.2,0.82,526.16,673.7,78.1,528.11,188,1498
Unmapped,COMPELLENT_DEVICE,79469,EMC Compellent Device,Ascension_78970,132294,100.0,5.0,-1.0,1,$3.00 ,0.0,0.0,307.2,343.33,89.48,307.2,188,1498
Unmapped,VMAX_DEVICE,79477,EMC VMax Device,VMAX-195702745,132298,100.0,5.0,-1.0,1,$3.00 ,5730.83,0.0,135.13,167.37,80.74,135.16,188,1498
Unmapped,UNITY_DEVICE,79465,EMC Unity Device,AHISUNITY,132293,100.0,10.0,-1.0,1,$1.50 ,0.0,0.0,25.24,45.83,55.07,25.24,188,1498
Unmapped,COMPELLENT_DEVICE,79470,EMC Compellent Device,Ascension_30832,132296,100.0,5.0,-1.0,1,$3.00 ,0.0,0.0,283.25,295.82,95.75,283.25,188,1498
Unmapped,SVC_DEVICE,79988,IBM SVC Device,SVCP8,133154,100.0,5.0,-1.0,1,$1.75 ,11074.15,0.32,28.55,52.23,54.67,52.93,188,1501
Unmapped,SVC_DEVICE,80022,IBM SVC Device,AHISSVC,133172,100.0,5.0,-1.0,1,$1.75 ,26998.5,0.73,526.17,673.7,78.1,528.11,188,1501
Unmapped,COMPELLENT_DEVICE,79955,EMC Compellent Device,Ascension_30832,133148,100.0,5.0,-1.0,1,$3.00 ,0.0,0.0,283.25,295.82,95.75,283.25,188,1501
Unmapped,VMAX_DEVICE,79960,EMC VMax Device,VMAX-195702745,133151,100.0,5.0,-1.0,1,$3.00 ,6070.58,0.0,135.13,167.37,80.74,135.16,188,1501
Unmapped,COMPELLENT_DEVICE,79951,EMC Compellent Device,Ascension_78970,133146,100.0,5.0,-1.0,1,$3.00 ,0.0,0.0,307.2,343.33,89.48,307.2,188,1501
Unmapped,UNITY_DEVICE,79940,EMC Unity Device,AHISUNITY,133144,100.0,10.0,-1.0,1,$1.50 ,0.0,0.0,25.12,45.83,54.82,25.12,188,1501
Unmapped,UNITY_DEVICE,105400,EMC Unity Device,AHISUNITY,175803,100.0,10.0,-1.0,1,$1.50 ,0.0,0.0,25.14,41.06,61.23,30.56,188,1502
Unmapped,SVC_DEVICE,80466,IBM SVC Device,SVCP8,133963,100.0,5.0,-1.0,1,$1.75 ,9557.13,0.33,28.54,52.23,54.65,52.93,188,1503
Unmapped,SVC_DEVICE,80497,IBM SVC Device,AHISSVC,133973,100.0,5.0,-1.0,1,$1.75 ,30531.53,0.67,526.17,673.7,78.1,528.11,188,1503
Unmapped,UNITY_DEVICE,80418,EMC Unity Device,AHISUNITY,133952,100.0,10.0,-1.0,1,$1.50 ,0.0,0.0,25.12,45.83,54.82,25.12,188,1503
Unmapped,VMAX_DEVICE,80437,EMC VMax Device,VMAX-195702745,133961,100.0,5.0,-1.0,1,$3.00 ,8138.75,0.0,135.13,167.37,80.74,135.16,188,1503
Unmapped,COMPELLENT_DEVICE,80428,EMC Compellent Device,Ascension_78970,133956,100.0,5.0,-1.0,1,$3.00 ,0.0,0.0,307.2,343.33,89.48,307.2,188,1503
Unmapped,COMPELLENT_DEVICE,80429,EMC Compellent Device,Ascension_30832,133957,100.0,5.0,-1.0,1,$3.00 ,0.0,0.0,283.25,295.82,95.75,283.25,188,1503
Unmapped,SVC_DEVICE,80856,IBM SVC Device,SVCP8,134616,100.0,5.0,-1.0,1,$1.75 ,10955.09,0.32,28.93,52.24,55.38,52.93,188,1505
Unmapped,SVC_DEVICE,80888,IBM SVC Device,AHISSVC,134620,100.0,5.0,-1.0,1,$1.75 ,30620.27,0.74,526.17,673.7,78.1,528.11,188,1505
Unmapped,COMPELLENT_DEVICE,80809,EMC Compellent Device,Ascension_30832,134613,100.0,5.0,-1.0,1,$3.00 ,0.0,0.0,283.25,295.82,95.75,283.25,188,1505
Unmapped,COMPELLENT_DEVICE,80808,EMC Compellent Device,Ascension_78970,134611,100.0,5.0,-1.0,1,$3.00 ,0.0,0.0,307.2,343.33,89.48,307.2,188,1505
Unmapped,VMAX_DEVICE,80814,EMC VMax Device,VMAX-195702745,134615,100.0,5.0,-1.0,1,$3.00 ,6481.92,0.0,135.13,167.37,80.74,135.16,188,1505
Unmapped,UNITY_DEVICE,80805,EMC Unity Device,AHISUNITY,134609,100.0,10.0,-1.0,1,$1.50 ,0.0,0.0,25.12,45.83,54.82,25.12,188,1505
Unmapped,SVC_DEVICE,81394,IBM SVC Device,SVCP8,135502,100.0,5.0,-1.0,1,$1.75 ,9232.49,0.32,28.85,52.23,55.24,52.93,188,1508
Unmapped,SVC_DEVICE,81407,IBM SVC Device,AHISSVC,135512,100.0,5.0,-1.0,1,$1.75 ,25965.81,0.89,526.17,673.7,78.1,528.11,188,1508
Unmapped,UNITY_DEVICE,81308,EMC Unity Device,AHISUNITY,135489,100.0,10.0,-1.0,1,$1.50 ,0.0,0.0,25.12,45.83,54.82,25.12,188,1508
Unmapped,VMAX_DEVICE,81387,EMC VMax Device,VMAX-195702745,135498,100.0,5.0,-1.0,1,$3.00 ,7236.17,0.0,135.13,167.37,80.74,135.16,188,1508
Unmapped,COMPELLENT_DEVICE,81313,EMC Compellent Device,Ascension_78970,135493,100.0,5.0,-1.0,1,$3.00 ,0.0,0.0,307.2,343.33,89.48,307.2,188,1508
Unmapped,COMPELLENT_DEVICE,81318,EMC Compellent Device,Ascension_30832,135494,100.0,5.0,-1.0,1,$3.00 ,0.0,0.0,283.25,295.82,95.75,283.25,188,1508
Unmapped,UNITY_DEVICE,105399,EMC Unity Device,AHISUNITY,175802,100.0,10.0,-1.0,1,$1.50 ,0.0,0.0,25.14,41.06,61.23,30.56,188,1509
Unmapped,SVC_DEVICE,81849,IBM SVC Device,SVCP8,136333,100.0,5.0,-1.0,1,$1.75 ,9431.21,0.33,29.0,52.23,55.53,52.93,188,1510
Unmapped,SVC_DEVICE,81880,IBM SVC Device,AHISSVC,136341,100.0,5.0,-1.0,1,$1.75 ,32414.63,1.32,526.17,673.7,78.1,528.11,188,1510
Unmapped,UNITY_DEVICE,81798,EMC Unity Device,AHISUNITY,136322,100.0,10.0,-1.0,1,$1.50 ,0.0,0.0,25.12,45.83,54.82,25.12,188,1510
Unmapped,VMAX_DEVICE,81817,EMC VMax Device,VMAX-195702745,136331,100.0,5.0,-1.0,1,$3.00 ,7877.92,0.0,135.13,167.37,80.74,135.16,188,1510
Unmapped,COMPELLENT_DEVICE,81810,EMC Compellent Device,Ascension_30832,136329,100.0,5.0,-1.0,1,$3.00 ,0.0,0.0,283.25,295.82,95.75,283.25,188,1510
Unmapped,COMPELLENT_DEVICE,81805,EMC Compellent Device,Ascension_78970,136326,100.0,5.0,-1.0,1,$3.00 ,0.0,0.0,307.2,343.33,89.48,307.2,188,1510
Unmapped,SVC_DEVICE,82242,IBM SVC Device,SVCP8,136992,100.0,5.0,-1.0,1,$1.75 ,10618.71,0.32,28.63,52.23,54.81,52.93,188,1512
Unmapped,SVC_DEVICE,82266,IBM SVC Device,AHISSVC,136995,100.0,5.0,-1.0,1,$1.75 ,34269.89,1.51,526.17,673.7,78.1,528.11,188,1512
Unmapped,UNITY_DEVICE,82192,EMC Unity Device,AHISUNITY,136986,100.0,10.0,-1.0,1,$1.50 ,0.0,0.0,25.12,45.83,54.82,25.12,188,1512
Unmapped,COMPELLENT_DEVICE,82195,EMC Compellent Device,Ascension_30832,136989,100.0,5.0,-1.0,1,$3.00 ,0.0,0.0,283.25,295.82,95.75,283.25,188,1512
Unmapped,COMPELLENT_DEVICE,82194,EMC Compellent Device,Ascension_78970,136987,100.0,5.0,-1.0,1,$3.00 ,0.0,0.0,307.2,343.33,89.48,307.2,188,1512
Unmapped,VMAX_DEVICE,82206,EMC VMax Device,VMAX-195702745,136991,100.0,5.0,-1.0,1,$3.00 ,7368.92,0.0,135.13,167.37,80.74,135.16,188,1512
Unmapped,SVC_DEVICE,82714,IBM SVC Device,SVCP8,137826,100.0,5.0,-1.0,1,$1.75 ,10095.41,0.32,28.86,52.23,55.26,52.93,188,1515
Unmapped,SVC_DEVICE,82739,IBM SVC Device,AHISSVC,137841,100.0,5.0,-1.0,1,$1.75 ,33152.63,1.61,526.17,673.7,78.1,528.11,188,1515
Unmapped,UNITY_DEVICE,105398,EMC Unity Device,AHISUNITY,175801,100.0,10.0,-1.0,1,$1.50 ,0.0,0.0,25.14,41.06,61.23,30.56,188,1515
Unmapped,COMPELLENT_DEVICE,82671,EMC Compellent Device,Ascension_78970,137817,100.0,5.0,-1.0,1,$3.00 ,0.0,0.0,307.2,343.33,89.48,307.2,188,1515
Unmapped,VMAX_DEVICE,82686,EMC VMax Device,VMAX-195702745,137823,100.0,5.0,-1.0,1,$3.00 ,6790.42,0.0,135.13,167.37,80.74,135.16,188,1515
Unmapped,COMPELLENT_DEVICE,82677,EMC Compellent Device,Ascension_30832,137820,100.0,5.0,-1.0,1,$3.00 ,0.0,0.0,283.25,295.82,95.75,283.25,188,1515
Unmapped,SVC_DEVICE,83250,IBM SVC Device,SVCP8,138730,100.0,5.0,-1.0,1,$1.75 ,9791.54,0.34,28.61,52.22,54.79,52.93,188,1517
Unmapped,SVC_DEVICE,83278,IBM SVC Device,AHISSVC,138735,100.0,5.0,-1.0,1,$1.75 ,32525.28,1.45,526.17,673.7,78.1,528.11,188,1517
Unmapped,VMAX_DEVICE,83209,EMC VMax Device,VMAX-195702745,138728,100.0,5.0,-1.0,1,$3.00 ,7077.83,0.0,135.13,167.37,80.74,135.16,188,1517
Unmapped,COMPELLENT_DEVICE,83203,EMC Compellent Device,Ascension_30832,138725,100.0,5.0,-1.0,1,$3.00 ,0.0,0.0,283.25,295.82,95.75,283.25,188,1517
Unmapped,COMPELLENT_DEVICE,83199,EMC Compellent Device,Ascension_78970,138723,100.0,5.0,-1.0,1,$3.00 ,0.0,0.0,307.2,343.33,89.48,307.2,188,1517
Unmapped,SVC_DEVICE,83727,IBM SVC Device,SVCP8,139522,100.0,5.0,-1.0,1,$1.75 ,10789.25,0.33,28.0,52.23,53.61,52.93,188,1519
Unmapped,SVC_DEVICE,83757,IBM SVC Device,AHISSVC,139525,100.0,5.0,-1.0,1,$1.75 ,39626.08,1.87,520.03,673.7,77.19,521.97,188,1519
Unmapped,COMPELLENT_DEVICE,83680,EMC Compellent Device,Ascension_30832,139519,100.0,5.0,-1.0,1,$3.00 ,0.0,0.0,283.25,295.82,95.75,283.25,188,1519
Unmapped,COMPELLENT_DEVICE,83679,EMC Compellent Device,Ascension_78970,139518,100.0,5.0,-1.0,1,$3.00 ,0.0,0.0,307.2,343.33,89.48,307.2,188,1519
Unmapped,SVC_DEVICE,84227,IBM SVC Device,SVCP8,140450,100.0,5.0,-1.0,1,$1.75 ,9538.64,0.31,28.05,51.87,54.08,52.93,188,1522
Unmapped,SVC_DEVICE,84256,IBM SVC Device,AHISSVC,140459,100.0,5.0,-1.0,1,$1.75 ,35255.24,1.14,500.5,673.7,74.29,502.44,188,1522
Unmapped,VMAX_DEVICE,84198,EMC VMax Device,VMAX-195702745,140447,100.0,5.0,-1.0,1,$3.00 ,6222.17,0.0,135.13,167.37,80.74,135.16,188,1522
Unmapped,COMPELLENT_DEVICE,84188,EMC Compellent Device,Ascension_78970,140439,100.0,5.0,-1.0,1,$3.00 ,0.0,0.0,307.2,343.33,89.48,307.2,188,1522
Unmapped,COMPELLENT_DEVICE,84192,EMC Compellent Device,Ascension_30832,140442,100.0,5.0,-1.0,1,$3.00 ,0.0,0.0,283.25,295.82,95.75,283.25,188,1522
Unmapped,UNITY_DEVICE,105397,EMC Unity Device,AHISUNITY,175800,100.0,10.0,-1.0,1,$1.50 ,0.0,0.0,25.14,41.06,61.23,30.56,188,1522
Unmapped,SVC_DEVICE,84684,IBM SVC Device,SVCP8,141206,100.0,5.0,-1.0,1,$1.75 ,9745.85,0.35,28.08,52.23,53.78,52.93,188,1524
Unmapped,SVC_DEVICE,84714,IBM SVC Device,AHISSVC,141210,100.0,5.0,-1.0,1,$1.75 ,33318.8,1.05,500.5,673.7,74.29,502.44,188,1524
Unmapped,COMPELLENT_DEVICE,84634,EMC Compellent Device,Ascension_78970,141202,100.0,5.0,-1.0,1,$3.00 ,0.0,0.0,307.2,343.33,89.48,307.2,188,1524
Unmapped,VMAX_DEVICE,84639,EMC VMax Device,VMAX-195702745,141205,100.0,5.0,-1.0,1,$3.00 ,7613.0,0.0,135.13,167.37,80.74,135.16,188,1524
Unmapped,COMPELLENT_DEVICE,84632,EMC Compellent Device,Ascension_30832,141203,100.0,5.0,-1.0,1,$3.00 ,0.0,0.0,283.25,295.82,95.75,283.25,188,1524
Unmapped,SVC_DEVICE,85095,IBM SVC Device,SVCP8,141937,100.0,5.0,-1.0,1,$1.75 ,10574.21,0.32,28.38,52.24,54.34,52.93,188,1526
