data_center,device_type_code,count,device_type_description,cpu_util,latency_capacity,avg_price_per_gb,ttl_used,ttl_usable,pct_used,ttl_allocated,client_id,period_id
Backend,VMAX_DEVICE,1,EMC VMax Device,100.0,5.0,3.0,135.13,167.37,80.74,135.16,188,1802
Plano,SVC_DEVICE,2,IBM SVC Device,200.0,10.0,1.75,472.1,725.92,65.04,502.56,188,1802
Plano,UNITY_DEVICE,1,EMC Unity Device,100.0,10.0,1.5,25.16,41.06,61.28,41.94,188,1802
Backend,VMAX_DEVICE,1,EMC VMax Device,100.0,5.0,3.0,135.13,167.37,80.74,135.16,188,1804
Plano,SVC_DEVICE,2,IBM SVC Device,200.0,10.0,1.75,472.36,725.92,65.07,502.56,188,1804
Plano,UNITY_DEVICE,1,EMC Unity Device,100.0,10.0,1.5,25.16,41.06,61.27,30.77,188,1804
Backend,VMAX_DEVICE,1,EMC VMax Device,100.0,5.0,3.0,135.13,167.37,80.74,135.16,188,1806
Plano,SVC_DEVICE,2,IBM SVC Device,200.0,10.0,1.75,472.44,725.92,65.08,502.56,188,1806
Plano,UNITY_DEVICE,1,EMC Unity Device,100.0,10.0,1.5,25.16,41.06,61.27,30.77,188,1806
Backend,VMAX_DEVICE,1,EMC VMax Device,100.0,5.0,3.0,135.13,167.37,80.74,135.16,188,1809
Plano,SVC_DEVICE,2,IBM SVC Device,200.0,10.0,1.75,472.54,725.92,65.1,502.76,188,1809
Plano,UNITY_DEVICE,1,EMC Unity Device,100.0,10.0,1.5,25.16,41.06,61.27,30.77,188,1809
Backend,VMAX_DEVICE,1,EMC VMax Device,100.0,5.0,3.0,135.13,167.37,80.74,135.16,188,1811
Plano,SVC_DEVICE,2,IBM SVC Device,200.0,10.0,1.75,472.57,725.92,65.1,502.76,188,1811
Plano,UNITY_DEVICE,1,EMC Unity Device,100.0,10.0,1.5,25.16,41.06,61.27,30.77,188,1811
Backend,VMAX_DEVICE,1,EMC VMax Device,100.0,5.0,3.0,135.13,167.37,80.74,135.16,188,1813
